index,Point_no_normal point_point on segment_intersections_vertex,Surface_no_square_rectangle_circle_triangle_polygon,Transformation<br>  of surface_no_yes,Perspective_no_yes,Type of<br> Volume_no_corniform_cylinder_cube_sphere,Type of<br>  line_no_straight line_curve line_free curve,Speed_no_yes,Thickness_no_yes,Direction<br>  of  Line_no_verticality_horizontality_multidirection_rotation_direction of slant,Transformation<br>  of Volume_no_yes,Rhythm_no_yes,Space_no_yes,Direction of<br>  composition_no_one direction_multi direction_rotation,Weight_no_yes,Penetration_no_yes,Union_no_yes,Subtraction_no_yes,Intersection_no_yes,Detachment_no_yes,Touching_no_yes,Overlapping_no_yes,Coinciding_no_yes,Natural object_no_organism substance_inorganic substance,Artificiality_no_geometry_artifact_typo,Concept of<br>  Color_no_analogous_monochromatic_triad_complementary_compound_colorful concept,Texture_no_yes
Dot-Fuzz,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Orbs,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1
Dry-Brush,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1
Embellish,0,0,1,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1
splat,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1
glow,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1
Transparent-3D,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,6,0
Overlays,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Filigree,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2,0,1
Post-Apocalyptic,0,0,1,1,4,0,0,0,0,1,1,1,2,0,0,1,1,0,0,0,1,0,0,2,0,0
Vivid,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,6,0
Scribbles,0,0,0,0,0,3,1,1,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,1
Dos-Helix,0,0,0,0,0,2,0,0,5,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0
Rubber-Bands,0,3,1,0,0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0
Radiance,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0
Eco-Smart,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Lit,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1
Pseudo-Crest,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1
Urban-Vinyl,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2,0
Hubs,1,3,1,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,1
Descending-Dots,1,3,1,0,0,0,0,0,0,0,1,1,3,0,0,1,0,0,1,0,0,0,0,1,0,1
Flora,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
half,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0
Overlap,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3D,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,5,0
