index,year,cat,name,arg1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,0,0,max,25,2,3,1,1,5,5,1,1,4,2,3,6,1,1,1,3,1,1,1,1,1,1,1,1,1
0,0,0,idx_name,0,Point_normal point_point on segment_intersections_vertex,Type of line_straighe line_curve line_free curve,Speed_yes_no,Thickness_yes_no,Direction of Line_verticality_horizontality_multidirection_rotation_direction of slant,Surface_square_rectangle_circle_triangle_polygon,Transformation of surface_yes_no,Perspective_yes_no,Type of Volume_corniform_cylinder_cube_sphere,Natural object_organism substance_inorganic substance,Artificiality_geometry_artifact_typo,Concept of Color_analogous_monochromatic_triad_complementary_compound_colorful concept,Texture_yes_no,Rhythm_yes_no,Space_yes_no,Direction of composition_one direction_multi direction_rotation,Weight_yes_no,Detachment_yes_no,Touching_yes_no,Overlapping_yes_no,Penetration_yes_no,Union_yes_no,Subtraction_yes_no,Intersection_yes_no,Coinciding_yes_no
0,0,0,cat,0,A,A,A,A,A,A,A,A,A,B,B,B,B,C,C,C,C,D,D,D,D,D,D,D,D
53,2006,B,splat,#33ff66,1,0,0,0,0,3,1,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0
54,2006,B,glow,#33ff66,0,0,0,0,0,3,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
57,2006,B,Filigree,#33ff66,0,3,0,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,0,1,0,0,0
58,2006,B,Post-Apocalyptic,#33ff66,0,0,0,0,0,0,1,1,4,0,2,0,0,1,1,2,0,0,0,1,0,1,1,0,0
59,2006,B,Vivid,#33ff66,0,0,0,0,0,0,1,0,0,0,1,6,0,1,0,0,0,0,1,0,0,0,0,0,0
61,2007,B,Dos-Helix,#33ff66,0,2,0,0,5,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0
62,2007,B,Rubber-Bands,#33ff66,0,3,0,1,0,3,1,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0
64,2007,B,Eco-Smart,#33ff66,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
65,2007,B,Lit,#33ff66,0,0,0,0,0,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0
66,2007,B,Pseudo-Crest,#33ff66,0,3,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0
67,2007,B,Urban-Vinyl,#33ff66,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0
68,2007,B,Hubs,#33ff66,1,0,0,0,0,3,1,1,0,0,1,0,1,1,1,2,0,1,0,0,0,0,0,0,0
70,2007,B,Flora,#33ff66,0,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
74,2007,B,OpticaLine,#33ff66,0,0,0,0,0,0,1,0,0,0,1,2,1,0,1,0,0,0,0,0,1,1,0,0,0
75,2007,B,Ribbons,#33ff66,0,0,0,0,0,2,1,1,0,0,2,0,1,0,1,3,0,0,0,1,0,0,0,0,0
33,2005,B ,Blow-Out,#33ff66,0,0,0,0,0,0,1,1,0,2,0,5,1,1,1,0,0,0,0,1,1,1,1,0,0
35,2005,B ,Flames,#33ff66,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0
39,2005,B ,Puffies,#33ff66,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1,1,0,0,0,1,0,0,0
42,2005,B ,Leaf-Life,#33ff66,0,2,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0
63,2007,B ,Radiance,#33ff66,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0
6,2003,C,Canted,#aaaaff,1,0,0,0,0,5,1,1,0,0,1,0,0,1,1,2,0,1,0,0,0,1,0,0,0
8,2003,C,Shadow,#aaaaff,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
14,2003,C,Slinky,#aaaaff,0,2,1,1,4,0,0,0,0,0,2,1,0,1,0,2,0,0,0,1,0,0,0,0,0
27,2004,C,Particle-Fields,#aaaaff,1,0,0,0,0,5,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0
44,2005,C,Swirlys,#aaaaff,0,3,0,1,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
47,2006,C,Blenders,#aaaaff,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0
55,2006,C,Transparent-3D,#aaaaff,0,0,0,0,0,0,1,1,0,0,1,6,0,0,1,0,0,0,0,1,0,0,0,0,0
1,2003,D,Droplets,#ff33ff,0,0,0,0,0,3,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
12,2003,D,Labels,#ff34ff,0,0,0,0,0,3,1,0,0,0,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0
18,2004,D,Dialogue-Boxes,#ff35ff,0,3,0,1,0,3,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0
20,2004,D,implied,#ff36ff,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0
25,2004,D,Human-Nature,#ff37ff,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
32,2005,D,Amalgams,#ff38ff,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0
36,2005,D,Wicker-Balls,#ff39ff,0,2,1,1,3,2,1,0,4,0,2,2,0,1,1,2,1,0,0,1,0,0,0,0,0
37,2005,D,Weaves,#ff40ff,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0
56,2006,D,Overlays,#ff41ff,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
71,2007,D,half,#ff42ff,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72,2007,D,Overlap,#ff43ff,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
