스포츠/등산용품	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	11	0	0	0	0	0	0	0
죽전문점	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	11	0	0	0
낙지/쭈꾸미/오징어	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0
영어학원	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0
커리/덮밥	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	48	0	0	0	0	0
신발	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	18	0	0	18	0	0	0
세탁소/빨래방	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0
오토바이	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
남성미용실	0	0	0	0	0	0	0	0	0	0	0	0	0	32	16	0	0	0	0	0	0	16	0	0
모텔	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	11	0
냉면	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	32	0	0	0	0	0	0	0
갈매기살	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0
샤브샤브	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0
안과의원	0	0	0	0	0	0	0	0	0	0	9	0	9	0	0	0	0	0	0	0	0	0	0	0
해물찜/탕	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	14	0	0
아이스크림	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0
조명/전기용품	0	0	0	0	0	0	0	0	0	0	38	0	0	0	38	19	0	0	0	0	0	0	0	0
해장국/감자탕 전문	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	19	0	0	0	0
당구장	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0
떡/한과	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0
사철탕	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0
초밥 전문점	0	0	0	0	0	0	0	0	0	0	0	0	21	21	0	0	0	0	21	0	21	21	0	0
이탈리안레스토랑	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	56	28	14
가정용가구	0	0	0	0	0	0	0	0	0	0	0	0	16	0	8	0	0	0	8	0	8	0	0	0
BAR	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	22	0	44
유아/아동복	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0
네일아트/케어	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0
악기	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	8	0	0	0	0	0	0	0	0
도너츠	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	78	0	0
청과물	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
미술학원	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0
보리밥/비빔밥/쌈밥	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	42	21	0	21	0
애견용품	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	44	0	22	0	0	0	0	0
스포츠마사지	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0
자전거	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0
닭갈비	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	40	0	0
굴/전복	0	0	0	0	0	0	0	0	0	0	0	0	70	140	70	0	0	0	0	70	70	0	0	0
놀이방	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	11	0	11	0	11	0	0	0	0
목욕탕	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	25	25	0	0	25	0	0	0	0
신경외과	0	0	0	0	0	0	0	0	0	0	0	22	11	0	11	0	0	22	0	0	0	0	0	0
꼬치구이	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
콩/두부	0	0	0	0	0	0	0	0	0	0	0	0	44	21	0	0	0	0	0	44	11	0	0	0
차량물품/인테리어	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0
국수/만두 전문점	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0
도장	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0
전통주점	0	0	0	0	0	0	0	0	0	0	0	0	29	58	0	0	0	0	0	0	29	0	0	0
라멘/우동 전문점	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46
추어탕	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	16	16	0	0	0	0
베이커리	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	19	57	19	0
