word,cat,A_M,A_SD,V_M,V_SD
mash,verb,3.47,2.39,7.17,1.2,
contract,verb,4.65,2.13,5.2,1.28,
Cupid's disease,noun,5.69,3.25,1.68,1.23,
snipe,verb,6.83,2.7,1.8,1.23,
riant,adj,6.49,2.77,8.21,1.82,
promote,verb,7.15,2.19,3.76,2.63,
male reproductive gland,noun,3.76,2.39,5.29,1.82,
chaste,adj,3.52,2.05,4.39,1.46,
jerky,adj,4.72,2.71,2.31,1.37,
frivolous,adj,5.88,2.38,7.41,1.8,
unconfident,adj,6.22,2.41,7.98,1.29,
break of the day,noun,5.06,3.05,7.86,1.35,
hypochondriac,adj,5.13,2.76,4.45,2.23,
drivel,noun,4.16,2.16,2.67,1.45,
generous,adj,4.93,2.4,6.21,2.03,
sausage,noun,5.76,2.5,7.57,1.66,
meditative,adj,5.72,2.3,7.65,1.03,
chaffer,verb,5.74,2.38,3.48,2.33,
cozie,noun,3.32,2.28,7.39,1.53,
try,verb,5.38,2.58,6.02,1.77,
color,verb,4.61,2.24,5.39,1.8,
unmanful,adj,5.17,2.57,3.14,1.96,
filthy,adj,4.88,2.29,3.08,2.05,
turn,verb,5,2.32,3.64,2.08,
droning,adj,6.38,1.78,5.02,2.02,
cacophonic,adj,5.33,2.04,4.74,2,
barmy,adj,5.83,2.45,2.85,1.94,
cut back,verb,5,2.32,3.64,2.08,
composed,adj,4.12,2.29,7.1,1.26,
say,verb,7.45,2.38,2.09,1.41,
split,verb,6.33,2.71,2.22,1.88,
redemptive,adj,5.43,2.85,7.47,1.45,
odor,noun,5.46,2.47,7.02,1.84,
missy,noun,3.17,2.23,7.27,1.36,
knockdown-dragout,adj,6.89,2.47,2.29,1.78,
methylenedioxymethamphetamine,noun,7.38,1.92,7.98,1.52,
incoherent,adj,6.03,1.88,3.21,1.51,
elevate,verb,3.21,2.57,7.31,1.3,
tike,noun,5.55,2.29,7.08,1.98,
passionateness,noun,7.17,2.06,3.22,2.06,
worn out,adj,2.64,2.19,3.28,1.43,
discontented,adj,4.18,2.5,1.57,0.96,
untrusty,adj,6.2,2.7,2.05,1.55,
view,verb,5.19,2.39,7.64,1.29,
change,verb,4.81,2.8,2.28,1.92,
revel,noun,6.39,2.63,2.96,1.93,
feces,noun,3.76,2.26,4.17,1.77,
queasy,adj,5.94,2.36,2.17,1.21,
middle-level,adj,3.83,2.05,3.07,1.57,
holy day of obligation,noun,6.27,2.56,7.8,1.55,
go,verb,6.95,2.44,2.31,1.44,
do by,verb,6.83,2.7,1.8,1.23,
bare,verb,4.12,2.3,6.34,1.56,
flaxen,adj,5.07,2.7,6.43,2.04,
trickster,noun,5.78,2.47,2.22,1.69,
cubature unit,noun,3.54,2.09,5.1,1.09,
assault,verb,6.83,2.26,3.52,2.12,
outfield,noun,5.53,2.96,7.92,1.2,
excitement,noun,8.02,1.65,8.05,1.48,
brook,verb,3.93,2.49,4.82,2.06,
frightening,adj,6.33,2.28,2.25,1.18,
temerarious,adj,5.6,2.21,6.8,1.61,
provoke,verb,5.66,2.26,6.97,1.53,
institute,verb,4.25,2.47,5.55,2.24,
forge,verb,4.07,1.98,3.55,1.7,
eat up,verb,5.69,2.51,7.47,1.73,
fertile,adj,4.02,2.41,4.68,1.97,
prune,verb,4.59,2.1,3.83,1.7,
overserious,adj,4,1.87,5.08,1.59,
lead astray,verb,5.75,2.47,7.08,1.83,
somebody,noun,3.95,1.97,5.05,1.34,
crepuscle,noun,4.7,2.48,4.09,2.21,
uncleanness,noun,3.98,2.29,3.37,1.34,
imbecilic,adj,4.72,2.71,2.31,1.37,
nettle,verb,6.49,2.17,2.74,1.81,
gladdened,adj,6.21,2.3,7.45,1.77,
pillock,noun,4.72,2.71,2.31,1.37,
romp,noun,6.91,1.69,7.52,1.19,
causerie,noun,5.74,2.38,3.48,2.33,
worsen,verb,5.69,2.15,7.65,1.16,
tranquility,noun,2.95,2.55,7.72,1.75,
kick,verb,5,2.19,3.14,1.56,
adult female,noun,4.38,2.24,5.72,2.43,
melodic phrase,noun,3.82,2.24,5.11,1.78,
decentralize,verb,4.65,2.13,5.2,1.28,
religious text,noun,4.17,2.49,5.72,1.54,
arouse,verb,4.05,2.59,7.19,1.69,
agree,verb,3.18,1.76,4.74,1.02,
chuck out,verb,4.16,2.16,2.67,1.45,
regress,verb,6.02,2.58,7.73,1.34,
pseudo,noun,5.75,2.45,2.67,1.66,
Good Shepherd,noun,5.8,3.01,7.73,1.56,
punishing,adj,5.12,2.19,5.22,1.82,
suety,adj,4.81,2.8,2.28,1.92,
black,adj,7.17,2.07,2.85,1.7,
tiddler,noun,5.88,2.38,7.41,1.8,
delight,verb,5.44,2.88,8.26,1.04,
unpleasant,adj,4.89,2.5,3.58,2.38,
enkindle,verb,5.85,2.49,1.9,1.26,
drunk,noun,5.69,2.36,2.84,2.34,
granulose,adj,4.21,1.84,4.55,1.42,
foot pedal,noun,7.02,1.84,3.47,2.48,
inwardness,noun,6.34,2.25,7.39,1.53,
hotshot,noun,5.5,2.66,6.88,1.93,
uncomplicated,adj,4.48,2.82,7.1,1.91,
atmosphere,noun,5.56,2.62,7,1.32,
know,verb,3.61,2.56,7.51,1.38,
chisel,verb,4.44,1.96,6.16,1.89,
occupation,noun,4.08,1.92,5.24,1.59,
peckish,adj,5.13,2.44,3.58,2.01,
fence,verb,6.29,2.56,2.93,2.06,
fearsome,adj,6.27,2.44,1.93,1.44,
riled,adj,5.64,2.48,2.79,2.23,
upset,verb,6.85,2.03,3.03,2.09,
crevice,noun,4.07,1.69,3.43,1.38,
movement,noun,6.02,2.58,7.73,1.34,
watchman,noun,4.1,2.12,5.78,1.51,
regorge,verb,4.29,2.45,1.9,1.14,
phratry,noun,4.25,2.47,5.55,2.24,
unlawful,adj,4.67,2.35,3.32,2.32,
militant,adj,5.83,2.33,5.1,1.68,
modify,verb,3.98,2.29,3.37,1.34,
spot,noun,4.28,2.53,6.58,1.42,
pass on,verb,5.15,3.04,8.26,1.31,
imitative,adj,3.43,2.09,3.27,1.4,
play,verb,5.89,2.37,6.98,1.97,
difficulty,noun,3.81,2.27,3.29,1.69,
sovereign,adj,5.15,3.04,8.26,1.31,
small indefinite quantity,noun,4.59,2.1,3.83,1.7,
working girl,noun,5.85,2.93,2.3,2.11,
living accommodations,noun,4.21,2.94,7.91,1.63,
place,noun,3.15,1.77,5.08,0.98,
dream up,verb,4.53,2.72,6.73,1.75,
glossy,adj,4.91,2.57,6.58,1.78,
kill,verb,5.73,2.09,4.33,2.35,
attend to,verb,4.83,2.31,2.63,1.64,
splosh,verb,3.73,2.23,4.66,1.88,
time period,noun,5.03,2.65,7.26,1.18,
cod,verb,5.57,2.8,7.41,1.92,
insubordinate,adj,6.1,2.51,4.26,2.12,
trade,verb,4.39,2.29,5.88,1.62,
civilised,adj,4.5,1.91,6.89,1.7,
cerebrate,verb,4.65,2.13,5.2,1.28,
riotous,adj,4.98,2.48,3.5,2.16,
kindle,verb,5.86,2.4,2,1.18,
anatomy,noun,4.19,2.45,6.32,1.74,
good-hearted,adj,4.46,2.55,7.59,1.67,
drug-addicted,adj,4.81,2.46,2.51,1.42,
seizure,noun,4.59,2.1,3.83,1.7,
bimetal,adj,3.79,1.96,4.95,1.17,
repellant,adj,6.09,2.44,2.96,2.37,
sanguinary,adj,6.41,2,2.9,1.98,
instinctive reflex,noun,5.44,2.68,6.93,1.83,
dysphemism,noun,3.55,1.8,4.51,1.57,
repulsive,adj,5.38,2.23,2.43,1.27,
flunitrazepan,noun,3.86,2.13,5.67,1.26,
frustrate,verb,4.92,2.64,2.39,1.44,
make,verb,5,2.53,6.97,1.91,
mousey,adj,4.11,2.09,3.86,1.55,
still,verb,2.82,2.13,5.58,1.83,
touch,verb,5.66,2.26,6.97,1.53,
palatalised,adj,4.63,2.61,7.12,1.34,
contraceptive device,noun,3.86,2.72,7.07,1.9,
ginglymoid joint,noun,3.81,2.14,5.12,0.92,
jam,verb,6.03,3.19,1.56,0.96,
coquettish,adj,7.36,1.91,8.02,1.12,
habiliment,noun,4.05,1.89,6.41,1.34,
respectful,adj,4,1.6,5.35,1.21,
prise,verb,6.96,2.17,2.76,2.12,
make headway,verb,5.73,2.09,4.33,2.35,
free,adj,5.15,3.04,8.26,1.31,
forestall,verb,4.12,2.01,3.81,1.42,
field of study,adj,4.5,1.91,6.89,1.7,
cursed,adj,5.82,2.62,2.82,1.83,
sleep in,verb,2.8,2.66,7.2,1.77,
rebound,verb,4.9,2.35,4.31,2.18,
parcel,noun,4.08,2.41,6.2,1.37,
tenderised,adj,4.88,2.3,6.93,1.28,
vivification,noun,6.02,2.62,7.27,1.88,
automobile,noun,3.98,2.04,5.37,0.97,
plump,adj,4.81,2.8,2.28,1.92,
check out,verb,4.1,2.12,5.78,1.51,
bruise,verb,3.74,2.33,5.86,1.42,
libber,noun,5,2.77,7.8,1.29,
low-spirited,adj,4.72,2.95,1.83,1.42,
rigourousness,noun,4.76,2.55,2.45,1.61,
repelling,adj,4.93,2.23,2.81,1.52,
great deal,noun,6,2.02,3.19,1.66,
be,verb,5.52,2.45,2.88,1.64,
lace,verb,4.07,2.15,4.64,1.36,
lazy,adj,3.39,2.22,3.93,1.6,
agoraphobic,adj,6.67,2.54,2,1.28,
someone,noun,4.61,2.24,5.39,1.8,
excite,verb,5,2.53,6.97,1.91,
ingenuous,adj,5.32,1.92,7.7,1.43,
wonderful,adj,6.23,2.73,8.16,1.12,
wet,adj,5.69,2.36,2.84,2.34,
poke fun,verb,5.83,2.73,3.13,2.24,
unmolested,adj,3.89,2.54,7.62,1.41,
displace,verb,5.8,2.39,3.66,2,
mixed-up,adj,5.82,2.62,2.82,1.83,
feeling,noun,6.34,2.25,7.39,1.53,
penis,noun,4.33,1.78,5.19,1.27,
profane,verb,5.85,2.93,2.3,2.11,
have,verb,5.22,2.38,6.66,1.57,
impact,verb,6.85,2.03,3.03,2.09,
issue,noun,6.07,2.15,3.36,2.16,
keen,adj,5.43,2.85,7.47,1.45,
carry,verb,3.86,2.13,5.67,1.26,
shame,verb,4.93,2.23,2.81,1.52,
pic,noun,4.93,2.54,6.86,1.81,
leave,verb,3.82,2.24,5.11,1.78,
polar,adj,5.19,2.23,4.02,1.99,
piece of cake,noun,4.37,2.32,6.85,1.71,
reincarnate,adj,4.05,2.34,5.26,1.29,
lay,verb,2.95,1.72,4.95,0.98,
causal agent,noun,4.19,2.45,6.32,1.74,
call,noun,5.36,2.91,3.93,2.22,
whoop it up,verb,6.39,2.63,2.96,1.93,
make fun,verb,5.87,2.56,4.84,2.51,
snoopy,adj,5.82,1.64,6.08,1.63,
sex activity,noun,6.44,3.35,8.72,0.7,
fend for,verb,4.48,2.29,4.05,1.41,
curb,verb,5.44,2.68,6.93,1.83,
touch on,verb,4.73,2.64,7.02,1.57,
honorable,adj,3.18,1.76,4.74,1.02,
rationalise,verb,4.73,2.64,7.02,1.57,
inhibited,adj,3.27,2.05,4.88,1.83,
distich,noun,6.39,2.31,7.41,1.97,
squall,verb,7.04,1.96,3.88,2.07,
unashamed,adj,5.38,2.37,4.35,1.76,
innate reflex,noun,5.75,2.84,2.06,1.57,
venal,adj,4.67,2.35,3.32,2.32,
beautify,verb,4.05,1.89,6.41,1.34,
friendly,adj,4.98,2.59,6.88,1.82,
crumb,noun,4.95,2.36,3.02,1.66,
ill-scented,adj,4.93,2.23,2.81,1.52,
garment,verb,3.95,2.09,5.25,1.33,
indented,adj,5.36,2.37,4.39,1.63,
stir,verb,5.67,2.18,5.45,2.02,
high-class,adj,4.53,2.65,7.43,1.26,
counterfeit,adj,3.43,2.09,3.27,1.4,
plumbing fixture,noun,4,2.14,4.56,1.72,
criticise,verb,7.51,2.28,2.03,1.55,
body fluid,noun,4.82,2.06,2.86,1.91,
crucify,verb,5.87,2.56,4.84,2.51,
better half,noun,4.93,2.22,6.33,1.97,
go after,verb,3.42,2.21,6.32,1.56,
good,adj,4.49,2.28,6.2,1.85,
witticism,noun,6.74,1.84,8.1,1.36,
snitch,verb,7.24,2.06,1.68,1.02,
gussy up,verb,4.05,1.89,6.41,1.34,
land,noun,6.67,1.87,6.54,2.21,
bullnecked,adj,5.92,2.28,7.11,1.48,
perforated,adj,5,2.32,3.64,2.08,
sullen,adj,4.28,2.21,4.71,2.36,
fit out,verb,4.49,2.5,6.07,1.61,
wide-awake,adj,6.85,2.53,6.2,1.76,
harry,verb,6.47,2.47,2.23,1.72,
edgy,adj,6.53,2.1,3.56,1.36,
immodest,adj,3.98,2.24,5.76,1.28,
branch of knowledge,noun,4.08,2.41,6.2,1.37,
spice,noun,5.59,2.66,6.79,2.04,
language,noun,5.16,2.25,6.77,1.58,
bigheaded,adj,5.56,3.01,8.03,1.56,
cuss,noun,5.76,2.5,7.57,1.66,
courageous,adj,5.89,2.37,6.98,1.97,
tell,verb,7.36,1.91,8.05,1.53,
neaten,verb,4.05,1.89,6.41,1.34,
dear,adj,6.38,2.68,8.64,0.71,
sheltered,adj,4.09,2.77,7.29,1.79,
caliginous,adj,4.28,2.21,4.71,2.36,
sustenance,noun,5.62,2.25,7.36,1.38,
modest,adj,3.74,2.33,5.86,1.42,
firm,adj,5.12,2.19,5.22,1.82,
foray,verb,6.35,2.04,4.02,2.76,
house,noun,6.42,2.83,1.5,0.85,
gruntle,verb,3.21,2.57,7.31,1.3,
foolish,adj,5.88,2.38,7.41,1.8,
unenviable,adj,5.12,2.19,5.22,1.82,
moderato,adj,3.39,2.22,3.93,1.6,
peaceful,adj,2.82,2.13,5.58,1.83,
guitarist,noun,5.51,2.77,7.26,1.67,
difference of opinion,noun,6.29,2.56,2.93,2.06,
openhanded,adj,5.95,2.73,7.93,1.47,
cushioned,adj,4.63,2.61,7.12,1.34,
body armour,noun,5.63,2.36,6.88,1.74,
stimulant drug,noun,4.38,2.24,5.72,2.43,
spite,verb,6,2.46,2.29,1.33,
hoo-ha,noun,5.71,2.34,4.95,2.22,
government agency,noun,5.03,2.03,4.72,1.75,
loyal,adj,5.16,2.42,7.55,1.9,
mortal,noun,6.11,2.65,8.29,0.93,
degenerate,verb,3.81,2.29,3.79,2.12,
revived,adj,5.5,2.74,7.25,2.22,
crank,noun,4.27,2.07,4.75,1.38,
disallow,verb,5,2.83,6.42,2.05,
cocotte,noun,4.93,2.82,3.34,2.31,
mythical place,noun,5.38,2.62,2.24,1.62,
palsy-walsy,adj,5.11,2.96,8.43,1.08,
fall,verb,3.39,2.22,3.93,1.6,
aglitter,adj,5.4,2.33,7.5,1.55,
cozen,verb,7.24,2.06,1.68,1.02,
line,noun,4.8,2.71,7.65,1.55,
better,verb,5.86,2.7,5.2,2.54,
move into,verb,3.36,2.12,4.82,1.23,
pressor,noun,5.19,2.23,4.02,1.99,
melodic line,noun,5.86,1.81,7,1.34,
realise,verb,6.68,1.78,7.63,1.3,
rugged,adj,5.33,2.04,4.74,2,
juvenile,noun,4.76,1.95,6.49,1.5,
wearisome,adj,3.39,2.22,3.93,1.6,
kale,noun,5.64,2.18,6.74,1.73,
teen,adj,4.15,1.96,3.39,1.7,
tycoon,noun,6.67,1.87,6.54,2.21,
fearfulness,noun,8.02,1.65,8.05,1.48,
lost,adj,5.82,2.62,2.82,1.83,
deflower,verb,4.67,2.35,3.32,2.32,
lessen,verb,5,2.32,3.64,2.08,
lag,verb,4.7,2.48,4.09,2.21,
poorly,adj,4.29,2.45,1.9,1.14,
known,adj,5.73,2.68,6.98,2.07,
useable,adj,4.26,2.47,7.14,1.6,
shipshape,adj,3.98,2.22,6.3,1.56,
bank bill,noun,6.07,2.67,7.47,1.72,
wear down,verb,3.81,2.29,3.79,2.12,
gritty,adj,6.15,2.45,7.15,1.64,
trounce,verb,4.38,2.24,5.72,2.43,
device,noun,4.05,2.06,5.1,1.21,
entree,noun,3.8,2.29,5.13,1.44,
simple,noun,4.21,2.47,3.16,1.91,
torpedo,noun,7.02,1.84,3.47,2.48,
smell,noun,4.36,2.46,2.19,1.37,
excretory product,noun,5.75,2.84,2.06,1.57,
gloomy,adj,2.98,2.18,3.05,1.58,
track,verb,5.76,2.5,7.57,1.66,
ricochet,verb,5.67,2.51,7.76,1.51,
excrete,verb,4,2.14,4.56,1.72,
body waste,noun,4,2.14,4.56,1.72,
exquisite,adj,6.17,2.34,7.6,1.64,
assaulter,noun,5.57,2.61,4.23,2.41,
twinkling,noun,5.44,2.68,6.93,1.83,
touch off,verb,4.86,2.56,5.46,0.98,
success,noun,4.95,2.81,1.7,1.07,
whoreson,noun,6.07,2.15,3.36,2.16,
land site,noun,4.82,2.66,2.63,1.4,
looker,noun,5.5,2.73,8.42,0.83,
irredeemable,adj,6.09,2.44,2.96,2.37,
sexy,adj,4.31,2.2,6.76,1.78,
organisation,noun,3.59,2.07,4.61,1.4,
grim,adj,4.28,2.21,4.71,2.36,
mean,verb,4.25,2.47,5.55,2.24,
poof,noun,4.76,2.18,6.44,1.43,
move,verb,6.02,2.58,7.73,1.34,
decline,verb,5.48,2.52,2.84,2.07,
junior,adj,3.83,2.05,3.07,1.57,
bemire,verb,4.93,2.23,2.81,1.52,
sneak,verb,4.59,2.1,3.83,1.7,
tailor-made,adj,4.66,2.12,5.85,1.53,
loads,noun,5.49,2.43,6.59,1.66,
ornament,noun,4.17,2.02,4.61,1.63,
ototoxic,adj,6.4,2.41,2.1,1.48,
resolute,adj,4.02,2.41,4.68,1.97,
seditious,adj,6.56,2.21,1.93,1.61,
dayspring,noun,4.39,2.81,6.16,2.33,
muted,adj,4.63,2.61,7.12,1.34,
gawk,noun,4.8,2.82,4.16,2.34,
homo,noun,5.32,2.39,6.5,2.03,
chevvy,verb,5.36,2.89,3.82,1.73,
pass,verb,4.7,2.48,4.09,2.21,
flabbergasted,adj,7.47,2.09,7.47,1.56,
go against,verb,5.78,2.21,2.8,1.67,
expound,verb,4.1,2.24,5.55,1.58,
crimson,adj,5.29,2.04,6.41,1.61,
omnibus,noun,3.55,1.8,4.51,1.57,
personation,noun,3.82,2.24,5.11,1.78,
soggy,adj,4.13,2.13,4.44,2.07,
roguishness,noun,5.76,1.95,5.57,2.05,
patient of,adj,4.21,2.37,5.29,1.89,
enclose,verb,5.28,2.51,4.32,1.91,
unsafe,adj,5.56,2.34,2.36,1.33,
come about,verb,4.7,2.48,4.09,2.21,
proponent,noun,5.85,3.15,8.44,0.9,
obturate,verb,4.93,2.23,2.81,1.52,
wearable,noun,4.05,1.89,6.41,1.34,
imaginary place,noun,5.38,2.62,2.24,1.62,
vitiate,verb,6.26,2.61,2.79,2.12,
feed,verb,4.84,2.04,6.08,2.08,
strange,adj,4.27,2.46,4.82,2.04,
ridiculous,adj,4.36,2.2,4.26,1.82,
thin out,verb,4.05,1.89,6.41,1.34,
rascality,noun,5.38,2.62,2.24,1.62,
infertile,adj,4.57,2.59,2.81,1.92,
vindicated,adj,4.21,1.99,6.51,1.34,
twit,verb,5.87,2.56,4.84,2.51,
edifice,noun,4.56,2.41,7.26,1.72,
civil rights worker,noun,5.51,2.77,7.26,1.67,
soul,noun,6.42,2.83,1.5,0.85,
discontinuous,adj,5.43,2.42,3.05,1.92,
parcel of land,noun,4.08,2.41,6.2,1.37,
unhearable,adj,2.82,2.13,5.58,1.83,
licking,noun,6.77,2.42,1.64,1.18,
negro,adj,4.61,2.24,5.39,1.8,
safe and sound,adj,3.86,2.72,7.07,1.9,
mature,adj,4.15,1.96,3.39,1.7,
idiom,adj,7.59,2.07,8.32,1,
fall in,verb,4.7,2.48,4.09,2.21,
wintry,adj,5.19,2.23,4.02,1.99,
sense experience,noun,5.22,2.38,6.66,1.57,
tasteless,adj,3.29,1.89,4.1,1.08,
disrespectful,adj,4.6,2.67,7.22,1.27,
warmheartedness,noun,5.19,2.39,7.64,1.29,
player,noun,4.07,2.19,2.74,1.64,
gag,noun,6.39,2.63,2.96,1.93,
deuteranopic,adj,4.39,2.36,3.05,1.99,
genius,noun,5.83,2.44,7.27,1.66,
expose,verb,7.24,2.06,1.68,1.02,
terra firma,noun,4.08,2.41,6.2,1.37,
unburdened,adj,5.63,2.07,2.5,1.32,
incline,noun,4.7,2.48,4.09,2.21,
patriotic,adj,5.16,2.42,7.55,1.9,
heavyhearted,adj,4.13,2.38,1.61,0.95,
keep,verb,5.56,2.06,2.76,1.5,
travail,noun,6.84,2.06,7.13,1.58,
see,verb,5.39,2.22,7.15,1.49,
outlaw,noun,4.76,2.4,5.67,1.91,
hoard,verb,4.8,2.82,4.16,2.34,
ketamine,noun,4.28,2.46,6.18,2.05,
unhinged,adj,4.29,2.45,1.9,1.14,
forward,adj,3.91,2.64,7.52,1.23,
revolt,verb,6.83,2.26,3.52,2.12,
spend,verb,5.69,2.51,7.47,1.73,
unsubdivided,adj,4.91,2.57,6.58,1.78,
acidic,adj,5.1,1.95,3.93,1.98,
nark,verb,6.07,2.61,2.21,1.99,
nutrition,noun,3.68,2.57,5.95,2.16,
regretful,adj,4.69,1.98,5.53,1.86,
yell,verb,5.36,2.91,3.93,2.22,
evince,verb,7.45,2.38,2.09,1.41,
do it,verb,6.44,3.35,8.72,0.7,
commence,verb,4.7,2.48,4.09,2.21,
bloodless,adj,5.73,2.73,1.94,1.76,
significant other,noun,5.21,2.75,7.58,1.48,
pick up,verb,8.02,1.65,8.05,1.48,
arguing,noun,7.15,2.19,3.76,2.63,
remit,verb,2.92,2.16,5.22,0.72,
exhaust,verb,6.22,1.91,2.73,1.72,
habilitate,verb,3.95,2.11,4.11,1.77,
tops,adj,5.5,2.66,6.88,1.93,
pie-eyed,adj,4.02,2.41,4.68,1.97,
bloodguilty,adj,6.04,2.76,2.63,1.98,
pass away,verb,6.03,3.19,1.56,0.96,
role model,noun,4.49,1.9,6.49,1.7,
X-radiation,noun,4.38,2.24,5.72,2.43,
hardware,noun,5.42,2.25,6.62,1.5,
dispose,verb,4.14,2.3,2.93,1.76,
regard,verb,6.75,2.3,8.27,0.9,
deal,verb,5,2.32,3.64,2.08,
can,noun,2.95,1.72,4.95,0.98,
omnipresent,adj,5.12,2.39,6.95,1.85,
hold tight,verb,4.4,2.67,7.72,1.92,
