word,cat,A_M,A_SD,V_M,V_SD
cut into,verb,5,2.32,3.64,2.08,
egoistical,adj,5.5,2.62,2.42,1.62,
head,verb,3.42,2.21,6.32,1.56,
calmness,noun,2.82,2.13,5.58,1.83,
Word of God,noun,4.17,2.49,5.72,1.54,
olfactory perception,noun,5.05,2.36,6.76,1.48,
muddled,adj,6.03,1.88,3.21,1.51,
snort,noun,3.17,2.23,7.27,1.36,
divulge,verb,5.67,2.51,7.76,1.51,
unusable,adj,4.87,2.58,2.13,1.42,
expedited,adj,5.62,2.39,3.07,1.74,
spiritual being,noun,6.07,2.61,2.21,1.99,
killer,noun,7.47,2.18,1.53,0.96,
punk,adj,3.83,2.05,3.07,1.57,
rich,adj,4.48,2.82,7.1,1.91,
motorcar,noun,3.41,2.14,5,1.96,
give the sack,verb,7.17,2.06,3.22,2.06,
frail,adj,4.1,2.07,3.26,1.47,
bubbly,adj,5.53,2.9,7.2,1.97,
chicane,noun,5.75,2.45,2.67,1.66,
prepubertal,adj,4.15,1.96,3.39,1.7,
beguile,verb,5.16,2.25,6.77,1.58,
put away,verb,5.49,2.67,1.95,1.27,
theatrical producer,noun,3.42,2.21,6.32,1.56,
dirty,adj,6.44,2.28,2.73,1.5,
introduce,verb,3.62,2.25,5.98,1.83,
pain in the ass,noun,5.14,2.14,3.64,1.76,
student,noun,7.25,2.25,8.19,1.13,
smoke,noun,4.14,2.11,6.12,1.44,
excreta,noun,4.97,2.49,6.61,1.78,
Saint Bride,noun,5.55,2.74,7.34,1.71,
substance,noun,4.17,2.02,4.61,1.63,
go to sleep,verb,3.61,2.56,7.51,1.38,
begrimed,adj,4.88,2.29,3.08,2.05,
decrease,verb,5,2.32,3.64,2.08,
potent,adj,5.83,2.69,6.84,1.8,
scalloped,adj,5.33,2.04,4.74,2,
breach,verb,5.78,2.21,2.8,1.67,
sage,adj,3.91,2.64,7.52,1.23,
hard-boiled,adj,5.12,2.19,5.22,1.82,
hand down,verb,4.4,2.07,5.95,1.38,
yellow-bellied,adj,6.33,2.28,2.25,1.18,
wellness,noun,5.61,2.67,2.25,1.71,
illness,noun,5.13,2.35,6.81,1.88,
sexual relation,noun,7,2.07,7.36,1.57,
indulge,verb,5.53,2.8,8.22,1.2,
gas,verb,5.78,2.6,7.8,1.83,
go up,verb,6.21,2.51,7.1,2,
