word,cat,A_M,A_SD,V_M,V_SD
blameful,adj,6.04,2.76,2.63,1.98,
community,noun,4.08,1.87,5.92,1.34,
assemblage,noun,5.63,2.36,6.88,1.74,
black Maria,noun,3.98,2.04,5.37,0.97,
succour,noun,3.93,2.85,7.07,2.14,
conspicuous,adj,6.24,2.59,7.75,1.75,
unity,noun,5.5,2.66,6.88,1.93,
misbehaviour,noun,5.6,2.65,7.98,1.22,
grotty,adj,4.89,2.5,3.58,2.38,
compel,verb,6.07,2.26,3.38,1.61,
behaviour,noun,4.56,1.78,5.64,1.34,
motorcar,noun,7.33,1.96,2.47,1.5,
recorder,noun,4.69,1.99,5.81,1.21,
effective,adj,4.02,2.41,4.68,1.97,
guide,verb,4.4,2.07,5.95,1.38,
cerebration,adj,4.84,2.57,6,2.21,
deliver the goods,verb,5.73,2.09,4.33,2.35,
liberal arts,adj,7.59,2.07,8.32,1,
straighten out,verb,3.98,2.22,6.3,1.56,
describe,verb,3.7,2.18,5.68,1.62,
let,verb,4.54,1.86,6.46,1.52,
souvenir,noun,4.54,1.86,6.46,1.52,
racy,adj,4.31,2.2,6.76,1.78,
bright,adj,5.39,2.82,6.73,2.17,
woebegone,adj,4.1,1.94,4.28,1.84,
position,verb,3.36,2.28,5.05,1.46,
take on,verb,5.04,2.18,6.39,1.6,
woman's doctor,noun,4.52,2.37,5.56,1.38,
stand,verb,3.93,2.49,4.82,2.06,
warm,adj,4.88,2.3,6.93,1.28,
book,noun,3.62,2.02,4.79,1.05,
itemise,verb,4.25,2.47,5.55,2.24,
effort,noun,6.84,2.06,7.13,1.58,
untrue,adj,6.2,2.7,2.05,1.55,
disperse,verb,4.14,2.28,5.45,1.63,
existing,adj,5.12,2.39,6.95,1.85,
substance,noun,4.89,2.46,6.28,1.45,
statement,noun,5.41,2.43,6.63,1.68,
component,noun,3.24,2.08,5.26,0.86,
sorry,adj,4.13,2.38,1.61,0.95,
fauna,noun,5.57,2.61,4.23,2.41,
plump for,verb,5.85,3.15,8.44,0.9,
upbeat,noun,5.13,2.35,6.81,1.88,
major,adj,5.83,2.44,7.27,1.66,
enfold,verb,5.28,2.51,4.32,1.91,
ascertain,verb,5.39,2.22,7.15,1.49,
deary,noun,5.1,2.59,6.79,2.32,
profits,noun,6.68,1.78,7.63,1.3,
kick out,verb,5,2.83,6.42,2.05,
cracked,adj,5.33,2.04,4.74,2,
unadorned,adj,3.52,2.05,4.39,1.46,
wholesome,adj,3.18,1.76,4.74,1.02,
decrement,noun,4.7,2.48,4.09,2.21,
turn,verb,5.69,2.15,7.65,1.16,
BM,noun,4,2.14,4.56,1.72,
adventure,verb,5.38,2.58,6.02,1.77,
blue,noun,5,2.72,7,1.88,
ware,verb,4.93,2.4,6.21,2.03,
Yuletide,noun,6.27,2.56,7.8,1.55,
troops,noun,3.89,2.17,5.89,1.55,
enthusiast,noun,5.66,2.26,2.48,2.08,
mar,verb,4.67,2.35,3.32,2.32,
source,noun,4.21,2.94,7.91,1.63,
odor,noun,5.05,2.36,6.76,1.48,
excruciation,noun,7.26,2.57,8.03,1.27,
seventh heaven,noun,7.38,1.92,7.98,1.52,
ca-ca,verb,4,2.14,4.56,1.72,
screaming,noun,5.36,2.91,3.93,2.22,
young lady,noun,5.53,2.8,8.22,1.2,
ply,verb,4.29,2.51,6.46,1.69,
reverend,noun,5.51,2.77,7.26,1.67,
view,verb,4.54,1.86,6.46,1.52,
wild,adj,6.76,2.26,2.44,1.72,
gloriole,noun,6.02,2.71,7.55,1.68,
Order,noun,4.41,2.71,6.42,2,
easygoing,adj,4.48,2.82,7.1,1.91,
dwelling house,noun,4.21,2.94,7.91,1.63,
risk,verb,6.98,2.15,7.6,1.5,
unfortunate person,noun,4.95,2.81,1.7,1.07,
important,adj,3.7,2.18,5.68,1.62,
powerless,adj,4.57,2.59,2.81,1.92,
perish,verb,6.03,3.19,1.56,0.96,
take a hop,verb,4.9,2.35,4.31,2.18,
concavity,noun,3.91,1.92,4.36,1.21,
business,noun,4.08,2.41,6.2,1.37,
assault,verb,6.83,2.26,3.52,2.12,
variety,noun,4.73,2.64,7.02,1.57,
interdict,verb,5,2.83,6.42,2.05,
reveal,verb,5.67,2.51,7.76,1.51,
do in,verb,4.14,2.3,2.93,1.76,
pocket-sized,adj,3.98,2.24,5.76,1.28,
diplomatist,noun,5.96,2.63,2.79,1.92,
magnate,noun,6.67,1.87,6.54,2.21,
interpersonal,adj,4.98,2.59,6.88,1.82,
Canis familiaris,noun,5.85,2.78,7.56,1.9,
chivy,verb,5.36,2.89,3.82,1.73,
conjoin,verb,6.39,2.31,7.41,1.97,
tormentor,noun,5.62,2.15,3.13,1.82,
gain,verb,5.73,2.09,4.33,2.35,
persuasion,noun,5,2.68,6.68,1.84,
dandy,adj,5.43,2.85,7.47,1.45,
found,verb,4.25,2.47,5.55,2.24,
fresh,adj,4.53,2.38,2.26,1.37,
leanness,noun,4.57,2.38,3.52,1.99,
inutile,adj,4.87,2.58,2.13,1.42,
breeze through,verb,4.37,2.32,6.85,1.71,
machine rifle,noun,5,2.83,6.42,2.05,
bear on,verb,5.73,2.09,4.33,2.35,
jaw,verb,6,2.43,7.18,1.97,
piece of land,noun,4.08,2.41,6.2,1.37,
undress,verb,4.05,1.89,6.41,1.34,
jubilate,verb,6.02,2.71,7.55,1.68,
misfortune,noun,6.24,2.64,1.78,1.31,
elastic,adj,5.53,2.9,7.2,1.97,
oaf,noun,4.8,2.82,4.16,2.34,
babyish,adj,4.15,1.96,3.39,1.7,
project,noun,6.98,2.15,7.6,1.5,
flutter,noun,5.71,2.34,4.95,2.22,
fille,noun,4.29,2.69,6.87,1.64,
low,adj,3.74,2.33,5.86,1.42,
withdraw,verb,5.15,3.04,8.26,1.31,
freehanded,adj,5.95,2.73,7.93,1.47,
natural event,noun,6.95,2.44,2.31,1.44,
movement,noun,7.49,2.16,2.08,1.91,
body substance,noun,5.5,2.91,8.56,0.81,
pridefulness,noun,4.98,2.31,4.3,1.91,
nonesuch,noun,4.49,1.9,6.49,1.7,
Negroid,noun,4.61,2.24,5.39,1.8,
lambent,adj,5.4,2.33,7.5,1.55,
store,noun,4.12,2.36,3.21,1.87,
illogical,adj,6.03,1.88,3.21,1.51,
trim,verb,4.59,2.1,3.83,1.7,
get ahead,verb,7.72,2.16,8.38,0.92,
impedimenta,noun,5,2.83,6.42,2.05,
exercise,noun,5.28,2.12,6.47,1.81,
heel,noun,5.76,2.5,7.57,1.66,
bloom,noun,5.03,2.65,7.26,1.18,
lick,verb,5.41,2.43,6.63,1.68,
overlook,verb,4.3,2.26,4.35,1.23,
concern,verb,5.66,2.26,6.97,1.53,
infract,verb,5.78,2.21,2.8,1.67,
coarse-grained,adj,4.21,1.84,4.55,1.42,
booster,noun,5.74,2.57,7.74,1.24,
upside,noun,4.28,2.53,6.58,1.42,
olfactory property,noun,5.46,2.47,7.02,1.84,
pinhead,noun,4.35,2.25,3.38,1.7,
evildoing,noun,6.39,2.44,3.23,2.64,
plump out,verb,4.81,2.8,2.28,1.92,
moody,adj,5.1,1.95,3.93,1.98,
make do,verb,5,2.32,3.64,2.08,
spectral colour,noun,5.29,2.04,6.41,1.61,
plate armour,noun,4.71,2.84,4.9,2.2,
touch,verb,5.73,2.09,4.33,2.35,
overcloud,verb,4.3,2.26,4.35,1.23,
acquire,verb,5,2.32,3.64,2.08,
frightened,adj,7.86,2.27,1.72,1.14,
waste matter,noun,5.12,2.32,2.47,1.68,
respectful,adj,4,1.6,5.35,1.21,
soaker,noun,5.69,2.36,2.84,2.34,
uprooter,noun,6.4,1.88,2.71,1.91,
taking into custody,noun,4.59,2.1,3.83,1.7,
murder,noun,5.33,2.63,2.28,1.74,
beneficence,noun,5.76,1.95,5.57,2.05,
establishment,noun,3.59,2.07,4.61,1.4,
incommode,verb,6.85,2.03,3.03,2.09,
rebound,verb,5.67,2.51,7.76,1.51,
relax,verb,6.53,2.1,3.56,1.36,
colour,verb,4.73,2.64,7.02,1.57,
parcel,noun,4.08,2.41,6.2,1.37,
unruffled,adj,2.82,2.13,5.58,1.83,
wrestling hold,noun,4.47,1.76,5.05,0.96,
mould,verb,3.82,2.4,5.09,1.67,
softness,noun,3.81,2.27,3.29,1.69,
birth,noun,4.59,3.07,1.61,1.4,
frame,noun,3.89,2.17,5.89,1.55,
yokelish,adj,6.31,2.47,2.5,2.11,
turned on,adj,6.63,2.7,7.97,1,
rum,adj,4.27,2.46,4.82,2.04,
pool,noun,5.3,2.66,6.68,2.71,
emotionalism,noun,3.73,2.4,7.41,1.81,
newsmonger,noun,5.74,2.38,3.48,2.33,
kvetch,verb,4.9,2.35,4.31,2.18,
computation,noun,5.86,1.81,7,1.34,
gent,noun,5.76,2.5,7.57,1.66,
have,verb,3.36,2.18,5.89,1.73,
artificial,adj,4.09,2.37,6.59,1.57,
legal instrument,noun,4.89,2.46,6.28,1.45,
noisome,adj,4.93,2.23,2.81,1.52,
issue,noun,5.1,2.4,6.21,1.63,
lily-livered,adj,6.33,2.28,2.25,1.18,
appalled,adj,6.67,2.54,2,1.28,
polar,adj,4.75,2.56,3.5,1.85,
hanker,verb,5,2.45,2.46,1.52,
nonachievement,noun,4.83,2.31,2.63,1.64,
evenfall,noun,4.7,2.41,7.23,1.8,
accept,verb,5.9,1.83,7.66,1.24,
strict,adj,4.31,2.2,6.76,1.78,
offend,verb,5.78,2.21,2.8,1.67,
waste-yard,noun,4.12,2.36,3.21,1.87,
ailing,adj,4.29,2.45,1.9,1.14,
disconsolate,adj,2.98,2.18,3.05,1.58,
regulate,verb,4.64,2.75,5.31,2.02,
gangland,noun,4.8,2.71,7.65,1.55,
pipe down,verb,2.82,2.13,5.58,1.83,
correct,verb,7.25,2.25,8.19,1.13,
throttle,noun,7.02,1.84,3.47,2.48,
hurt,verb,6.22,1.91,2.73,1.72,
come up to,verb,5.27,2.31,7,1.52,
sizable,adj,3.98,2.22,6.3,1.56,
wealthiness,noun,4.75,2.91,7.88,1.49,
john,noun,3.88,1.72,5.55,1.36,
tit,noun,5.56,2.55,6.27,1.81,
shut in,verb,4.27,2.07,4.75,1.38,
edulcorate,verb,4.58,2.4,6.54,2.09,
dinero,noun,5.64,2.18,6.74,1.73,
fit out,verb,5.12,2.42,5.93,2.1,
toying,noun,6.91,1.69,7.52,1.19,
friend,noun,5.85,3.15,8.44,0.9,
house of worship,noun,4.34,2.45,6.28,2.31,
humour,noun,7.22,2.01,8.37,1.11,
employ,verb,4.14,2.3,2.93,1.76,
mother,noun,5.92,2.6,7.08,2.2,
waggon,noun,3.98,2.04,5.37,0.97,
strong,adj,5.47,2.2,6.82,1.63,
brute,noun,5.64,2.51,6.89,2.12,
