word,cat,A_M,A_SD,V_M,V_SD
venereal infection,noun,5.69,3.25,1.68,1.23,
sleep with,verb,3.61,2.56,7.51,1.38,
wish-wash,noun,4.16,2.16,2.67,1.45,
stilly,adj,2.82,2.13,5.58,1.83,
untruth,noun,5.68,2.46,2.9,1.63,
grass,verb,7.24,2.06,1.68,1.02,
go on,verb,4.7,2.48,4.09,2.21,
pain,noun,5.14,2.14,3.64,1.76,
measure,noun,3.27,1.98,5.02,0.93,
toss,verb,4.16,2.16,2.67,1.45,
bring through,verb,6.53,2.56,7.7,1.24,
flush,noun,8.02,1.65,8.05,1.48,
ravish,verb,5.44,2.88,8.26,1.04,
computed axial tomography,noun,4.38,2.24,5.72,2.43,
secondary,adj,3.83,2.05,3.07,1.57,
accentuate,verb,7.45,2.38,2.09,1.41,
rock music,noun,4.52,2.37,5.56,1.38,
gelid,adj,5.19,2.23,4.02,1.99,
juvenile person,noun,5.67,2.52,6.75,2.29,
star sign,noun,6.42,2.83,1.5,0.85,
polished,adj,5.4,2.33,7.5,1.55,
shameful,adj,4.61,2.24,5.39,1.8,
educational activity,noun,5.74,2.46,6.69,1.77,
viscus,noun,3.93,2.49,4.82,2.06,
sacred text,noun,4.17,2.49,5.72,1.54,
clear up,verb,3.46,1.92,3.65,1.61,
conserve,verb,4.14,2.3,2.93,1.76,
Shangri-la,noun,5.61,3.2,7.3,2.39,
stimulate,verb,5,2.53,6.97,1.91,
retrieval,noun,6.53,2.56,7.7,1.24,
play false,verb,5.75,2.47,7.08,1.83,
competitor,noun,5.85,3.15,8.44,0.9,
undeceive,verb,7.24,2.06,1.68,1.02,
play,noun,5.85,2.81,8.37,0.94,
installation,noun,4.08,2.41,6.2,1.37,
chief justice,noun,4.37,2.14,6.47,1.59,
rot,verb,5.7,2.96,2.28,1.91,
place,verb,2.95,1.72,4.95,0.98,
squandered,adj,5.82,2.62,2.82,1.83,
shrewd,adj,5.12,2.19,5.22,1.82,
article of clothing,noun,4.05,1.89,6.41,1.34,
embracement,noun,5.35,2.76,8,1.55,
wacky,adj,5.88,2.38,7.41,1.8,
spikelet,noun,5.14,2.14,3.64,1.76,
torment,verb,5.87,2.56,4.84,2.51,
melody,noun,5.86,1.81,7,1.34,
being,noun,4.84,2.52,3.91,2.44,
relative,noun,5.21,2.75,7.58,1.48,
damage,verb,4.04,2.14,3.18,1.86,
cocaine,noun,5.75,2.47,7.08,1.83,
disfigure,verb,4.79,2.11,3.38,1.7,
fastidious,adj,4.38,2.69,6.55,2.44,
heartsease,noun,2.95,2.55,7.72,1.75,
waste material,noun,5.04,2.5,2.98,1.96,
secernment,noun,5.22,2.38,6.66,1.57,
dishonor,verb,5.9,1.83,7.66,1.24,
emotional disorder,noun,4.54,3.19,1.85,1.67,
apply,verb,6.84,2.06,7.13,1.58,
out of play,adj,5.73,2.73,1.94,1.76,
rejoicing,adj,6.78,2.58,8.82,0.73,
injure,verb,6,2.46,2.29,1.33,
temperament,noun,4.56,2.97,1.61,1.02,
do work,verb,4.95,2.36,3.02,1.66,
geological formation,noun,5.67,2.51,7.76,1.51,
assail,verb,4.1,2.34,2.88,1.75,
essay,verb,7.15,2.19,3.76,2.63,
splatter,verb,3.73,2.23,4.66,1.88,
personage,noun,4.25,2.47,5.55,2.24,
ill,adj,4.29,2.45,1.9,1.14,
detest,verb,6.28,2.43,2.03,1.38,
help,noun,4.88,2.3,6.93,1.28,
entwine,verb,4.07,2.15,4.64,1.36,
burglarproof,adj,4.09,2.77,7.29,1.79,
make,verb,6.68,1.78,7.63,1.3,
laugh at,verb,5.87,2.56,4.84,2.51,
executive department,noun,5.47,2.54,7.78,1.35,
disdain,verb,5.48,2.52,2.84,2.07,
unfaltering,adj,4.02,2.41,4.68,1.97,
usance,noun,3.95,2.11,4.11,1.77,
vocalist,noun,5.51,2.77,7.26,1.67,
game,adj,6.15,2.45,7.15,1.64,
strain,noun,3.82,2.24,5.11,1.78,
habiliment,noun,4.78,2.88,6.54,1.85,
acetous,adj,5.1,1.95,3.93,1.98,
courageousness,noun,6.34,2.25,7.39,1.53,
brass instrument,noun,4.97,2.13,5.75,1.38,
manslayer,noun,6.28,2.53,3.09,2.09,
illegal,adj,4.61,2.24,5.39,1.8,
dissolute,adj,4.98,2.48,3.5,2.16,
sharp-set,adj,5.13,2.44,3.58,2.01,
initiate,verb,3.62,2.25,5.98,1.83,
grand,adj,4.12,2.29,7.1,1.26,
worthless,adj,5.38,2.23,2.43,1.27,
tennis player,noun,4.18,2.38,3.2,1.58,
potable,noun,3.68,2.57,5.95,2.16,
unify,verb,6.39,2.31,7.41,1.97,
good example,noun,4.95,2.57,7.82,1.16,
motility,noun,4.9,2.35,4.31,2.18,
deliver,verb,4.95,2.19,6.45,1.93,
someone,noun,6.42,2.83,1.5,0.85,
sire,verb,6.13,2.71,8.39,1.15,
untune,verb,4.71,2.09,6.93,1.47,
well-favoured,adj,5.95,2.73,7.93,1.47,
lively,adj,5.5,2.74,7.25,2.22,
diverge,verb,3.96,1.94,5.29,0.97,
manoeuvre,verb,3.42,2.21,6.32,1.56,
garb,verb,3.95,2.09,5.25,1.33,
signaling,noun,6.85,2.53,6.2,1.76,
mold,verb,5.86,2.4,2,1.18,
hit the books,verb,5.39,2.22,7.15,1.49,
impact,verb,4.73,2.64,7.02,1.57,
spanking,adj,5.9,2.42,7.9,1.49,
trouble-free,adj,3.89,2.54,7.62,1.41,
fig out,verb,4.05,1.89,6.41,1.34,
flavour,verb,5.59,2.66,6.79,2.04,
stop,noun,5.76,2.5,7.57,1.66,
cognition,noun,5,2.68,6.68,1.84,
muscular,adj,5.92,2.28,7.11,1.48,
jumpy,adj,5.33,2.04,4.74,2,
water,noun,4.2,2.18,3.25,1.71,
grime,verb,4.13,2.13,4.44,2.07,
send on,verb,4.38,2.29,5.55,1.4,
fair,adj,6.17,2.34,7.6,1.64,
Orcinus orca,noun,7.86,1.89,1.89,1.39,
impolite,adj,6.31,2.47,2.5,2.11,
pose,verb,4.16,2.8,7.92,1.24,
rationalise,verb,4.48,2.29,4.05,1.41,
locomote,verb,6.21,2.51,7.1,2,
credentials,noun,5.67,2.8,8,1.39,
assume,verb,4.1,2,5.46,1.36,
medico,noun,5.86,2.7,5.2,2.54,
deadly sin,noun,7.63,1.91,2.34,1.32,
ciliated,adj,5.33,2.04,4.74,2,
bowl over,verb,5.86,2.4,2,1.18,
beautify,verb,5.14,2.39,6.93,1.3,
swash,verb,5.78,2.6,7.8,1.83,
toss away,verb,4.14,2.3,2.93,1.76,
training,noun,6.84,2.06,7.13,1.58,
fright,noun,7.02,2.02,3.12,1.84,
temperature,noun,5.19,2.23,4.02,1.99,
Saint Brigid,noun,5.55,2.74,7.34,1.71,
counterfeit,adj,6.07,2.15,3.36,2.16,
drink,noun,5.29,2.55,6.88,1.89,
salientian,noun,4.54,2.03,5.71,1.74,
criticise,verb,6.47,2.47,2.23,1.72,
dreaded,adj,6.33,2.28,2.25,1.18,
policeman,noun,4.2,2.42,5.07,1.97,
study,verb,6.84,2.06,7.13,1.58,
exist,verb,5.96,2.63,2.79,1.92,
giddy,adj,5.88,2.38,7.41,1.8,
baseball player,noun,5.64,2.51,6.89,2.12,
horny,adj,5.12,2.19,5.22,1.82,
land,adj,4.12,2.3,6.34,1.56,
bubble,verb,5.26,2.54,6.07,2.03,
bounce,noun,5.67,2.51,7.76,1.51,
period,noun,4.28,2.21,4.71,2.36,
spirited,adj,5.53,2.9,7.2,1.97,
wander,verb,6.82,2.1,3.31,2.2,
jade,verb,3.81,2.29,3.79,2.12,
angry,adj,7.97,2.17,2.46,1.65,
distinguish,verb,4.25,2.47,5.55,2.24,
downhearted,adj,4.72,2.95,1.83,1.42,
legal holiday,noun,6.27,2.56,7.8,1.55,
excretion,noun,5.75,2.84,2.06,1.57,
tell,verb,5.12,2.39,6.95,1.85,
scotch,verb,4.92,2.64,2.39,1.44,
computer programme,noun,5.71,2.21,3.33,1.72,
trouncing,noun,6.77,2.42,1.64,1.18,
earth,noun,4.08,2.41,6.2,1.37,
draggled,adj,4.88,2.29,3.08,2.05,
comprise,verb,5.12,2.39,6.95,1.85,
functionary,noun,5.47,2.54,7.78,1.35,
enounce,verb,7.45,2.38,2.09,1.41,
disorganised,adj,5.86,2.4,2,1.18,
neat,adj,3.98,2.22,6.3,1.56,
portrayal,noun,3.82,2.24,5.11,1.78,
towheaded,adj,5.07,2.7,6.43,2.04,
drown out,verb,6.57,2.33,1.92,1.48,
unsaved,adj,5.82,2.62,2.82,1.83,
work-shy,adj,2.65,2.06,4.38,2.02,
delusional,adj,5.13,2.76,4.45,2.23,
pile up,verb,4.8,2.82,4.16,2.34,
unnotched,adj,4.91,2.57,6.58,1.78,
refer,verb,4.25,2.47,5.55,2.24,
body,noun,4.02,2.41,4.68,1.97,
USA,noun,5.03,2.03,4.72,1.75,
be on cloud nine,verb,5.78,2.6,7.8,1.83,
molestation,noun,5.87,2.56,4.84,2.51,
snappy,adj,5.41,2.73,3.55,2.54,
action,noun,7.15,2.19,3.76,2.63,
struggle,noun,7.15,2.19,3.76,2.63,
title of respect,noun,5.92,2.6,7.08,2.2,
join,verb,6.39,2.31,7.41,1.97,
tumefy,verb,4.1,2.34,2.88,1.75,
halcyon,adj,6.49,2.77,8.21,1.82,
notable,adj,5.73,2.68,6.98,2.07,
spark off,verb,4.86,2.56,5.46,0.98,
demoralise,verb,5.85,2.93,2.3,2.11,
sweetheart,noun,4.95,2.57,7.82,1.16,
show,verb,5.12,2.39,6.95,1.85,
wit,noun,6.74,1.84,8.1,1.36,
cozen,verb,7.24,2.06,1.68,1.02,
module,noun,4.75,2.5,6.82,1.96,
suffer,verb,4.7,2.59,3.98,1.73,
line,noun,4.71,2.09,6.93,1.47,
onrush,noun,7.17,2.06,3.22,2.06,
devolve,verb,4.7,2.48,4.09,2.21,
peeved,adj,5.64,2.48,2.79,2.23,
fetor,noun,4.36,2.46,2.19,1.37,
ceremonial,noun,5.97,2.85,7.82,1.56,
finish,noun,5.82,2.71,3.16,2.44,
facial gesture,noun,5.27,2.64,7.4,1.87,
apparently,adv,3.52,2.05,4.39,1.46,
service,noun,5.03,2.03,4.72,1.75,
stunned,adj,7.47,2.09,7.47,1.56,
put behind bars,verb,5.49,2.67,1.95,1.27,
scourge,verb,4.14,2.3,2.93,1.76,
tatterdemalion,adj,4.1,1.94,4.28,1.84,
add-in,noun,3.36,2.12,4.82,1.23,
saintly,adj,5.43,2.85,7.47,1.45,
raspy,adj,5.33,2.04,4.74,2,
unrefined,adj,4.21,1.84,4.55,1.42,
drop,verb,4.95,2.19,6.45,1.93,
nance,noun,4.76,2.18,6.44,1.43,
evoke,verb,7.17,2.06,3.22,2.06,
modification,noun,5.57,2.26,3.05,1.65,
informant,noun,4.95,2.36,3.02,1.66,
genre,noun,4,2.85,5.86,1.91,
enlarge,verb,4.1,2.24,5.55,1.58,
fail,verb,7.72,2.16,8.38,0.92,
enthusiasm,noun,5.59,2.66,6.79,2.04,
punt,verb,5.89,2.37,6.98,1.97,
endeavor,noun,3.82,2.24,5.11,1.78,
success,noun,6.63,2.84,8.32,1.16,
whoreson,noun,6.07,2.15,3.36,2.16,
debauch,verb,6.26,2.61,2.79,2.12,
sexy,adj,5.34,2.51,7.5,1.08,
elation,noun,4.41,2.95,6.95,2.24,
embellish,verb,4.05,1.89,6.41,1.34,
instrument,noun,3.5,1.84,5.29,1.08,
move,verb,5.8,2.39,3.66,2,
cubic measure,noun,3.54,2.09,5.1,1.09,
muddleheaded,adj,6.03,1.88,3.21,1.51,
dimension,noun,4.48,2.12,6.25,1.59,
status,noun,4.28,2.21,4.71,2.36,
Caucasian,noun,5.5,2.17,3.37,1.63,
belief,noun,4.89,2.46,6.28,1.45,
slow down,verb,3.39,2.22,3.93,1.6,
balk,noun,3.81,2.27,3.29,1.69,
preferred,adj,5.1,2.59,6.79,2.32,
call for,verb,4.17,2.49,5.72,1.54,
textile,noun,3.54,2.09,5.1,1.09,
sedate,adj,4,1.87,5.08,1.59,
unmistakable,adj,3.52,2.05,4.39,1.46,
sidekick,noun,4.71,2.68,7.11,2.17,
human beings,noun,5.24,2.31,6.73,1.7,
lop,verb,4.05,1.89,6.41,1.34,
area,noun,6.34,2.25,7.39,1.53,
exit,verb,4.7,2.48,4.09,2.21,
substructure,noun,3.27,1.98,5.02,0.93,
inexperient,adj,5.64,2.51,6.89,2.12,
fissure,noun,6.33,2.21,4.84,2.14,
speech communication,noun,5.16,2.25,6.77,1.58,
Felis catus,noun,4.76,2.18,6.44,1.43,
ripe,adj,4.15,1.96,3.39,1.7,
deceive,verb,7.24,2.06,1.68,1.02,
pokey,adj,3.39,2.22,3.93,1.6,
transparent,adj,3.18,1.76,4.74,1.02,
room,noun,5,2.83,6.42,2.05,
appall,verb,5.56,2.06,2.76,1.5,
unfearing,adj,6.15,2.45,7.15,1.64,
stuff,noun,4.14,2.3,2.93,1.76,
honor,verb,5.31,2.23,5.92,1.57,
intoxicating,adj,5.69,2.36,2.84,2.34,
coiffe,verb,4.05,1.89,6.41,1.34,
expend,verb,4.14,2.3,2.93,1.76,
virulent,adj,6.4,2.41,2.1,1.48,
feed,noun,4.14,2.11,6.12,1.44,
kickshaw,noun,3.7,2.29,5.66,1.44,
wow,noun,7.04,1.96,3.88,2.07,
indrawn,adj,3.27,2.05,4.88,1.83,
percentage,noun,5.66,2.26,6.97,1.53,
shudder,noun,8.02,1.65,8.05,1.48,
argentiferous,adj,3.79,1.96,4.95,1.17,
colorless,adj,4.37,2.14,6.47,1.59,
buxom,adj,4.81,2.8,2.28,1.92,
misrepresentaation,noun,5.68,2.46,2.9,1.63,
civil rights worker,noun,5.64,2.51,6.89,2.12,
meliorate,verb,4.77,2.23,7.09,1.46,
risk-free,adj,3.86,2.72,7.07,1.9,
shit,noun,4.7,2.59,3.98,1.73,
soul,noun,4.19,2.45,6.32,1.74,
ragtag and bobtail,noun,4.88,2.36,2.43,1.56,
rattle on,verb,4.36,2.18,5.03,1.23,
essence,noun,6.34,2.25,7.39,1.53,
fulfil,verb,5.41,2.43,6.63,1.68,
draw close,verb,4.4,2.67,7.72,1.92,
parcel of land,noun,3.18,1.76,4.74,1.02,
begrime,verb,4.93,2.23,2.81,1.52,
marvellous,adj,6.23,2.73,8.16,1.12,
course,verb,4.14,2.3,2.93,1.76,
cash in on,verb,7.37,2.21,8.37,1,
hit the hay,verb,3.61,2.56,7.51,1.38,
wireless,noun,4.78,2.82,6.73,1.47,
supercilious,adj,5.04,2.14,3.68,1.9,
oxen,noun,3.49,2.13,5.57,1.53,
sense experience,noun,4.66,2.43,6.62,1.84,
slumberous,adj,2.82,2.13,5.58,1.83,
trained worker,noun,5.24,2.31,6.73,1.7,
vista,noun,4.59,2.31,5.98,1.86,
player,noun,5.83,2.44,7.27,1.66,
examine,verb,4.25,2.47,5.55,2.24,
coif,noun,6.64,2.64,2.35,1.7,
take,verb,5.69,2.51,7.47,1.73,
fearful,adj,4.11,2.09,3.86,1.55,
pain in the neck,noun,6.5,2.49,2.13,1.81,
endue,verb,5.12,2.42,5.93,2.1,
hospital room,noun,6.35,2.32,2.86,2.19,
tenderness,noun,5.19,2.39,7.64,1.29,
painful,adj,6.27,2.44,1.93,1.44,
line of work,noun,5.89,2.37,6.98,1.97,
see,verb,5.19,2.39,7.64,1.29,
pecker,noun,4.33,1.78,5.19,1.27,
body process,noun,7.36,1.91,8.05,1.53,
fun,noun,5.5,2.91,8.56,0.81,
subject area,adj,4.5,1.91,6.89,1.7,
beat up,verb,4.2,1.93,4,1.8,
aim,noun,5.86,1.81,7,1.34,
tract,noun,4.08,2.41,6.2,1.37,
objection,noun,5,2.19,3.14,1.56,
sarcastic,adj,4.24,2.17,3.95,2.09,
indecent,adj,4.21,1.84,4.55,1.42,
rumourmonger,noun,4.38,2.24,5.72,2.43,
guardian,noun,5.85,3.15,8.44,0.9,
questionable,adj,6.25,1.59,3.76,1.42,
garble,verb,6.41,2.94,1.82,1.45,
diplomatical,adj,3.29,1.89,4.1,1.08,
Holy Scripture,noun,4.17,2.49,5.72,1.54,
bloodsucking,adj,6.41,2,2.9,1.98,
blubber,noun,3.87,2.82,2.73,1.85,
laurels,noun,6.55,2.46,7.93,1.29,
office,noun,3.15,1.77,5.08,0.98,
consider,verb,6.75,2.3,8.27,0.9,
summit,noun,4.28,2.53,6.58,1.42,
cheer,verb,5.78,2.6,7.8,1.83,
violation,noun,4.93,2.34,3.75,2.26,
hold,verb,4.49,1.9,6.49,1.7,
memorial park,noun,4.82,2.66,2.63,1.4,
cult,noun,8.17,1.4,2.41,1.86,
optimistic,adj,5.78,2.09,7.1,1.46,
rivet,verb,4.65,2.13,5.2,1.28,
sufferer,noun,5.39,2.46,3.76,2,
love,noun,4.51,2.25,6.73,1.7,
rarefied,adj,3.27,2.05,4.88,1.83,
dilute,verb,5.86,2.7,5.2,2.54,
leap out,verb,5.67,2.51,7.76,1.51,
timber,noun,4.73,2.64,7.02,1.57,
disfavour,verb,4.12,2.01,3.81,1.42,
