word,cat,A_M,A_SD,V_M,V_SD
assemblage,noun,5.52,2.63,5.55,2.37,
authorities,noun,5.1,2.75,7.19,1.78,
bowed stringed instrument,noun,3.49,2.26,5.43,1.98,
Chin,noun,3.31,1.98,5.29,1.27,
alteration,noun,4.84,2.52,3.91,2.44,
cook,verb,4.05,1.89,6.41,1.34,
combat injury,noun,5.69,2.06,2.49,1.76,
killer,noun,5.73,3.14,1.25,0.69,
light-haired,adj,5.07,2.7,6.43,2.04,
Brassica napus,noun,6.81,3.17,1.25,0.91,
colouring material,noun,4.73,2.64,7.02,1.57,
aliment,verb,4.29,2.51,6.46,1.69,
passion,noun,3.73,2.4,7.41,1.81,
pass through,verb,5,2.32,3.64,2.08,
anxiety,noun,7.02,2.02,3.12,1.84,
gin,noun,4.39,2.08,3.76,1.64,
amend,verb,5.69,2.15,7.65,1.16,
cyprinid,noun,6.64,2.64,2.35,1.7,
helping,noun,5.37,2.39,6.5,1.78,
conciliative,adj,4.63,2.61,7.12,1.34,
position,noun,5.04,2.18,6.39,1.6,
forage,noun,4.14,2.11,6.12,1.44,
city district,noun,4.78,2.52,2.39,1.25,
observation,noun,5,2.68,6.68,1.84,
musical notation,noun,4.09,2.37,6.59,1.57,
omit,verb,4.83,2.31,2.63,1.64,
war,noun,2.95,2.55,7.72,1.75,
disappointed,adj,5.61,2.76,2.48,1.64,
worshipful,adj,4,1.6,5.35,1.21,
statement,noun,5,2.77,7.8,1.29,
broken-down,adj,4.1,1.94,4.28,1.84,
discomfited,adj,5.09,3,2.34,1.66,
beamy,adj,5.39,2.82,6.73,2.17,
industry,noun,4.12,1.83,5.66,1.02,
springiness,noun,5.67,2.51,7.76,1.51,
nonsensicality,noun,4.17,2.02,4.61,1.63,
atomic number 26,noun,3.76,2.06,4.9,1.02,
bottle-feed,verb,4.84,2.04,6.08,2.08,
pauper,noun,4.91,2.45,3.22,2.02,
untidy,adj,3.34,2.37,3.15,1.73,
hefty,adj,5.47,2.2,6.82,1.63,
speculative,adj,5.82,1.64,6.08,1.63,
Green River,noun,4.28,2.46,6.18,2.05,
transmission,noun,5.03,2.77,1.66,1.34,
immobility,noun,5,2.18,6.83,1.79,
social class,noun,4.12,1.83,5.66,1.02,
cattle,noun,3.49,2.13,5.57,1.53,
profits,noun,7.72,2.16,8.38,0.92,
prime,noun,5.03,2.65,7.26,1.18,
playscript,noun,4.17,2.49,5.72,1.54,
automobile trunk,noun,4.18,2.19,5.09,1.57,
idol,noun,5.95,2.73,7.25,2.05,
noncompliance,noun,5.28,2.04,3.85,2.13,
corpse,noun,4.02,2.41,4.68,1.97,
XTC,noun,7.38,1.92,7.98,1.52,
shiver,verb,8.02,1.65,8.05,1.48,
sawbuck,noun,3.89,2.17,5.89,1.55,
warmer,noun,4.02,1.94,4.67,1.05,
turn,verb,4.7,2.48,4.09,2.21,
mend,verb,5.86,2.7,5.2,2.54,
precipitate,verb,3.65,2.35,5.08,2.51,
rationalize,verb,5,2.32,3.64,2.08,
edge tool,noun,4.47,1.76,5.05,0.96,
winner,noun,6.11,2.65,8.29,0.93,
paradise,noun,5.61,3.2,7.3,2.39,
solid,noun,5.92,2.11,7.65,1.37,
younker,noun,5.67,2.52,6.75,2.29,
Pansa,noun,4.82,2.06,2.86,1.91,
excruciation,noun,6.06,2.67,2.43,2.17,
abstract,noun,4.05,2.61,5.68,2.12,
expect,verb,5.3,2.66,6.68,2.71,
male offspring,noun,4.58,2.37,6.32,1.6,
unenlightenment,noun,4.28,2.21,4.71,2.36,
fragrance,noun,5.05,2.36,6.76,1.48,
secret plan,noun,5.89,2.37,6.98,1.97,
reverend,noun,4.41,2.71,6.42,2,
communication,noun,5.03,2.77,1.66,1.34,
choke,verb,6.03,3.19,1.56,0.96,
physician,noun,5.86,2.7,5.2,2.54,
salve,verb,4.95,2.19,6.45,1.93,
