word,cat,A_M,A_SD,V_M,V_SD
disincentive,noun,5.69,2.45,7,1.72,
write,verb,5,2.32,3.64,2.08,
nettled,adj,5.64,2.48,2.79,2.23,
sandpiper,noun,4.07,2.15,4.64,1.36,
saturnalia,noun,6.39,2.63,2.96,1.93,
teat,noun,5.56,2.55,6.27,1.81,
special K,noun,4.28,2.46,6.18,2.05,
butt,noun,2.95,1.72,4.95,0.98,
misshapen,adj,4.07,2.34,2.41,1.66,
unmannerly,adj,6.31,2.47,2.5,2.11,
hefty,adj,5.92,2.28,7.11,1.48,
fruitful,adj,4.81,2.8,2.28,1.92,
exalt,verb,5,2.53,6.97,1.91,
quietus,noun,2.8,2.66,7.2,1.77,
blabber,noun,4.95,2.36,3.02,1.66,
hokum,noun,4.17,2.02,4.61,1.63,
secern,verb,7.36,1.91,8.05,1.53,
humankind,noun,5.24,2.31,6.73,1.7,
aphotic,adj,4.28,2.21,4.71,2.36,
bump off,verb,5.73,2.09,4.33,2.35,
rationalize,verb,4.48,2.29,4.05,1.41,
jubilation,noun,5.78,2.6,7.8,1.83,
urban center,noun,4.38,2.69,6.55,2.44,
supermolecule,noun,5.64,2.18,6.74,1.73,
ciliate,adj,5.33,2.04,4.74,2,
younker,noun,5.85,2.78,7.56,1.9,
mar,noun,6.22,1.91,2.73,1.72,
spirant,adj,4.63,2.61,7.12,1.34,
sink,verb,4.6,2.35,6.02,1.66,
abstract,verb,4.59,2.1,3.83,1.7,
keepsake,noun,4.54,1.86,6.46,1.52,
satisfy,verb,5.41,2.43,6.63,1.68,
batrachian,noun,4.54,2.03,5.71,1.74,
ply,verb,5.62,2.25,7.36,1.38,
reclaimable,adj,4.26,2.47,7.14,1.6,
modality,noun,5.22,2.38,6.66,1.57,
view,noun,5.86,1.81,7,1.34,
communication,noun,5.63,2.36,6.88,1.74,
wild,adj,7.17,2.07,2.85,1.7,
gag rule,noun,6.56,2.54,2.48,2.11,
extract,noun,5,2.32,3.64,2.08,
battle,noun,7.49,2.16,2.08,1.91,
good person,noun,4.49,1.9,6.49,1.7,
create,verb,6.22,1.91,2.73,1.72,
somaesthesia,noun,6.5,2.49,2.13,1.81,
tired of,adj,5.42,2.59,2.45,1.41,
unsound,adj,5.43,2.42,3.05,1.92,
promised land,noun,5.61,3.2,7.3,2.39,
comment,noun,3.76,2.26,4.17,1.77,
strive,verb,6.85,2.03,3.03,2.09,
jack off,verb,5.67,2.18,5.45,2.02,
railroad car,noun,4.88,2.3,6.93,1.28,
drinkable,noun,3.68,2.57,5.95,2.16,
concavity,noun,4.54,3.19,1.85,1.67,
suck,verb,4.84,2.04,6.08,2.08,
military group,noun,4.1,2.24,5.55,1.58,
invoke,verb,4.05,2.59,7.19,1.69,
pact,noun,2.95,2.55,7.72,1.75,
business,noun,3.92,1.94,5.29,1.15,
assault,verb,6.83,2.26,3.52,2.12,
daimon,noun,6.76,2.68,2.11,1.56,
visual communication,noun,4.86,2.88,6.68,2.1,
accumulate,verb,4.8,2.82,4.16,2.34,
variety,noun,4.56,1.78,5.64,1.34,
burying ground,noun,4.82,2.66,2.63,1.4,
nonstarter,noun,6.21,2.79,2,1.31,
bad luck,noun,4.76,2.55,2.45,1.61,
succeeder,noun,4.09,2.37,6.59,1.57,
institute,verb,3.62,2.25,5.98,1.83,
Imperial capacity unit,noun,3.36,2.28,5.05,1.46,
bedraggled,adj,4.88,2.29,3.08,2.05,
garbled,adj,6.03,1.88,3.21,1.51,
eat,verb,4.2,2.42,5.07,1.97,
resistive,adj,6.1,2.51,4.26,2.12,
magnate,noun,5.51,2.77,7.26,1.67,
undertaking,noun,6.98,2.15,7.6,1.5,
Canis familiaris,noun,5.11,2.84,7,2.01,
entertaining,adj,7.22,2.01,8.37,1.11,
sports stadium,noun,5.97,2.59,7.3,1.84,
timbre,noun,4.73,2.64,7.02,1.57,
wittiness,noun,5.5,2.91,8.56,0.81,
gain,verb,5.73,2.09,4.33,2.35,
unclothed,adj,5.8,2.8,6.34,2.42,
strategy,noun,5.89,2.37,6.98,1.97,
piddle,noun,4.97,2.49,6.61,1.78,
lather,verb,4.38,2.24,5.72,2.43,
courage,noun,6.34,2.25,7.39,1.53,
press,noun,6.07,2.26,3.38,1.61,
figure out,verb,5.41,2.43,6.63,1.68,
ballplayer,noun,5.64,2.51,6.89,2.12,
jaw,verb,6,2.43,7.18,1.97,
piece of land,noun,5.53,2.96,7.92,1.2,
aggregation,noun,4.8,2.71,7.65,1.55,
clothing,noun,4.05,1.89,6.41,1.34,
jubilate,verb,5.78,2.6,7.8,1.83,
puerile,adj,4.15,1.96,3.39,1.7,
computerized axial tomography,noun,4.38,2.24,5.72,2.43,
grad,noun,7.25,2.25,8.19,1.13,
actuality,noun,5,2.77,7.8,1.29,
irrupt,verb,6.95,2.44,2.31,1.44,
sloppiness,noun,4.83,2.31,2.63,1.64,
bookman,noun,5.86,2.7,5.2,2.54,
tranquil,adj,4.91,2.57,6.58,1.78,
panic-struck,adj,7.86,2.27,1.72,1.14,
bust,noun,7.15,2.4,2.1,1.19,
low,adj,5.43,2.42,3.05,1.92,
natural event,noun,5.54,2.37,3.29,1.95,
perturbation,noun,6.85,2.03,3.03,2.09,
primal,adj,3.7,2.18,5.68,1.62,
father,verb,6.13,2.71,8.39,1.15,
movement,noun,6.21,2.51,7.1,2,
suspicion,noun,6.34,2.25,7.39,1.53,
store,noun,5.42,2.25,6.62,1.5,
stink out,verb,4.26,2.1,3,1.79,
shitting,noun,4.12,2.36,3.21,1.87,
eros,noun,6.44,3.35,8.72,0.7,
trim,verb,5,2.32,3.64,2.08,
faithful,adj,5.16,2.42,7.55,1.9,
Egyptologist,noun,5.64,2.51,6.89,2.12,
bloom,noun,4,2.44,6.64,1.78,
harassment,noun,5.87,2.56,4.84,2.51,
wheeled vehicle,noun,6.24,2.04,7.73,1.63,
time period,noun,6.02,2.62,7.27,1.88,
video display,noun,3.36,2.12,4.82,1.23,
concern,noun,5.32,2.39,6.5,2.03,
gustatory perception,noun,5.22,2.38,6.66,1.57,
tout,verb,5.78,2.6,7.8,1.83,
resile,verb,4.9,2.35,4.31,2.18,
packer,noun,5.39,2.53,6.46,1.76,
kindle,verb,7.17,2.06,3.22,2.06,
booster,noun,5.85,3.15,8.44,0.9,
articulate,verb,7.45,2.38,2.09,1.41,
medical man,noun,5.73,2.13,4.02,2.23,
falsify,verb,4.44,1.96,6.16,1.89,
right,adj,4.49,2.28,6.2,1.85,
back up,verb,4.93,2.23,2.81,1.52,
insecure,adj,3.14,2.47,7.57,1.76,
wind,noun,4.37,2.32,6.85,1.71,
tea cosey,noun,3.32,2.28,7.39,1.53,
bald-faced,adj,5.38,2.37,4.35,1.76,
moody,adj,4.28,2.21,4.71,2.36,
put over,verb,2.92,2.16,5.22,0.72,
hate,verb,6.28,2.43,2.03,1.38,
air,noun,3.82,2.24,5.11,1.78,
repulsive,adj,5.04,2.3,4.23,2.3,
sickish,adj,4.29,2.45,1.9,1.14,
infernal region,noun,5.38,2.62,2.24,1.62,
metal,noun,3.76,2.06,4.9,1.02,
indication,noun,4.64,2.75,5.31,2.02,
acquire,verb,6.68,1.78,7.63,1.3,
pay,verb,4.67,2.35,3.32,2.32,
toss out,verb,4.14,2.3,2.93,1.76,
defy,verb,6.15,2.45,7.15,1.64,
pushing,noun,6.07,2.26,3.38,1.61,
confused,adj,4.72,2.71,2.31,1.37,
melancholy,noun,3.83,2.33,1.88,1.23,
miserable,adj,4.71,2.72,3.19,2,
labor,noun,5.53,2.8,8.22,1.2,
demoniac,adj,5.83,2.45,2.85,1.94,
relax,verb,6.53,2.1,3.56,1.36,
reave,verb,6.35,2.04,4.02,2.76,
colour,verb,6.22,1.91,2.73,1.72,
expensiveness,noun,4.75,2.91,7.88,1.49,
rueful,adj,4.69,1.98,5.53,1.86,
intention,noun,5.86,1.81,7,1.34,
inclose,verb,4.27,2.07,4.75,1.38,
bruise,verb,5.56,2.06,2.76,1.5,
injustice,noun,5.47,2.54,7.78,1.35,
foiled,adj,5.61,2.76,2.48,1.64,
soil,verb,4.93,2.23,2.81,1.52,
mould,verb,4.07,1.98,3.55,1.7,
unparalleled,adj,4.83,2.66,2.41,1.77,
surgical process,noun,6.35,2.32,2.86,2.19,
stick,verb,4.07,1.98,3.55,1.7,
ambiance,noun,3.83,2.33,1.88,1.23,
birth,verb,3.36,2.18,5.89,1.73,
loveable,adj,5.12,2.71,7.81,1.24,
fossil oil,noun,5.07,2.37,3.12,1.65,
Yule,noun,6.27,2.56,7.8,1.55,
military action,noun,7.15,2.19,3.76,2.63,
emotionalism,noun,3.73,2.4,7.41,1.81,
unmentionable,noun,3.95,2.09,5.25,1.33,
feeling,noun,5.5,2.91,8.56,0.81,
critical,adj,5.95,2.55,2.82,2.12,
have,verb,5.9,1.83,7.66,1.24,
let loose,verb,4.97,2.13,5.75,1.38,
category,noun,4.46,2.55,7.59,1.67,
mismatched,adj,4.27,2.46,4.82,2.04,
pass off,verb,4.7,2.48,4.09,2.21,
issue,verb,5.15,3.04,8.26,1.31,
recovery,noun,6.53,2.56,7.7,1.24,
unaged,adj,4.15,1.96,3.39,1.7,
iniquitous,adj,6.09,2.44,2.96,2.37,
Lucifer,noun,6.07,2.61,2.21,1.99,
imbed,verb,3.62,2.25,5.98,1.83,
defense,noun,4.48,2.29,4.05,1.41,
shrieking,noun,7.04,1.96,3.88,2.07,
undemonstrative,adj,3.27,2.05,4.88,1.83,
inclemency,noun,3.46,1.92,3.65,1.61,
nonachievement,noun,4.07,1.69,3.43,1.38,
offend,verb,5.78,2.21,2.8,1.67,
disconsolate,adj,4.28,2.21,4.71,2.36,
run-down,adj,4.1,1.94,4.28,1.84,
non-white,adj,4.28,2.21,4.71,2.36,
pretended,adj,3.43,2.09,3.27,1.4,
berth,noun,3.15,1.77,5.08,0.98,
house of God,noun,4.34,2.45,6.28,2.31,
natural spring,noun,5.67,2.51,7.76,1.51,
imagine,verb,4.53,2.72,6.73,1.75,
regulate,verb,4.07,1.98,3.55,1.7,
correct,verb,4.71,2.09,6.93,1.47,
military vehicle,noun,4.88,1.86,5.16,1.87,
moneyed,adj,5.8,2.73,7.7,1.34,
usage,noun,3.95,2.11,4.11,1.77,
social group,noun,3.86,2.13,5.67,1.26,
nowadays,noun,3.83,2.29,5.76,1.65,
collide with,verb,5.73,2.09,4.33,2.35,
hurt,noun,6.1,2.77,1.56,0.79,
dipteron,noun,4.78,2.72,2.8,1.91,
subject,adj,4.5,1.91,6.89,1.7,
unbendable,adj,4.02,2.41,4.68,1.97,
consortium,noun,5.3,2.66,6.68,2.71,
tit,noun,5.37,2.39,6.5,1.78,
gadfly,noun,5.62,2.15,3.13,1.82,
grade,noun,4.48,2.12,6.25,1.59,
hardcore,adj,5.16,2.42,7.55,1.9,
edulcorate,verb,5.64,2.18,6.74,1.73,
discomfort,noun,3.93,2.85,7.07,2.14,
palliate,verb,3.93,2.85,7.07,2.14,
ramification,noun,3.96,1.94,5.29,0.97,
unloosen,verb,5.15,3.04,8.26,1.31,
fondness,noun,5.19,2.39,7.64,1.29,
lad,noun,5.76,2.5,7.57,1.66,
set forth,verb,3.82,2.24,5.11,1.78,
kick in,verb,4.9,2.35,4.31,2.18,
attempt,verb,7.15,2.19,3.76,2.63,
quickly,adv,4.48,2.82,7.1,1.91,
coercive,adj,5.83,2.69,6.84,1.8,
humour,noun,5.5,2.91,8.56,0.81,
lawmaking,noun,4.36,2.13,5.28,1.44,
atomic number 6,noun,5.53,2.96,7.92,1.2,
cite,verb,4.25,2.47,5.55,2.24,
mother,verb,5.92,2.6,7.08,2.2,
pure,adj,3.52,2.05,4.39,1.46,
nasty,adj,4.38,2.69,6.55,2.44,
scandalise,verb,6.83,2.26,3.52,2.12,
learn,verb,6.84,2.06,7.13,1.58,
manse,noun,5.1,2.75,7.19,1.78,
knock over,verb,5.86,2.4,2,1.18,
piece of writing,noun,4.05,1.96,5.14,1.49,
cloud,verb,4.67,2.35,3.32,2.32,
brute,noun,5.1,2.59,6.79,2.32,
fling,verb,4.27,2.17,7.37,1.4,
maddened,adj,7.97,2.17,2.46,1.65,
bespeak,verb,4.17,2.49,5.72,1.54,
jeopardize,verb,6.98,2.15,7.6,1.5,
infliction,noun,6.5,2.49,2.13,1.81,
faeces,noun,4,2.14,4.56,1.72,
competition,noun,6.1,2.29,6.61,2.08,
extremity,noun,4.4,2.07,5.95,1.38,
dent,noun,4.7,2.59,3.98,1.73,
substantial,adj,3.18,1.76,4.74,1.02,
caper,noun,6.74,1.84,8.1,1.36,
pillaging,noun,6.81,3.17,1.25,0.91,
rush,noun,8.02,1.65,8.05,1.48,
artefact,noun,5.43,2.85,7.47,1.45,
conjugation,noun,3.68,1.99,5.16,1.57,
way,noun,3.91,2.64,7.52,1.23,
distinguished,adj,4.12,2.29,7.1,1.26,
mortal,noun,4.19,2.45,6.32,1.74,
tremble,verb,8.02,1.65,8.05,1.48,
scheming,adj,5.12,2.19,5.22,1.82,
preparation,noun,4.39,1.99,6.64,1.48,
best-loved,adj,5.1,2.59,6.79,2.32,
disembark,verb,4.38,2.29,5.55,1.4,
unpaid,adj,6.24,2.59,7.75,1.75,
select,adj,4.48,2.12,6.25,1.59,
person,noun,6.11,2.65,8.29,0.93,
diplomat,noun,5.96,2.63,2.79,1.92,
enjoyment,noun,5.59,2.66,6.79,2.04,
jingoistic,adj,5.16,2.42,7.55,1.9,
deciding,noun,4.74,2.23,6.49,1.31,
acme,noun,4.28,2.53,6.58,1.42,
fulfill,verb,5.41,2.43,6.63,1.68,
sagacious,adj,3.91,2.64,7.52,1.23,
commit,verb,5.3,2.66,6.68,2.71,
dreamless,adj,3.89,2.54,7.62,1.41,
develop,verb,5.03,2.65,7.26,1.18,
playfulness,noun,5.5,2.91,8.56,0.81,
diseased person,noun,5.39,2.46,3.76,2,
wary,adj,6.25,1.59,3.76,1.42,
blackguard,verb,5.87,2.56,4.84,2.51,
raiment,verb,4.05,1.89,6.41,1.34,
become,verb,5.67,2.51,7.76,1.51,
unrestrained,adj,6.76,2.26,2.44,1.72,
lucre,noun,6.68,1.78,7.63,1.3,
illegitimate,noun,6.07,2.15,3.36,2.16,
spouse,noun,4.93,2.22,6.33,1.97,
gloomy,adj,4.13,2.38,1.61,0.95,
shout,verb,5.36,2.91,3.93,2.22,
inept,adj,5.18,2.4,4,2.22,
sticker,noun,5.14,2.14,3.64,1.76,
blasphemous,adj,4.88,2.29,3.08,2.05,
sign,noun,4.69,1.99,5.81,1.21,
keep an eye on,verb,4.1,2.12,5.78,1.51,
discrimination,noun,5.22,2.38,6.66,1.57,
take in,verb,5.69,2.51,7.47,1.73,
throw out,verb,5,2.83,6.42,2.05,
avaritia,noun,4.71,2.26,3.51,1.93,
psychological disorder,adj,5.13,2.76,4.45,2.23,
job,noun,5.89,2.37,6.98,1.97,
create from raw stuff,verb,4.29,2.48,6.02,1.96,
sepulture,noun,5.08,2.4,2.05,1.41,
clustering,noun,4.07,2.15,4.64,1.36,
furore,noun,8.17,1.4,2.41,1.86,
experience,verb,5.83,2.48,7,2.11,
criticize,verb,6.47,2.47,2.23,1.72,
crossroad,noun,3.91,1.92,4.36,1.21,
appearance,noun,4.73,2.64,7.02,1.57,
admittance,noun,3.8,2.29,5.13,1.44,
kinfolk,noun,5.94,2.09,7.33,1.7,
change of integrity,noun,5.57,2.26,3.05,1.65,
ordnance,noun,4.71,2.84,4.9,2.2,
devilry,noun,5.76,1.95,5.57,2.05,
take chances,verb,5.38,2.58,6.02,1.77,
mental imagery,noun,4.66,2.43,6.62,1.84,
separate,adj,4.26,2.57,3.86,1.88,
type,noun,5.04,2.18,6.39,1.6,
interest,verb,5.83,2.73,7.34,1.68,
fairy,noun,4.76,2.18,6.44,1.43,
embracing,noun,5.35,2.76,8,1.55,
pass,verb,4.7,2.48,4.09,2.21,
churn up,verb,6.56,2.34,4.13,1.78,
wealth,noun,4.75,2.91,7.88,1.49,
unmoving,adj,4.66,2.47,3.66,2.12,
fortunate,adj,6.53,2.34,8.17,1.06,
ingredient,noun,4.37,2.14,6.47,1.59,
intoxicant,noun,4.78,2.34,5.95,2.19,
meddler,noun,4.84,2.41,5.17,2.02,
invest,verb,6.14,2.76,7.77,2.24,
dreadful,adj,6.27,2.44,1.93,1.44,
patent,adj,3.52,2.05,4.39,1.46,
pal,noun,4.71,2.68,7.11,2.17,
entrance,noun,3.8,2.29,5.13,1.44,
falsity,noun,5.68,2.46,2.9,1.63,
thought process,adj,4.84,2.57,6,2.21,
utilise,verb,6.84,2.06,7.13,1.58,
frigidness,noun,5.19,2.23,4.02,1.99,
fighter,noun,3.17,1.84,5.33,1.2,
manual laborer,noun,4.4,2.07,5.95,1.38,
wearable,noun,4.78,2.88,6.54,1.85,
base,noun,4.21,2.94,7.91,1.63,
force,verb,6.07,2.26,3.38,1.61,
falsification,noun,5.68,2.46,2.9,1.63,
liven,verb,5.56,2.62,7,1.32,
individual,noun,6.42,2.83,1.5,0.85,
unornamented,adj,3.52,2.05,4.39,1.46,
shake,verb,8.02,1.65,8.05,1.48,
enraged,adj,7.17,2.07,2.85,1.7,
brace,noun,6.39,2.31,7.41,1.97,
unfortunate,noun,4.95,2.81,1.7,1.07,
cooking stove,noun,4.51,2.14,4.98,1.69,
VD,noun,5.69,3.25,1.68,1.23,
disadvantage,verb,4.76,2.18,6.95,1.85,
Brigid,noun,5.55,2.74,7.34,1.71,
dirty word,noun,5.12,2.32,2.47,1.68,
sum of money,noun,5.29,2.04,6.41,1.61,
remaining,adj,4.27,2.46,4.82,2.04,
clams,noun,5.64,2.18,6.74,1.73,
underbred,adj,6.31,2.47,2.5,2.11,
fix,verb,4.25,2.47,5.55,2.24,
roughshod,adj,5.68,2.65,1.97,1.67,
organism,noun,4.84,2.52,3.91,2.44,
wind up,verb,7.36,1.91,8.05,1.53,
honorific,adj,4.6,2.67,7.22,1.27,
skilled,adj,5.2,2.85,7.09,1.78,
recreant,noun,5.5,2.55,2.45,1.8,
dalliance,noun,6.91,1.69,7.52,1.19,
off the hook,adj,3.86,2.72,7.07,1.9,
aghast,adj,6.67,2.54,2,1.28,
plushy,adj,4.93,2.4,6.21,2.03,
come down,verb,6.95,2.44,2.31,1.44,
obnubilate,verb,4.13,2.13,4.44,2.07,
changeling,noun,4.21,2.47,3.16,1.91,
knock off,verb,4.14,2.3,2.93,1.76,
abase,verb,3.74,2.33,5.86,1.42,
nuzzle,verb,4.4,2.67,7.72,1.92,
blue-blooded,adj,3.21,2.57,7.31,1.3,
lie in,verb,5.96,2.63,2.79,1.92,
sentry,noun,4.1,2.12,5.78,1.51,
odourise,verb,5.05,2.36,6.76,1.48,
worker,noun,4.95,2.36,3.02,1.66,
somatesthesia,noun,6.07,2.26,3.38,1.61,
serenity,noun,2.95,2.55,7.72,1.75,
ire,noun,6.83,2.26,3.52,2.12,
tight,adj,6.53,2.1,3.56,1.36,
rat,verb,7.24,2.06,1.68,1.02,
wannabee,noun,5.78,2.09,7.1,1.46,
gratuitous,adj,5.15,3.04,8.26,1.31,
diffident,adj,3.27,2.05,4.88,1.83,
social control,noun,5.1,2.31,2.83,1.56,
causa,noun,4.93,2.44,3.37,2,
succession,noun,3.65,2.35,5.08,2.51,
fashion,noun,4.56,1.78,5.64,1.34,
graphic symbol,noun,5.83,2.44,7.27,1.66,
slacken,verb,3.39,2.22,3.93,1.6,
cart,noun,4.84,2.17,5.47,1.88,
racket,verb,6.39,2.63,2.96,1.93,
jape,noun,6.74,1.84,8.1,1.36,
French person,noun,4.54,2.03,5.71,1.74,
redaction,noun,5,2.32,3.64,2.08,
attribute,noun,6.12,2.45,8.1,1.17,
flavor,verb,5.59,2.66,6.79,2.04,
render,verb,4.27,2.07,4.75,1.38,
intellect,noun,5,2.68,6.68,1.84,
frosty,adj,5.19,2.23,4.02,1.99,
pair,noun,6.39,2.31,7.41,1.97,
thoughtful,adj,5.82,2.62,2.82,1.83,
ho-hum,adj,3.39,2.22,3.93,1.6,
gynaecologist,noun,4.52,2.37,5.56,1.38,
cut up,adj,5,2.32,3.64,2.08,
single,noun,5.5,2.66,6.88,1.93,
indoors,adv,5.92,2.55,7.47,1.8,
religious belief,adj,4.84,2.57,6,2.21,
death,noun,5.7,2.96,2.28,1.91,
influential person,noun,4.25,2.47,5.55,2.24,
plain,adj,5.26,2.36,3.2,1.74,
stamp down,verb,5.44,2.68,6.93,1.83,
order of payment,noun,5.4,2.7,7.98,1.42,
loved one,noun,6.44,3.35,8.72,0.7,
ravisher,noun,4.95,2.57,7.82,1.16,
encourage,verb,6.12,2.45,8.1,1.17,
support,noun,5.76,2.5,7.57,1.66,
weak,adj,4.88,2.3,6.93,1.28,
traveling,noun,4.12,2.3,6.34,1.56,
groundwork,noun,3.27,1.98,5.02,0.93,
underhand,adj,4.67,2.35,3.32,2.32,
calculation,noun,5.86,1.81,7,1.34,
felon,noun,7.47,2.18,1.53,0.96,
junction,noun,3.86,2.13,5.67,1.26,
batch,noun,6,2.02,3.19,1.66,
clear,adj,4.21,1.99,6.51,1.34,
theologist,noun,4.93,2.82,3.34,2.31,
skirt,noun,3.17,2.23,7.27,1.36,
commendation,noun,5.8,2.79,7.5,1.5,
vicious,adj,4.79,2.51,2.93,1.66,
genuine,adj,5.32,1.92,7.7,1.43,
mite,noun,4.59,2.1,3.83,1.7,
too-generous,adj,4.93,2.4,6.21,2.03,
drubbing,noun,6.77,2.42,1.64,1.18,
smuggled,adj,4.61,2.24,5.39,1.8,
material possession,noun,5.3,2.66,6.68,2.71,
loathly,adj,4.93,2.23,2.81,1.52,
potency,noun,5.38,2.58,6.02,1.77,
round,verb,3.86,2.13,5.67,1.26,
engagement,noun,7.51,2.28,2.03,1.55,
operative,noun,3.27,1.98,5.02,0.93,
decrease,noun,4.7,2.48,4.09,2.21,
secure,verb,3.8,2.18,5.22,1.13,
ball,noun,3.76,2.39,5.29,1.82,
screech,noun,5.36,2.91,3.93,2.22,
piece of ground,noun,3.18,1.76,4.74,1.02,
unsexed,adj,5,2.32,3.64,2.08,
gabfest,noun,5.74,2.38,3.48,2.33,
mistreatment,noun,6.83,2.7,1.8,1.23,
component part,noun,3.24,2.08,5.26,0.86,
duty,noun,4.08,1.92,5.24,1.59,
crashing,adj,6.41,2,2.9,1.98,
prohibit,verb,5,2.83,6.42,2.05,
timpani,noun,3.22,2.23,5.22,0.91,
lead,noun,4.95,2.14,6.12,1.86,
domestic dog,noun,5.85,2.78,7.56,1.9,
spitefulness,noun,6.08,2.44,2.68,1.81,
writer,noun,4.14,2.11,6.12,1.44,
straighten,verb,3.98,2.22,6.3,1.56,
fearless,adj,5.6,2.21,6.8,1.61,
make love,verb,3.61,2.56,7.51,1.38,
form,noun,3.95,2.28,5.46,1.75,
foot,noun,3.61,2.56,7.51,1.38,
careless,adj,4.07,2.18,4.02,1.41,
turn over,verb,4.4,2.07,5.95,1.38,
butchery,noun,5.33,2.63,2.28,1.74,
unconfident,adj,3.77,2.29,4.64,1.83,
catch some Z's,verb,2.8,2.66,7.2,1.77,
soiled,adj,4.93,2.23,2.81,1.52,
collar,noun,4.59,2.1,3.83,1.7,
humiliated,adj,3.74,2.33,5.86,1.42,
turn up,verb,4.59,2.1,3.83,1.7,
miss,verb,4.83,2.31,2.63,1.64,
say,verb,5.12,2.39,6.95,1.85,
disco biscuit,noun,7.38,1.92,7.98,1.52,
mansion,noun,4.56,2.41,7.26,1.72,
betrayer,noun,5.78,2.47,2.22,1.69,
animal communication,noun,6.07,2.42,7.1,1.97,
sorrowfulness,noun,4.2,2.15,4.57,1.7,
manoeuver,verb,3.42,2.21,6.32,1.56,
Sun,noun,5.04,2.66,7.55,1.85,
quiver,noun,8.02,1.65,8.05,1.48,
artifact,noun,4.14,1.98,5.3,1.2,
gallant,adj,6.15,2.45,7.15,1.64,
lowborn,adj,3.74,2.33,5.86,1.42,
genial,adj,5.11,2.96,8.43,1.08,
taproom,noun,5,2.83,6.42,2.05,
coitus,noun,7,2.07,7.36,1.57,
goon,noun,4.8,2.82,4.16,2.34,
unassailable,adj,3.14,2.47,7.57,1.76,
won,adj,5.82,2.62,2.82,1.83,
track down,verb,4.39,2.29,5.88,1.62,
notion,noun,4.89,2.46,6.28,1.45,
encounter,verb,5.38,2.58,6.02,1.77,
imperfection,noun,5.95,2.73,7.25,2.05,
top side,noun,4.28,2.53,6.58,1.42,
puddingheaded,adj,6.03,1.88,3.21,1.51,
striking,noun,5.73,2.09,4.33,2.35,
gadget,noun,4.05,2.06,5.1,1.21,
move on,verb,6.21,2.51,7.1,2,
trespass,verb,4.7,2.48,4.09,2.21,
waste,noun,5.04,2.5,2.98,1.96,
savour,verb,5.22,2.38,6.66,1.57,
quat,noun,4.38,2.24,5.72,2.43,
smart,verb,6.22,1.91,2.73,1.72,
poop,noun,3.76,2.26,4.17,1.77,
altercate,verb,6.29,2.56,2.93,2.06,
defend,verb,7.15,2.19,3.76,2.63,
emotion,noun,6.96,2.17,2.76,2.12,
languish,verb,5,2.45,2.46,1.52,
body part,noun,3.93,2.49,4.82,2.06,
flower arrangement,noun,5.46,2.47,7.02,1.84,
jewellery,noun,5.38,2.54,7,1.72,
sick,verb,5.75,2.84,2.06,1.57,
charge,verb,4.25,2.47,5.55,2.24,
helper,noun,4.88,2.3,6.93,1.28,
create by mental act,verb,5.98,2.14,7.32,1.52,
sound,adj,3.14,2.47,7.57,1.76,
