word,cat,A_M,A_SD,V_M,V_SD
shortsightedness,noun,4.14,2.3,2.93,1.76,
community,noun,5,2.83,6.42,2.05,
assemblage,noun,6.75,2.3,8.27,0.9,
attorney,noun,3.7,2.18,5.68,1.62,
aesthesis,noun,4.66,2.43,6.62,1.84,
alteration,noun,5.57,2.26,3.05,1.65,
unwieldy,adj,5.18,2.4,4,2.22,
spiritual being,noun,5.95,2.84,8.15,1.27,
make full,verb,5.94,2.09,7.33,1.7,
bear upon,verb,5.73,2.09,4.33,2.35,
motorcar,noun,3.82,2.4,5.09,1.67,
cut to,verb,5,2.32,3.64,2.08,
puniness,noun,6.74,1.84,8.1,1.36,
singer,noun,5.51,2.77,7.26,1.67,
pledged,adj,6.77,2.07,8,1.38,
livid,adj,4.37,2.14,6.47,1.59,
colouring material,noun,4.1,2.36,5.62,1.72,
deliver the goods,verb,7.72,2.16,8.38,0.92,
gambol,noun,5.89,2.37,6.98,1.97,
frustrated,adj,5.09,3,2.34,1.66,
esthetical,adj,6.17,2.34,7.6,1.64,
governing body,noun,3.59,2.07,4.61,1.4,
unsnarl,verb,5.87,2.56,4.84,2.51,
heavens,noun,3.88,1.99,5.33,0.87,
antimonial,adj,3.79,1.96,4.95,1.17,
nonaccomplishment,noun,4.83,2.31,2.63,1.64,
foreclose,verb,4.95,2.19,6.45,1.93,
influence,verb,4.64,2.75,5.31,2.02,
choler,noun,8.17,1.4,2.41,1.86,
isolation,noun,4.12,1.83,5.88,1.5,
general,noun,4.93,2.82,3.34,2.31,
trend,verb,5,2.32,3.64,2.08,
cyst,noun,4.1,2.34,2.88,1.75,
workingman,noun,5.12,2.26,5.51,1.8,
effort,noun,3.82,2.24,5.11,1.78,
rumormonger,noun,4.38,2.24,5.72,2.43,
bookable,adj,3.27,2.05,4.88,1.83,
take away,verb,5.15,3.04,8.26,1.31,
rattle down,verb,4.36,2.18,5.03,1.23,
erect,verb,4.7,2.59,3.98,1.73,
substance,noun,5.52,2.63,5.55,2.37,
conception,noun,3.82,2.24,5.11,1.78,
component,noun,3.75,2.49,5.59,1.87,
aid,verb,4.77,2.23,7.09,1.46,
fracture,noun,4.07,1.69,3.43,1.38,
wakeful,adj,6.85,2.53,6.2,1.76,
experient,adj,6.98,2.21,7.61,1.51,
guileless,adj,3.18,1.76,4.74,1.02,
