word,cat,A_M,A_SD,V_M,V_SD
assemblage,noun,4.8,2.71,7.65,1.55,
macrocosm,noun,4.37,2.51,7.65,1.37,
enamor,verb,5.16,2.25,6.77,1.58,
covert,adj,4.09,2.77,7.29,1.79,
bear upon,verb,4.73,2.64,7.02,1.57,
make full,verb,6,2.02,3.19,1.66,
pep up,verb,6.12,2.45,8.1,1.17,
crenelate,adj,5.36,2.37,4.39,1.63,
male child,noun,4.29,2.69,6.87,1.64,
ring armour,noun,5.63,2.36,6.88,1.74,
lucent,adj,5.4,2.33,7.5,1.55,
overtop,verb,4.3,2.26,4.35,1.23,
orderly,adj,3.98,2.22,6.3,1.56,
describe,verb,4.25,2.47,5.55,2.24,
motherfucker,noun,6.07,2.15,3.36,2.16,
held up,adj,5.62,2.39,3.07,1.74,
calm,adj,2.82,2.13,5.58,1.83,
pissed,adj,5.64,2.48,2.79,2.23,
downslope,noun,4.7,2.48,4.09,2.21,
ultranationalistic,adj,5.16,2.42,7.55,1.9,
quest,verb,4.17,2.49,5.72,1.54,
chivvy,verb,5.36,2.89,3.82,1.73,
enable,verb,5.12,2.42,5.93,2.1,
down in the mouth,adj,4.72,2.95,1.83,1.42,
position,verb,4.16,2.8,7.92,1.24,
kinsfolk,noun,4.25,2.47,5.55,2.24,
introduce,verb,4.27,2.07,4.75,1.38,
creature,noun,5.64,2.51,6.89,2.12,
book,noun,4.05,1.96,5.14,1.49,
tanginess,noun,5.59,2.66,6.79,2.04,
effort,noun,7.49,2.16,2.08,1.91,
romance,verb,3.47,2.39,7.17,1.2,
assay,verb,7.15,2.19,3.76,2.63,
smooth-textured,adj,4.91,2.57,6.58,1.78,
pedagog,noun,4.37,2.14,6.47,1.59,
component,noun,3.24,2.08,5.26,0.86,
taste perception,noun,5.1,1.95,3.93,1.98,
withdrawn,adj,3.27,2.05,4.88,1.83,
fauna,noun,5.1,2.59,6.79,2.32,
kindly,adj,4.46,2.55,7.59,1.67,
fig up,verb,4.05,1.89,6.41,1.34,
elicit,verb,5.86,2.4,2,1.18,
theologizer,noun,5.92,2.6,7.08,2.2,
grunge,noun,3.98,2.29,3.37,1.34,
man of the cloth,noun,5.51,2.77,7.26,1.67,
tedious,adj,3.39,2.22,3.93,1.6,
scrapper,noun,5.12,2.26,5.51,1.8,
puckish,adj,6.09,2.44,2.96,2.37,
swaggering,adj,5.04,2.14,3.68,1.9,
supporter,noun,4.88,2.3,6.93,1.28,
broody,adj,5.72,2.3,7.65,1.03,
darkness,noun,4.61,2.24,5.39,1.8,
committed,adj,6.77,2.07,8,1.38,
fella,noun,5.76,2.5,7.57,1.66,
Noel,noun,6.27,2.56,7.8,1.55,
plainly,adv,3.52,2.05,4.39,1.46,
quality,noun,4.73,2.64,7.02,1.57,
gist,noun,6.34,2.25,7.39,1.53,
shooting iron,noun,5.55,2.39,4.02,2.44,
sightly,adj,6.17,2.34,7.6,1.64,
five-year-old,adj,4.15,1.96,3.39,1.7,
watch,verb,5.39,2.22,7.15,1.49,
dishonour,verb,6.83,2.26,3.52,2.12,
blueness,noun,5,2.72,7,1.88,
distrust,verb,5.3,2.66,6.68,2.71,
break of day,noun,4.39,2.81,6.16,2.33,
founder,verb,4.7,2.48,4.09,2.21,
mar,noun,4.79,2.11,3.38,1.7,
colour-blind,adj,4.39,2.36,3.05,1.99,
wear out,verb,3.81,2.29,3.79,2.12,
source,noun,4.95,2.36,3.02,1.66,
peach,noun,5.5,2.73,8.42,0.83,
nonsuch,noun,4.49,1.9,6.49,1.7,
expect,verb,5.98,2.14,7.32,1.52,
wound,verb,3.74,2.33,5.86,1.42,
ungodly,adj,6.09,2.44,2.96,2.37,
pushover,noun,4.37,2.32,6.85,1.71,
piece of music,noun,4.36,2.13,5.28,1.44,
eudaemonia,noun,5.13,2.35,6.81,1.88,
publishing company,noun,2.5,1.85,5.2,1.21,
view,noun,5,2.68,6.68,1.84,
choke,verb,4.93,2.23,2.81,1.52,
pit,noun,5.38,2.62,2.24,1.62,
composure,noun,2.82,2.13,5.58,1.83,
untoothed,adj,4.91,2.57,6.58,1.78,
battle,noun,7.15,2.19,3.76,2.63,
reckon,verb,6.75,2.3,8.27,0.9,
incorrupt,adj,4.49,2.28,6.2,1.85,
dwelling house,noun,4.56,2.41,7.26,1.72,
enwrap,verb,5.28,2.51,4.32,1.91,
tolerate,verb,3.93,2.49,4.82,2.06,
cheer up,verb,5.78,2.6,7.8,1.83,
scout,noun,4.1,2.12,5.78,1.51,
go,verb,6.03,3.19,1.56,0.96,
lash out,verb,4.1,2.34,2.88,1.75,
Holy Writ,noun,4.17,2.49,5.72,1.54,
invulnerable,adj,3.14,2.47,7.57,1.76,
drinkable,noun,5.29,2.55,6.88,1.89,
set about,verb,4.7,2.48,4.09,2.21,
agency,noun,5.03,2.03,4.72,1.75,
unshakable,adj,4.02,2.41,4.68,1.97,
gamy,adj,6.15,2.45,7.15,1.64,
humor,noun,6.74,1.84,8.1,1.36,
