word,cat,A_M,A_SD,V_M,V_SD
bad luck,noun,6.24,2.64,1.78,1.31,
object,noun,4.24,2.49,7.15,1.67,
reveal,verb,7.24,2.06,1.68,1.02,
vesture,noun,4.05,1.89,6.41,1.34,
speck,noun,4.59,2.1,3.83,1.7,
eat,verb,6.22,1.91,2.73,1.72,
mad,adj,4.29,2.45,1.9,1.14,
fossil fuel,noun,5.07,2.37,3.12,1.65,
content,noun,4.17,2.02,4.61,1.63,
prune,verb,4.05,1.89,6.41,1.34,
civil rights activist,noun,5.64,2.51,6.89,2.12,
destroyed,adj,5.82,2.62,2.82,1.83,
smooth,adj,5.33,2.04,4.74,2,
actus reus,noun,5.57,2.26,3.05,1.65,
invigorate,verb,5.56,2.62,7,1.32,
vocalizer,noun,5.51,2.77,7.26,1.67,
hinge joint,noun,3.81,2.14,5.12,0.92,
swipe,verb,4.59,2.1,3.83,1.7,
sloppy,adj,4.13,2.13,4.44,2.07,
confine,verb,5.15,3.04,8.26,1.31,
gain,verb,5.37,2.39,6.5,1.78,
check up on,verb,4.1,2.12,5.78,1.51,
tumesce,verb,4.1,2.34,2.88,1.75,
bodily function,noun,7.36,1.91,8.05,1.53,
sweat,noun,6.85,2.03,3.03,2.09,
vindication,noun,4.48,2.29,4.05,1.41,
small fry,noun,5.55,2.29,7.08,1.98,
dishonorable,adj,4.61,2.24,5.39,1.8,
digit,noun,5.5,2.66,6.88,1.93,
move back,verb,6.21,2.51,7.1,2,
chuck out,verb,4.14,2.3,2.93,1.76,
night,noun,4.77,2.5,6.8,2.17,
Protestant,noun,5.5,2.17,3.37,1.63,
meek,adj,3.74,2.33,5.86,1.42,
larghetto,adj,3.39,2.22,3.93,1.6,
brass,noun,3.59,2.07,4.61,1.4,
penitential,adj,4.69,1.98,5.53,1.86,
piece of land,noun,4.08,2.41,6.2,1.37,
run through,verb,5.69,2.51,7.47,1.73,
employment,noun,6.83,2.7,1.8,1.23,
effectual,adj,4.02,2.41,4.68,1.97,
peril,verb,5.52,2.45,2.88,1.64,
jointure,noun,6.34,2.35,6.48,2.45,
certified,adj,3.14,2.47,7.57,1.76,
petulance,noun,5.1,2.59,6.79,2.32,
beautiful,adj,5.95,2.73,7.93,1.47,
spirit,noun,7.38,1.92,7.98,1.52,
pitching,noun,4.52,2.37,5.56,1.38,
stupid,adj,3.39,2.22,3.93,1.6,
coloured,adj,5.29,2.04,6.41,1.61,
canvass,verb,4.25,2.47,5.55,2.24,
natural event,noun,6.26,2.87,2.05,1.19,
impression,noun,4.7,2.59,3.98,1.73,
task,noun,6.98,2.15,7.6,1.5,
current of air,noun,4.37,2.32,6.85,1.71,
thought,noun,4.89,2.46,6.28,1.45,
roach,noun,3.86,2.13,5.67,1.26,
vilification,noun,5,2.32,3.64,2.08,
cat valium,noun,4.28,2.46,6.18,2.05,
sound out,verb,7.45,2.38,2.09,1.41,
noise,noun,5.36,2.91,3.93,2.22,
irresponsible,adj,4.17,2.84,7.54,1.38,
modify,verb,5.45,2.15,5.6,1.82,
spot,noun,3.15,1.77,5.08,0.98,
razz,verb,5.57,2.8,7.41,1.92,
imitative,adj,6.07,2.15,3.36,2.16,
African tea,noun,4.38,2.24,5.72,2.43,
change intensity,verb,2.82,2.13,5.58,1.83,
preventive,noun,3.86,2.72,7.07,1.9,
kill,verb,4.14,2.3,2.93,1.76,
lick,verb,5.41,2.43,6.63,1.68,
bet,verb,5.89,2.37,6.98,1.97,
overlook,verb,4.83,2.31,2.63,1.64,
discolour,verb,4.61,2.24,5.39,1.8,
be sick,verb,4.29,2.45,1.9,1.14,
infract,verb,5.78,2.21,2.8,1.67,
raptorial bird,noun,3.98,1.87,5.8,1.31,
plant,verb,4.25,2.47,5.55,2.24,
harass,verb,6.47,2.47,2.23,1.72,
upside,noun,4.28,2.53,6.58,1.42,
hit man,noun,7.02,1.84,3.47,2.48,
jump,noun,5.67,2.51,7.76,1.51,
contend,verb,5,2.32,3.64,2.08,
chronicle,noun,6.02,2.62,7.27,1.88,
embodied,adj,4.05,2.34,5.26,1.29,
strike,verb,5.8,2.39,3.66,2,
spectral colour,noun,4.28,2.46,6.18,2.05,
put on the line,verb,6.98,2.15,7.6,1.5,
police officer,noun,4.2,2.42,5.07,1.97,
air,noun,5.86,1.81,7,1.34,
malignity,noun,6.08,2.44,2.68,1.81,
nonsensical,adj,4.36,2.2,4.26,1.82,
yummy,adj,5.34,2.51,7.5,1.08,
understructure,noun,3.27,1.98,5.02,0.93,
dead,adj,5.5,2.74,7.25,2.22,
framing,noun,3.89,2.17,5.89,1.55,
acquire,verb,4,2.14,4.56,1.72,
toss out,verb,4.16,2.16,2.67,1.45,
waste product,noun,5.12,2.32,2.47,1.68,
crap,verb,4,2.14,4.56,1.72,
earn,verb,6.68,1.78,7.63,1.3,
waste matter,noun,5.04,2.5,2.98,1.96,
gain ground,verb,7.72,2.16,8.38,0.92,
the Tempter,noun,6.07,2.61,2.21,1.99,
confused,adj,5.82,2.62,2.82,1.83,
unstinted,adj,4.93,2.4,6.21,2.03,
disagreeable person,noun,6.76,2.68,2.11,1.56,
unfit,adj,5.89,2.37,6.98,1.97,
chin-wag,noun,5.74,2.38,3.48,2.33,
deconcentrate,verb,4.65,2.13,5.2,1.28,
automotive vehicle,noun,3.82,2.4,5.09,1.67,
limited,adj,3.98,2.24,5.76,1.28,
sleep in,verb,2.8,2.66,7.2,1.77,
ridiculer,noun,5.39,2.53,6.46,1.76,
colour,noun,4.1,2.36,5.62,1.72,
parcel,noun,3.18,1.76,4.74,1.02,
unconcerned,adj,3.89,2.54,7.62,1.41,
oblige,verb,6.07,2.26,3.38,1.61,
automobile,noun,3.41,2.14,5,1.96,
official document,noun,4.89,2.46,6.28,1.45,
skilful,adj,5.43,2.85,7.47,1.45,
noble,adj,3.21,2.57,7.31,1.3,
bruise,verb,6,2.46,2.29,1.33,
mould,verb,5.86,2.4,2,1.18,
mammary gland,noun,5.37,2.39,6.5,1.78,
dismal,adj,2.98,2.18,3.05,1.58,
tingle,noun,8.02,1.65,8.05,1.48,
wienerwurst,noun,5.76,2.5,7.57,1.66,
tilt,noun,7.15,2.19,3.76,2.63,
be,verb,5.14,2.39,6.93,1.3,
foetor,noun,4.36,2.46,2.19,1.37,
scratchy,adj,5.33,2.04,4.74,2,
intimidated,adj,4.11,2.09,3.86,1.55,
birth,noun,4.59,3.07,1.61,1.4,
exculpated,adj,4.21,1.99,6.51,1.34,
turned on,adj,7.36,1.91,8.02,1.12,
excite,verb,8.02,1.65,8.05,1.48,
impair,verb,4.67,2.35,3.32,2.32,
walking on air,noun,7.38,1.92,7.98,1.52,
newsmonger,noun,4.38,2.24,5.72,2.43,
critical,adj,5.26,2.36,3.2,1.74,
have,verb,5,2.53,6.97,1.91,
pansy,noun,4.76,2.18,6.44,1.43,
pass off,verb,4.7,2.48,4.09,2.21,
aculeus,noun,5.14,2.14,3.64,1.76,
colourless,adj,4.37,2.14,6.47,1.59,
dispiriting,adj,4.28,2.21,4.71,2.36,
tumble-down,adj,4.1,1.94,4.28,1.84,
drive off,verb,7.17,2.06,3.22,2.06,
visage,noun,5.04,2.18,6.39,1.6,
existence,noun,6.02,2.62,7.27,1.88,
syndicate,noun,5.3,2.66,6.68,2.71,
body structure,noun,4.36,2.13,5.28,1.44,
lay,verb,3.36,2.28,5.05,1.46,
unchaste,adj,4.48,2.82,7.1,1.91,
evenfall,noun,4.7,2.48,4.09,2.21,
imposing,adj,4.12,2.29,7.1,1.26,
prettify,verb,4.05,1.89,6.41,1.34,
hateful,adj,4.89,2.5,3.58,2.38,
indisposed,adj,4.29,2.45,1.9,1.14,
foil,verb,4.92,2.64,2.39,1.44,
light-headed,adj,5.88,2.38,7.41,1.8,
afraid,adj,7.86,2.27,1.72,1.14,
fecal matter,noun,3.76,2.26,4.17,1.77,
ill luck,noun,4.76,2.55,2.45,1.61,
nation,noun,6.67,1.87,6.54,2.21,
bring together,verb,6.39,2.31,7.41,1.97,
knock,verb,7.51,2.28,2.03,1.55,
crenate,adj,5.33,2.04,4.74,2,
hurt,verb,6.1,2.77,1.56,0.79,
national holiday,noun,6.27,2.56,7.8,1.55,
stir,verb,6.56,2.34,4.13,1.78,
characterization,noun,3.82,2.24,5.11,1.78,
plumbing fixture,noun,3.71,1.75,5.02,0.93,
alarming,adj,4.29,2.45,1.9,1.14,
self-seeking,adj,5.5,2.62,2.42,1.62,
infix,verb,3.62,2.25,5.98,1.83,
mastermind,noun,5.92,2.6,7.08,2.2,
think,verb,4.65,2.13,5.2,1.28,
perforated,adj,5,2.32,3.64,2.08,
natural object,noun,5.32,2.39,6.5,2.03,
friend,noun,4.71,2.68,7.11,2.17,
discover,verb,5.67,2.51,7.76,1.51,
employ,verb,6.84,2.06,7.13,1.58,
kick upstairs,verb,3.21,2.57,7.31,1.3,
necropolis,noun,4.82,2.66,2.63,1.4,
learn,verb,4.1,2.12,5.78,1.51,
yoke,noun,6.39,2.31,7.41,1.97,
slaveless,adj,5.15,3.04,8.26,1.31,
justify,verb,4.73,2.64,7.02,1.57,
luxe,adj,4.53,2.65,7.43,1.26,
misdeed,noun,5.6,2.65,7.98,1.22,
incurvation,noun,3.91,1.92,4.36,1.21,
region,noun,5.38,2.62,2.24,1.62,
transfer,verb,4.4,2.07,5.95,1.38,
lift up,verb,8.02,1.65,8.05,1.48,
prosperous,adj,6.49,2.77,8.21,1.82,
mollify,verb,3.21,2.57,7.31,1.3,
win,verb,5.73,2.09,4.33,2.35,
infliction,noun,5.14,2.14,3.64,1.76,
competition,noun,5.85,3.15,8.44,0.9,
honour,verb,5.31,2.23,5.92,1.57,
muck,noun,5.36,2.63,2.68,1.66,
matey,adj,5.11,2.96,8.43,1.08,
powerful,adj,5.92,2.28,7.11,1.48,
lactate,verb,4.84,2.04,6.08,2.08,
run a risk,verb,5.38,2.58,6.02,1.77,
do away with,verb,5,2.32,3.64,2.08,
mortal,noun,4.21,1.99,6.51,1.34,
branch out,verb,3.96,1.94,5.29,0.97,
flock,noun,6,2.02,3.19,1.66,
preparation,noun,6.84,2.06,7.13,1.58,
theologiser,noun,4.93,2.82,3.34,2.31,
efflorescence,noun,5.03,2.65,7.26,1.18,
undecorated,adj,3.52,2.05,4.39,1.46,
illusion,noun,4.3,2.26,4.35,1.23,
rile,verb,6.49,2.17,2.74,1.81,
author,noun,5.75,2.47,7.08,1.83,
person,noun,4.61,2.24,5.39,1.8,
sexual congress,noun,7,2.07,7.36,1.57,
melodic line,noun,3.82,2.24,5.11,1.78,
nipper,noun,5.88,2.38,7.41,1.8,
dependent,adj,4.81,2.46,2.51,1.42,
approving,noun,5.4,2.7,7.98,1.42,
St. Brigid,noun,5.55,2.74,7.34,1.71,
lost,adj,6.03,1.88,3.21,1.51,
dough,noun,5.64,2.18,6.74,1.73,
traducement,noun,4.25,2.47,5.55,2.24,
ground,noun,4.08,2.41,6.2,1.37,
childish,adj,4.15,1.96,3.39,1.7,
generate,verb,6.13,2.71,8.39,1.15,
palatal,adj,4.63,2.61,7.12,1.34,
cater,verb,4.29,2.51,6.46,1.69,
sexual practice,noun,6.44,3.35,8.72,0.7,
potty,noun,4,2.14,4.56,1.72,
pudden-head,noun,4.72,2.71,2.31,1.37,
get laid,verb,3.61,2.56,7.51,1.38,
raiment,verb,3.95,2.09,5.25,1.33,
flakey,adj,4.88,2.3,6.93,1.28,
baulk,noun,3.81,2.27,3.29,1.69,
jack,noun,4.4,2.07,5.95,1.38,
ideate,verb,4.53,2.72,6.73,1.75,
penetrate,verb,4.39,2.81,6.16,2.33,
give out,verb,6.95,2.44,2.31,1.44,
cut out,verb,5,2.32,3.64,2.08,
country,noun,6.34,2.25,7.39,1.53,
name,verb,3.7,2.18,5.68,1.62,
cut off,verb,5,2.32,3.64,2.08,
mischief-maker,noun,6.07,2.61,2.21,1.99,
competent,adj,5.08,2.07,7.16,1.39,
sign,noun,6.42,2.83,1.5,0.85,
split second,noun,5.44,2.68,6.93,1.83,
take in,verb,5.22,2.38,6.66,1.57,
shamefaced,adj,3.98,2.24,5.76,1.28,
humans,noun,5.24,2.31,6.73,1.7,
lover,noun,6.44,3.35,8.72,0.7,
quitter,noun,5.5,2.55,2.45,1.8,
create from raw stuff,verb,4.44,1.96,6.16,1.89,
sept,noun,5.94,2.09,7.33,1.7,
experience,verb,4.84,2.04,6.08,2.08,
bemire,verb,4.93,2.23,2.81,1.52,
sculpture,noun,4.07,1.98,3.55,1.7,
welkin,noun,3.88,1.99,5.33,0.87,
bollock,noun,3.76,2.39,5.29,1.82,
slow up,verb,3.39,2.22,3.93,1.6,
ornament,verb,4.05,1.89,6.41,1.34,
fly,adj,6.85,2.53,6.2,1.76,
mogul,noun,6.67,1.87,6.54,2.21,
devilry,noun,5.38,2.62,2.24,1.62,
clash,noun,6.95,2.44,2.31,1.44,
woman,noun,4.29,2.69,6.87,1.64,
prepare,verb,4.05,1.89,6.41,1.34,
color in,verb,4.73,2.64,7.02,1.57,
hand,verb,5.15,3.04,8.26,1.31,
reverential,adj,4,1.6,5.35,1.21,
avoirdupois,noun,3.87,2.82,2.73,1.85,
pass,verb,5.5,2.66,6.88,1.93,
fire,verb,5.66,2.26,6.97,1.53,
simpleton,noun,4.35,2.25,3.38,1.7,
independent,adj,5.15,3.04,8.26,1.31,
triumphal,adj,6.78,2.58,8.82,0.73,
pitch-black,adj,4.28,2.21,4.71,2.36,
air mile,noun,4.07,2.15,4.64,1.36,
jump on,verb,5.67,2.51,7.76,1.51,
dreadful,adj,6.33,2.28,2.25,1.18,
disturbed,adj,5.13,2.76,4.45,2.23,
arts,adj,7.59,2.07,8.32,1,
capture,noun,4.59,2.1,3.83,1.7,
slow-witted,adj,4.72,2.71,2.31,1.37,
individual,noun,3.95,1.97,5.05,1.34,
offspring,noun,6.07,2.15,3.36,2.16,
shake,verb,5,2.53,6.97,1.91,
alter,verb,5.69,2.15,7.65,1.16,
break,verb,6.33,2.71,2.22,1.88,
gay,noun,5.12,2.27,4.67,2.45,
connective,noun,4.24,2.49,7.15,1.67,
future,adj,5.12,2.39,6.95,1.85,
knowledge,noun,5,2.68,6.68,1.84,
liquid,noun,5.21,2.46,6.83,1.48,
swelled,adj,5.56,3.01,8.03,1.56,
restore,verb,5.86,2.7,5.2,2.54,
jug,verb,5.49,2.67,1.95,1.27,
white-livered,adj,6.33,2.28,2.25,1.18,
scholarly person,noun,7.25,2.25,8.19,1.13,
organism,noun,5.57,2.61,4.23,2.41,
X,noun,7.38,1.92,7.98,1.52,
do,verb,4.07,1.98,3.55,1.7,
beloved,adj,6.38,2.68,8.64,0.71,
addled,adj,6.03,1.88,3.21,1.51,
mature,adj,4.76,1.95,6.49,1.5,
malefactor,noun,6.89,2.13,2.13,1.69,
virtuoso,noun,5.5,2.66,6.88,1.93,
direct,verb,3.42,2.21,6.32,1.56,
have sex,verb,6.44,3.35,8.72,0.7,
warmheartedness,noun,6.34,2.25,7.39,1.53,
look,noun,5.56,2.62,7,1.32,
social disease,noun,5.69,3.25,1.68,1.23,
avoid,verb,5.04,2.18,6.39,1.6,
oppressed,adj,5.63,2.07,2.5,1.32,
come to,verb,5.66,2.26,6.97,1.53,
thespian,noun,5.83,2.44,7.27,1.66,
outlaw,noun,7.47,2.18,1.53,0.96,
dragging,adj,3.39,2.22,3.93,1.6,
bravery,noun,6.34,2.25,7.39,1.53,
morose,adj,5.1,1.95,3.93,1.98,
cheat,noun,5.78,2.47,2.22,1.69,
make merry,verb,6.39,2.63,2.96,1.93,
inconstant,adj,6.2,2.7,2.05,1.55,
unsecured,adj,5.56,2.34,2.36,1.33,
work,verb,5.41,2.43,6.63,1.68,
intellection,adj,4.84,2.57,6,2.21,
create from raw material,verb,4.07,1.98,3.55,1.7,
daybreak,noun,5.06,3.05,7.86,1.35,
tog,verb,4.49,2.5,6.07,1.61,
work over,verb,4.2,1.93,4,1.8,
advertise,verb,7.15,2.19,3.76,2.63,
amount of money,noun,5.29,2.04,6.41,1.61,
noted,adj,5.73,2.68,6.98,2.07,
diversion,noun,6.74,1.84,8.1,1.36,
irritate,verb,6.07,2.61,2.21,1.99,
rummy,adj,4.27,2.46,4.82,2.04,
esoteric,adj,4.84,2.57,6,2.21,
humanitarian,adj,4.5,1.91,6.89,1.7,
fucking,adj,6.41,2,2.9,1.98,
get a line,verb,5.39,2.22,7.15,1.49,
uncut,adj,5,2.32,3.64,2.08,
fashion,noun,8.17,1.4,2.41,1.86,
well-situated,adj,4.48,2.82,7.1,1.91,
chronological succession,noun,3.65,2.35,5.08,2.51,
turn down,verb,5.48,2.52,2.84,2.07,
poor shape,noun,3.81,2.27,3.29,1.69,
skilled workman,noun,5.24,2.31,6.73,1.7,
send off,verb,4.38,2.29,5.55,1.4,
scores,noun,5.49,2.43,6.59,1.66,
regard,verb,4.54,1.86,6.46,1.52,
partisan,noun,5.66,2.26,2.48,2.08,
wear,noun,4.05,1.89,6.41,1.34,
deal,verb,4.39,2.29,5.88,1.62,
of import,adj,3.7,2.18,5.68,1.62,
motion-picture show,noun,4.93,2.54,6.86,1.81,
mother fucker,noun,4.7,2.59,3.98,1.73,
diminish,verb,3.39,2.22,3.93,1.6,
repulse,verb,6.56,2.34,4.13,1.78,
suspire,verb,5,2.53,6.97,1.91,
applesauce,noun,4.16,2.16,2.67,1.45,
heart,noun,5.19,2.39,7.64,1.29,
amphibian,noun,4.54,2.03,5.71,1.74,
savourless,adj,3.29,1.89,4.1,1.08,
CAT,noun,4.38,2.24,5.72,2.43,
express,verb,7.45,2.38,2.09,1.41,
colly,verb,4.13,2.13,4.44,2.07,
ransack,verb,6.35,2.04,4.02,2.76,
anxious,adj,5.94,2.36,2.17,1.21,
infamy,noun,6.55,2.46,7.93,1.29,
libertine,adj,4.98,2.48,3.5,2.16,
debase,verb,6.26,2.61,2.79,2.12,
think of,verb,4.25,2.47,5.55,2.24,
quieten,verb,2.82,2.13,5.58,1.83,
weak,adj,4.1,2.07,3.26,1.47,
social unit,noun,4.8,2.71,7.65,1.55,
legal proceeding,noun,4.93,2.44,3.37,2,
contemptible,adj,4.71,2.72,3.19,2,
panorama,noun,4.59,2.31,5.98,1.86,
tumid,adj,5.12,2.19,5.22,1.82,
dulcorate,verb,4.58,2.4,6.54,2.09,
pain in the ass,noun,6.5,2.49,2.13,1.81,
brazen,adj,5.38,2.37,4.35,1.76,
felon,noun,4.76,2.4,5.67,1.91,
shape up,verb,6.02,2.58,7.73,1.34,
nutriment,noun,3.68,2.57,5.95,2.16,
health problem,noun,5.61,2.67,2.25,1.71,
cubic content unit,noun,3.54,2.09,5.1,1.09,
bum,noun,2.95,1.72,4.95,0.98,
egress,verb,4.7,2.48,4.09,2.21,
disrespect,verb,5.9,1.83,7.66,1.24,
embarrass,verb,4.12,2.01,3.81,1.42,
vicious,adj,5.68,2.65,1.97,1.67,
excreta,noun,5.75,2.84,2.06,1.57,
power,noun,5.51,2.77,7.26,1.67,
angulate,adj,3.18,1.76,4.74,1.02,
reproductive organ,noun,5.56,2.55,6.27,1.81,
flesh out,verb,4.1,2.24,5.55,1.58,
lead on,verb,7.24,2.06,1.68,1.02,
dispute,noun,6.29,2.56,2.93,2.06,
bring up,verb,3.31,1.98,5.29,1.27,
washed-out,adj,2.64,2.19,3.28,1.43,
piece of ground,noun,4.08,2.41,6.2,1.37,
design,noun,5.86,1.81,7,1.34,
squeezable,adj,4.63,2.61,7.12,1.34,
sterile,adj,4.57,2.59,2.81,1.92,
elbow grease,noun,6.84,2.06,7.13,1.58,
dark-skinned,adj,4.61,2.24,5.39,1.8,
administrative unit,noun,4.08,1.92,5.24,1.59,
pick apart,verb,6.47,2.47,2.23,1.72,
unexhausted,adj,4.27,2.46,4.82,2.04,
mavin,noun,5.83,2.44,7.27,1.66,
trim back,verb,5,2.32,3.64,2.08,
larval,adj,4.15,1.96,3.39,1.7,
rag,verb,5.87,2.56,4.84,2.51,
sissyish,adj,5.17,2.57,3.14,1.96,
privy,noun,3.88,1.72,5.55,1.36,
longanimous,adj,4.21,2.37,5.29,1.89,
unjust,adj,4.93,2.23,2.81,1.52,
invigoration,noun,6.02,2.62,7.27,1.88,
scissure,noun,6.33,2.21,4.84,2.14,
fuddled,adj,4.02,2.41,4.68,1.97,
slaying,noun,5.33,2.63,2.28,1.74,
spring,verb,4.9,2.35,4.31,2.18,
electric lamp,noun,4.1,2.02,5.61,1.28,
miss,verb,5.73,2.09,4.33,2.35,
plunk for,verb,5.85,3.15,8.44,0.9,
reduce,verb,5,2.32,3.64,2.08,
furnish,verb,6,2.02,3.19,1.66,
spirituous,adj,5.69,2.36,2.84,2.34,
envisage,verb,5.14,2.82,7.41,1.9,
liege,adj,5.16,2.42,7.55,1.9,
hit the sack,verb,3.61,2.56,7.51,1.38,
car,noun,3.98,2.04,5.37,0.97,
long,verb,5,2.45,2.46,1.52,
forget me drug,noun,6.64,2.64,2.35,1.7,
bad,adj,4.13,2.38,1.61,0.95,
verbalize,verb,4.57,2.38,3.52,1.99,
slash,verb,4.38,2.24,5.72,2.43,
elementary,adj,4.48,2.82,7.1,1.91,
hopeless,adj,5.78,2.09,7.1,1.46,
change,verb,3.98,2.29,3.37,1.34,
charm,verb,4.68,2.23,6.76,1.6,
note,noun,6.07,2.67,7.47,1.72,
peter,noun,4.33,1.78,5.19,1.27,
humble,adj,4.6,2.67,7.22,1.27,
beat,noun,3.27,1.98,5.02,0.93,
infelicitous,adj,5.18,2.4,4,2.22,
combative,adj,5.83,2.33,5.1,1.68,
Bos taurus,noun,3.49,2.13,5.57,1.53,
do by,verb,5,2.32,3.64,2.08,
cozey,noun,3.32,2.28,7.39,1.53,
radiophone,noun,4.08,2.19,3.82,1.7,
slue,verb,5,2.32,3.64,2.08,
sea,adj,4.12,2.3,6.34,1.56,
wasted,adj,5.82,2.62,2.82,1.83,
emotional disturbance,noun,4.54,3.19,1.85,1.67,
censurable,adj,6.04,2.76,2.63,1.98,
fight,verb,7.15,2.19,3.76,2.63,
entryway,noun,3.8,2.29,5.13,1.44,
circumstances,noun,4.95,2.81,1.7,1.07,
formation,noun,5.67,2.51,7.76,1.51,
nictation,noun,5.44,2.68,6.93,1.83,
defend,verb,4.48,2.29,4.05,1.41,
dispenser,noun,4.14,2.28,5.45,1.63,
proscribe,verb,5,2.83,6.42,2.05,
razzing,noun,3.17,2.23,7.27,1.36,
forge,verb,3.82,2.4,5.09,1.67,
off-and-on,adj,5.43,2.42,3.05,1.92,
go into,verb,3.36,2.12,4.82,1.23,
sick,adj,4.29,2.45,1.9,1.14,
sex crime,noun,6.81,3.17,1.25,0.91,
laborious,adj,5.12,2.19,5.22,1.82,
somebody,noun,6.42,2.83,1.5,0.85,
jest at,verb,5.87,2.56,4.84,2.51,
raise up,verb,5.8,2.39,3.66,2,
