word,cat,A_M,A_SD,V_M,V_SD
go after,verb,5.76,2.5,7.57,1.66,
run off,verb,7.17,2.06,3.22,2.06,
fall back,verb,7.72,2.16,8.38,0.92,
drawn-out,adj,3.39,2.22,3.93,1.6,
fancy woman,noun,5.85,2.93,2.3,2.11,
mentation,adj,4.84,2.57,6,2.21,
crenated,adj,5.33,2.04,4.74,2,
discover,verb,7.24,2.06,1.68,1.02,
activity,noun,7.36,1.91,8.05,1.53,
subject matter,noun,4.17,2.02,4.61,1.63,
unwavering,adj,4.02,2.41,4.68,1.97,
humour,noun,6.74,1.84,8.1,1.36,
cross,verb,4.92,2.64,2.39,1.44,
dread,noun,3.83,2.33,1.88,1.23,
mazed,adj,5.82,2.62,2.82,1.83,
excretion,noun,4.97,2.49,6.61,1.78,
proceedings,noun,4.93,2.44,3.37,2,
heart and soul,noun,6.34,2.25,7.39,1.53,
reverent,adj,4.6,2.67,7.22,1.27,
spicy,adj,4.31,2.2,6.76,1.78,
music,noun,4.71,2.09,6.93,1.47,
role player,noun,5.83,2.44,7.27,1.66,
glassy,adj,4.91,2.57,6.58,1.78,
mild,adj,3.74,2.33,5.86,1.42,
sympathetic,adj,4.46,2.55,7.59,1.67,
decentralise,verb,4.65,2.13,5.2,1.28,
sinewy,adj,5.92,2.28,7.11,1.48,
cottony,adj,4.63,2.61,7.12,1.34,
philia,noun,6.34,2.25,7.39,1.53,
auto,noun,3.98,2.04,5.37,0.97,
vainglorious,adj,5.56,3.01,8.03,1.56,
reach,verb,5.15,3.04,8.26,1.31,
sloughy,adj,4.13,2.13,4.44,2.07,
poor fish,noun,4.72,2.71,2.31,1.37,
motion,noun,6.02,2.58,7.73,1.34,
struggle,verb,7.15,2.19,3.76,2.63,
mortal,noun,6.42,2.83,1.5,0.85,
disgorge,verb,4.29,2.45,1.9,1.14,
canvas,verb,4.25,2.47,5.55,2.24,
theologiser,noun,5.92,2.6,7.08,2.2,
sour,adj,4.28,2.21,4.71,2.36,
fall,verb,4.6,2.35,6.02,1.66,
show,verb,7.45,2.38,2.09,1.41,
inhumane,adj,5.68,2.65,1.97,1.67,
unstinting,adj,4.93,2.4,6.21,2.03,
rile,verb,6.07,2.61,2.21,1.99,
playful,adj,6.09,2.44,2.96,2.37,
discomfit,verb,6.5,2.49,2.13,1.81,
line,noun,3.82,2.24,5.11,1.78,
incarnate,adj,4.05,2.34,5.26,1.29,
crook,noun,4.76,2.4,5.67,1.91,
live,adj,5.73,2.73,1.94,1.76,
sell,verb,4.39,2.29,5.88,1.62,
