word,cat,A_M,A_SD,V_M,V_SD
breezy,adj,5.53,2.9,7.2,1.97,
organization,noun,3.59,2.07,4.61,1.4,
histrion,noun,4.07,2.19,2.74,1.64,
lessen,verb,3.39,2.22,3.93,1.6,
ginglymus,noun,3.81,2.14,5.12,0.92,
displacement unit,noun,3.54,2.09,5.1,1.09,
develop,verb,6.02,2.58,7.73,1.34,
defeat,noun,6.77,2.42,1.64,1.18,
ruin,verb,4.14,2.3,2.93,1.76,
trigger off,verb,4.86,2.56,5.46,0.98,
drop,verb,3.81,2.29,3.79,2.12,
icy,adj,5.19,2.23,4.02,1.99,
puke,noun,4.95,2.36,3.02,1.66,
simple,adj,4.48,2.82,7.1,1.91,
smell,noun,5.56,2.62,7,1.32,
obstruct,verb,4.93,2.23,2.81,1.52,
affect,verb,6.85,2.03,3.03,2.09,
gloomy,adj,4.28,2.21,4.71,2.36,
country,noun,6.67,1.87,6.54,2.21,
chirk up,verb,5.78,2.6,7.8,1.83,
exteroception,noun,5.22,2.38,6.66,1.57,
nephrotoxic,adj,6.4,2.41,2.1,1.48,
shocked,adj,6.67,2.54,2,1.28,
peaked,adj,4.29,2.45,1.9,1.14,
colour in,verb,4.73,2.64,7.02,1.57,
energetic,adj,5.9,2.42,7.9,1.49,
queer,noun,4.76,2.18,6.44,1.43,
cleft,noun,4.07,1.69,3.43,1.38,
execution,noun,5.33,2.63,2.28,1.74,
lover,noun,5.1,2.59,6.79,2.32,
sex organ,noun,5.56,2.55,6.27,1.81,
nut,noun,3.76,2.39,5.29,1.82,
hassle,verb,6.47,2.47,2.23,1.72,
mean,adj,4.89,2.5,3.58,2.38,
create from raw stuff,verb,4.07,1.98,3.55,1.7,
embellish,verb,4.05,1.89,6.41,1.34,
move,verb,5.8,2.39,3.66,2,
gaol,verb,5.49,2.67,1.95,1.27,
sept,noun,4.25,2.47,5.55,2.24,
couplet,noun,6.39,2.31,7.41,1.97,
pitch-dark,adj,4.28,2.21,4.71,2.36,
bemire,verb,4.13,2.13,4.44,2.07,
frolic,noun,6.91,1.69,7.52,1.19,
criticize,verb,7.51,2.28,2.03,1.55,
Bride,noun,5.55,2.74,7.34,1.71,
advertize,verb,7.15,2.19,3.76,2.63,
competitive,adj,5.83,2.33,5.1,1.68,
income,noun,6.68,1.78,7.63,1.3,
cogitate,verb,4.65,2.13,5.2,1.28,
fouled,adj,4.88,2.29,3.08,2.05,
solid ground,noun,4.08,2.41,6.2,1.37,
brio,noun,6.02,2.62,7.27,1.88,
aroma,noun,5.46,2.47,7.02,1.84,
grooming,noun,6.84,2.06,7.13,1.58,
exit,verb,6.03,3.19,1.56,0.96,
sack out,verb,3.61,2.56,7.51,1.38,
woman,noun,4.38,2.24,5.72,2.43,
adolescent,adj,4.15,1.96,3.39,1.7,
backward,adj,3.27,2.05,4.88,1.83,
heads-up,adj,6.85,2.53,6.2,1.76,
simpleton,noun,4.21,2.47,3.16,1.91,
singular,adj,4.27,2.46,4.82,2.04,
take a chance,verb,5.38,2.58,6.02,1.77,
dangerous,adj,5.56,2.34,2.36,1.33,
befuddled,adj,6.03,1.88,3.21,1.51,
cut,verb,4.65,2.13,5.2,1.28,
unmitigated,adj,6.41,2,2.9,1.98,
go against,verb,5.78,2.21,2.8,1.67,
conk out,verb,6.95,2.44,2.31,1.44,
buns,noun,2.95,1.72,4.95,0.98,
putz,noun,4.33,1.78,5.19,1.27,
room,noun,3.88,1.72,5.55,1.36,
solemn,adj,4,1.87,5.08,1.59,
tranquillity,noun,2.95,2.55,7.72,1.75,
braveness,noun,6.34,2.25,7.39,1.53,
past,adj,5.12,2.39,6.95,1.85,
scoundrel,noun,5.76,2.5,7.57,1.66,
luminous,adj,5.4,2.33,7.5,1.55,
go in,verb,3.36,2.12,4.82,1.23,
vasoconstrictive,noun,5.19,2.23,4.02,1.99,
established,adj,3.14,2.47,7.57,1.76,
wearable,noun,4.05,1.89,6.41,1.34,
individual,noun,4.61,2.24,5.39,1.8,
spoken language,noun,5.16,2.25,6.77,1.58,
profligate,adj,4.98,2.48,3.5,2.16,
alter,verb,3.98,2.29,3.37,1.34,
spiritous,adj,5.69,2.36,2.84,2.34,
pillage,verb,6.35,2.04,4.02,2.76,
joke,noun,6.39,2.63,2.96,1.93,
honest,adj,3.18,1.76,4.74,1.02,
repellent,adj,6.09,2.44,2.96,2.37,
prying,adj,5.82,1.64,6.08,1.63,
semblance,noun,4.3,2.26,4.35,1.23,
X-raying,noun,4.38,2.24,5.72,2.43,
operose,adj,5.12,2.19,5.22,1.82,
contemplative,adj,5.72,2.3,7.65,1.03,
imbecile,adj,4.72,2.71,2.31,1.37,
gooselike,adj,4.72,2.71,2.31,1.37,
soul,noun,4.21,1.99,6.51,1.34,
groovy,adj,5.43,2.85,7.47,1.45,
venerating,adj,4,1.6,5.35,1.21,
loved,adj,5.1,2.59,6.79,2.32,
prevent,verb,4.12,2.01,3.81,1.42,
codswallop,noun,4.16,2.16,2.67,1.45,
parcel of land,noun,4.08,2.41,6.2,1.37,
occlude,verb,6.03,3.19,1.56,0.96,
animate,verb,5.56,2.62,7,1.32,
sleep late,verb,2.8,2.66,7.2,1.77,
louden,verb,2.82,2.13,5.58,1.83,
skilled,adj,5.43,2.85,7.47,1.45,
malefactor,noun,7.47,2.18,1.53,0.96,
hatchet job,noun,4.25,2.47,5.55,2.24,
shake up,verb,5,2.53,6.97,1.91,
enunciate,verb,7.45,2.38,2.09,1.41,
tremendous,adj,6.23,2.73,8.16,1.12,
have sex,verb,3.61,2.56,7.51,1.38,
supernatural,adj,5.95,2.36,7.46,1.64,
wipe out,verb,5.69,2.51,7.47,1.73,
raging,adj,6.89,2.47,2.29,1.78,
take,verb,5.22,2.38,6.66,1.57,
fearful,adj,4.43,2.05,5.61,1.94,
Cupid's itch,noun,5.69,3.25,1.68,1.23,
please,verb,5.44,2.88,8.26,1.04,
pain in the neck,noun,5.14,2.14,3.64,1.76,
expose,verb,5.67,2.51,7.76,1.51,
genius,noun,5.5,2.66,6.88,1.93,
work,verb,5.41,2.43,6.63,1.68,
eudaimonia,noun,5.13,2.35,6.81,1.88,
sticky,adj,5.12,2.19,5.22,1.82,
bloody-minded,adj,6.41,2,2.9,1.98,
naturally occurring,adj,5.12,2.39,6.95,1.85,
therapeutic,noun,5.75,2.84,2.06,1.57,
site,noun,4.82,2.66,2.63,1.4,
hug drug,noun,7.38,1.92,7.98,1.52,
split up,verb,6.33,2.71,2.22,1.88,
purchasable,adj,4.67,2.35,3.32,2.32,
sense datum,noun,4.66,2.43,6.62,1.84,
nark,verb,6.49,2.17,2.74,1.81,
tog,verb,3.95,2.09,5.25,1.33,
enactment,noun,3.82,2.24,5.11,1.78,
widget,noun,4.05,2.06,5.1,1.21,
wager,verb,5.89,2.37,6.98,1.97,
vinegarish,adj,5.1,1.95,3.93,1.98,
outwear,verb,3.81,2.29,3.79,2.12,
crummy,adj,3.83,2.05,3.07,1.57,
taunt,verb,5.87,2.56,4.84,2.51,
mousy,adj,4.11,2.09,3.86,1.55,
retard,verb,3.39,2.22,3.93,1.6,
habilitate,verb,4.49,2.5,6.07,1.61,
cast aside,verb,4.14,2.3,2.93,1.76,
granular,adj,4.21,1.84,4.55,1.42,
triumphant,adj,6.21,2.3,7.45,1.77,
serviceable,adj,4.26,2.47,7.14,1.6,
dog,verb,3.42,2.21,6.32,1.56,
realize,verb,6.68,1.78,7.63,1.3,
wear,noun,4.05,1.89,6.41,1.34,
storage device,noun,5.42,2.25,6.62,1.5,
negative stimulus,noun,6.5,2.49,2.13,1.81,
lightheaded,adj,5.88,2.38,7.41,1.8,
domestic partner,noun,5.21,2.75,7.58,1.48,
unconnected,adj,6.03,1.88,3.21,1.51,
hitman,noun,7.02,1.84,3.47,2.48,
drunken revelry,noun,6.39,2.63,2.96,1.93,
aesthesis,noun,5.22,2.38,6.66,1.57,
picket,noun,4.1,2.12,5.78,1.51,
motorcar,noun,3.55,1.8,4.51,1.57,
autoerotic,adj,7.36,1.91,8.02,1.12,
moated,adj,4.09,2.77,7.29,1.79,
cacophonous,adj,5.33,2.04,4.74,2,
unfree,adj,6.21,2.93,1.84,1.13,
passion,noun,7.17,2.06,3.22,2.06,
esurient,adj,5.13,2.44,3.58,2.01,
motherfucker,noun,4.7,2.59,3.98,1.73,
calm,noun,2.82,2.13,5.58,1.83,
placate,verb,3.21,2.57,7.31,1.3,
bodily fluid,noun,4.82,2.06,2.86,1.91,
fall into place,verb,4.39,2.81,6.16,2.33,
position,verb,2.95,1.72,4.95,0.98,
tribe,noun,4.8,2.71,7.65,1.55,
choler,noun,5.1,2.59,6.79,2.32,
buzzing,adj,6.38,1.78,5.02,2.02,
hollo,verb,7.04,1.96,3.88,2.07,
erect,adj,5.12,2.19,5.22,1.82,
substance,noun,6.44,2.58,8.2,1.15,
lodging,noun,4.21,2.94,7.91,1.63,
fauna,noun,5.64,2.51,6.89,2.12,
wellness,noun,5.61,2.67,2.25,1.71,
elicit,verb,5.85,2.49,1.9,1.26,
congress,noun,7,2.07,7.36,1.57,
disobedient,adj,6.1,2.51,4.26,2.12,
excrement,noun,5.75,2.84,2.06,1.57,
chaste,adj,4.49,2.28,6.2,1.85,
efficacious,adj,4.02,2.41,4.68,1.97,
low-level,adj,3.83,2.05,3.07,1.57,
call down,verb,4.05,2.59,7.19,1.69,
try,noun,3.82,2.24,5.11,1.78,
gold-bearing,adj,3.79,1.96,4.95,1.17,
hideous,adj,5.38,2.23,2.43,1.27,
tasty,adj,5.34,2.51,7.5,1.08,
irreclaimable,adj,6.09,2.44,2.96,2.37,
goody-goody,adj,5.43,2.85,7.47,1.45,
rigorousness,noun,4.76,2.55,2.45,1.61,
rationalize,verb,4.73,2.64,7.02,1.57,
cut back,verb,5,2.32,3.64,2.08,
reanimated,adj,5.5,2.74,7.25,2.22,
lull,verb,2.82,2.13,5.58,1.83,
reckoning,noun,5.86,1.81,7,1.34,
stacks,noun,5.49,2.43,6.59,1.66,
anticipate,verb,5.98,2.14,7.32,1.52,
break of day,noun,5.06,3.05,7.86,1.35,
check,noun,3.81,2.27,3.29,1.69,
shammer,noun,5.75,2.45,2.67,1.66,
break up,verb,6.33,2.71,2.22,1.88,
brag,verb,5.78,2.6,7.8,1.83,
partizan,noun,5.66,2.26,2.48,2.08,
cadence,noun,3.27,1.98,5.02,0.93,
faecal matter,noun,3.76,2.26,4.17,1.77,
pally,adj,5.11,2.96,8.43,1.08,
block,verb,5.15,3.04,8.26,1.31,
halting,adj,5.43,2.42,3.05,1.92,
sens,noun,4.14,2.11,6.12,1.44,
relic,noun,4.54,1.86,6.46,1.52,
view,verb,6.75,2.3,8.27,0.9,
unhazardous,adj,3.86,2.72,7.07,1.9,
asterism,noun,3.98,2.04,5.37,0.97,
dependant,adj,4.81,2.46,2.51,1.42,
battle,noun,6.56,2.34,4.13,1.78,
shielder,noun,5.85,3.15,8.44,0.9,
reckon,verb,5.19,2.39,7.64,1.29,
correctional institution,noun,5.49,2.67,1.95,1.27,
go,verb,6.02,2.58,7.73,1.34,
lash out,verb,6.83,2.7,1.8,1.23,
unreserved,adj,3.27,2.05,4.88,1.83,
brave,adj,5.89,2.37,6.98,1.97,
building,noun,4.56,2.41,7.26,1.72,
untrustworthy,adj,6.2,2.7,2.05,1.55,
super C,noun,4.28,2.46,6.18,2.05,
lineage,noun,4.8,2.71,7.65,1.55,
becharm,verb,4.68,2.23,6.76,1.6,
receiving system,noun,4.78,2.82,6.73,1.47,
provoke,verb,7.17,2.06,3.22,2.06,
dejected,adj,4.18,2.5,1.57,0.96,
zany,adj,5.88,2.38,7.41,1.8,
tone,noun,4.73,2.64,7.02,1.57,
renowned,adj,5.73,2.68,6.98,2.07,
imprint,noun,4.7,2.59,3.98,1.73,
weakly,adj,4.1,2.07,3.26,1.47,
sex offense,noun,6.81,3.17,1.25,0.91,
infantile,adj,4.15,1.96,3.39,1.7,
wittiness,noun,7.22,2.01,8.37,1.11,
slope,noun,4.7,2.48,4.09,2.21,
blighter,noun,5.76,2.5,7.57,1.66,
gain,noun,5.29,2.04,6.41,1.61,
subordinate,adj,3.83,2.05,3.07,1.57,
loaded,adj,4.02,2.41,4.68,1.97,
bedevil,verb,5.87,2.56,4.84,2.51,
shop,verb,7.24,2.06,1.68,1.02,
adult female,noun,4.29,2.69,6.87,1.64,
small fry,noun,5.88,2.38,7.41,1.8,
dishonorable,adj,4.67,2.35,3.32,2.32,
broken,adj,5.33,2.04,4.74,2,
tiddler,noun,5.55,2.29,7.08,1.98,
enkindle,verb,5.86,2.4,2,1.18,
bear on,verb,5.66,2.26,6.97,1.53,
advocator,noun,5.85,3.15,8.44,0.9,
evil,adj,5.38,2.23,2.43,1.27,
progeny,noun,6.07,2.15,3.36,2.16,
know,verb,6.44,3.35,8.72,0.7,
bookman,noun,7.25,2.25,8.19,1.13,
prick,noun,6.07,2.15,3.36,2.16,
exonerated,adj,4.21,1.99,6.51,1.34,
fille,noun,5.53,2.8,8.22,1.2,
low,adj,4.72,2.95,1.83,1.42,
fearsome,adj,6.33,2.28,2.25,1.18,
oleaginous,adj,4.81,2.8,2.28,1.92,
verbalise,verb,4.57,2.38,3.52,1.99,
thought,noun,5,2.68,6.68,1.84,
slow,adj,5.62,2.39,3.07,1.74,
noise,noun,6.95,2.44,2.31,1.44,
modify,verb,5.69,2.15,7.65,1.16,
razz,noun,3.17,2.23,7.27,1.36,
unmanly,adj,5.17,2.57,3.14,1.96,
bad condition,noun,3.81,2.27,3.29,1.69,
exercise,noun,6.83,2.7,1.8,1.23,
fairish,adj,5.07,2.7,6.43,2.04,
sapiential,adj,3.91,2.64,7.52,1.23,
government note,noun,6.07,2.67,7.47,1.72,
exertion,noun,6.84,2.06,7.13,1.58,
artistic style,adj,7.59,2.07,8.32,1,
contender,noun,5.85,3.15,8.44,0.9,
warmness,noun,5.19,2.39,7.64,1.29,
outcry,noun,5.36,2.91,3.93,2.22,
gustatory perception,noun,5.1,1.95,3.93,1.98,
Scripture,noun,4.17,2.49,5.72,1.54,
tolerant,adj,4.21,2.37,5.29,1.89,
unserviceable,adj,4.87,2.58,2.13,1.42,
medical man,noun,5.86,2.7,5.2,2.54,
lay on the line,verb,6.98,2.15,7.6,1.5,
pull ahead,verb,5.73,2.09,4.33,2.35,
grapple,verb,5,2.32,3.64,2.08,
repellant,adj,4.93,2.23,2.81,1.52,
instinctive reflex,noun,5.75,2.84,2.06,1.57,
air,verb,4.12,2.3,6.34,1.56,
lulu,noun,5.5,2.73,8.42,0.83,
understructure,noun,3.61,2.56,7.51,1.38,
touch,verb,5.73,2.09,4.33,2.35,
waste product,noun,5.04,2.5,2.98,1.96,
colorful,adj,5.29,2.04,6.41,1.61,
olfactory sensation,noun,5.05,2.36,6.76,1.48,
disgust,verb,6.83,2.26,3.52,2.12,
labor,noun,6.98,2.15,7.6,1.5,
live up to,verb,5.41,2.43,6.63,1.68,
man,noun,5.32,2.39,6.5,2.03,
bailiwick,noun,4.08,2.41,6.2,1.37,
devilment,noun,5.38,2.62,2.24,1.62,
queen,noun,5.51,2.77,7.26,1.67,
parcel,noun,5.53,2.96,7.92,1.2,
vapid,adj,3.29,1.89,4.1,1.08,
colour,verb,4.61,2.24,5.39,1.8,
inaudible,adj,2.82,2.13,5.58,1.83,
hushed,adj,4.63,2.61,7.12,1.34,
religious writing,noun,4.17,2.49,5.72,1.54,
argument,noun,7.15,2.19,3.76,2.63,
mould,verb,4.07,1.98,3.55,1.7,
physique,noun,4.19,2.45,6.32,1.74,
excite,verb,5.67,2.18,5.45,2.02,
point,verb,3.42,2.21,6.32,1.56,
mamma,noun,5.37,2.39,6.5,1.78,
captivate,verb,5.16,2.25,6.77,1.58,
veto,verb,5,2.83,6.42,2.05,
dispiriting,adj,2.98,2.18,3.05,1.58,
incapable,adj,5.08,2.07,7.16,1.39,
sassy,adj,3.91,2.64,7.52,1.23,
physical object,noun,4.24,2.49,7.15,1.67,
elated,adj,6.78,2.58,8.82,0.73,
lay,verb,4.16,2.8,7.92,1.24,
weenie,noun,5.76,2.5,7.57,1.66,
unfertile,adj,4.57,2.59,2.81,1.92,
vocaliser,noun,5.51,2.77,7.26,1.67,
prettify,verb,4.91,2.57,6.58,1.78,
offend,verb,6,2.46,2.29,1.33,
non-white,adj,4.61,2.24,5.39,1.8,
tracked vehicle,noun,4.88,1.86,5.16,1.87,
public holiday,noun,6.27,2.56,7.8,1.55,
brazen-faced,adj,5.38,2.37,4.35,1.76,
chicken feed,noun,4.27,2.07,4.75,1.38,
mephitis,noun,4.36,2.46,2.19,1.37,
stir,verb,8.02,1.65,8.05,1.48,
bound,verb,4.9,2.35,4.31,2.18,
picture show,noun,4.93,2.54,6.86,1.81,
multi-ethnic,adj,4.98,2.59,6.88,1.82,
mournful,adj,4.13,2.38,1.61,0.95,
business organisation,noun,4.56,2.41,7.26,1.72,
maddened,adj,7.17,2.07,2.85,1.7,
trice,noun,5.44,2.68,6.93,1.83,
decoration,noun,4.17,2.02,4.61,1.63,
gaining control,noun,4.59,2.1,3.83,1.7,
assailant,noun,5.57,2.61,4.23,2.41,
self-governing,adj,5.15,3.04,8.26,1.31,
exhale,verb,5,2.53,6.97,1.91,
difference,noun,6.29,2.56,2.93,2.06,
saddled,adj,5.63,2.07,2.5,1.32,
follower,noun,6.27,2.18,7.63,1.59,
non-slave,adj,5.15,3.04,8.26,1.31,
stinking,adj,4.93,2.23,2.81,1.52,
story,noun,6.02,2.62,7.27,1.88,
crenellate,adj,5.36,2.37,4.39,1.63,
occur,verb,4.7,2.48,4.09,2.21,
bring down,verb,5,2.32,3.64,2.08,
virtuoso,noun,5.83,2.44,7.27,1.66,
cheat,verb,4.44,1.96,6.16,1.89,
nutrition,noun,5.62,2.25,7.36,1.38,
attack,verb,6.83,2.26,3.52,2.12,
dress,verb,4.59,2.1,3.83,1.7,
overleap,verb,4.83,2.31,2.63,1.64,
women's liberationist,noun,5,2.77,7.8,1.29,
compile,verb,4.8,2.82,4.16,2.34,
cut up,verb,5,2.32,3.64,2.08,
colly,verb,4.93,2.23,2.81,1.52,
deportment,noun,4.56,1.78,5.64,1.34,
undisturbed,adj,3.89,2.54,7.62,1.41,
culpable,adj,6.04,2.76,2.63,1.98,
chatter,verb,5.74,2.38,3.48,2.33,
lightness,noun,6.02,2.71,7.55,1.68,
hardened,adj,5.12,2.19,5.22,1.82,
observance,noun,5.97,2.85,7.82,1.56,
debase,verb,5.85,2.93,2.3,2.11,
prostitute,noun,4.93,2.82,3.34,2.31,
drunkard,noun,5.69,2.36,2.84,2.34,
gamey,adj,6.15,2.45,7.15,1.64,
encourage,verb,6.12,2.45,8.1,1.17,
expire,verb,4.7,2.48,4.09,2.21,
support,noun,3.27,1.98,5.02,0.93,
tailored,adj,4.66,2.12,5.85,1.53,
tiresome,adj,3.39,2.22,3.93,1.6,
straying,adj,5.82,2.62,2.82,1.83,
nautical linear unit,noun,4.07,2.15,4.64,1.36,
constitute,verb,4.25,2.47,5.55,2.24,
pain in the ass,noun,4.49,2.69,3.27,1.86,
season,noun,6.27,2.56,7.8,1.55,
immoral,adj,6.39,2.44,3.23,2.64,
make happy,verb,6.39,2.63,2.96,1.93,
disrespect,verb,5.56,2.06,2.76,1.5,
dishonourable,adj,4.61,2.24,5.39,1.8,
phenomenon,noun,5.1,2.4,6.21,1.63,
jumping,noun,5.67,2.51,7.76,1.51,
round,adj,3.18,1.76,4.74,1.02,
decrease,verb,5,2.32,3.64,2.08,
piece of ground,noun,4.08,2.41,6.2,1.37,
ooze,noun,5.36,2.63,2.68,1.66,
larghissimo,adj,3.39,2.22,3.93,1.6,
severalise,verb,7.36,1.91,8.05,1.53,
yearn,verb,5,2.45,2.46,1.52,
ruined,adj,5.82,2.62,2.82,1.83,
fine,adj,4.53,2.65,7.43,1.26,
groom,verb,4.05,1.89,6.41,1.34,
rag,verb,5.57,2.8,7.41,1.92,
hold up,verb,6.15,2.45,7.15,1.64,
underworld,noun,5.38,2.62,2.24,1.62,
strap,verb,4.38,2.24,5.72,2.43,
snipe,verb,4.1,2.34,2.88,1.75,
egoistic,adj,5.5,2.62,2.42,1.62,
break of the day,noun,4.39,2.81,6.16,2.33,
sex,noun,6.44,3.35,8.72,0.7,
splash,verb,3.73,2.23,4.66,1.88,
taut,adj,6.53,2.1,3.56,1.36,
preposterous,adj,4.36,2.2,4.26,1.82,
soupcon,noun,4.59,2.1,3.83,1.7,
make it,verb,5.5,2.66,6.88,1.93,
persecutor,noun,5.62,2.15,3.13,1.82,
enter,verb,3.62,2.25,5.98,1.83,
fall out,verb,4.7,2.48,4.09,2.21,
preventative,noun,3.86,2.72,7.07,1.9,
miss,noun,3.17,2.23,7.27,1.36,
civilized,adj,4.5,1.91,6.89,1.7,
remove,verb,5.73,2.09,4.33,2.35,
honourable,adj,5.32,1.92,7.7,1.43,
philander,verb,3.47,2.39,7.17,1.2,
mansion,noun,6.42,2.83,1.5,0.85,
federal agency,noun,5.03,2.03,4.72,1.75,
envisage,verb,4.53,2.72,6.73,1.75,
palatalized,adj,4.63,2.61,7.12,1.34,
civil rights leader,noun,5.51,2.77,7.26,1.67,
forget me drug,noun,3.86,2.13,5.67,1.26,
bad,adj,6.27,2.44,1.93,1.44,
exhilaration,noun,8.02,1.65,8.05,1.48,
laughing,adj,6.49,2.77,8.21,1.82,
spoil,verb,5.53,2.8,8.22,1.2,
divest,verb,5.12,2.42,5.93,2.1,
debate,verb,6.29,2.56,2.93,2.06,
root,noun,5.92,2.6,7.08,2.2,
hook,verb,4.59,2.1,3.83,1.7,
unbalanced,adj,4.29,2.45,1.9,1.14,
deck up,verb,4.05,1.89,6.41,1.34,
damaged,adj,4.1,1.94,4.28,1.84,
force out,verb,7.17,2.06,3.22,2.06,
assassinated,adj,5.73,2.73,1.94,1.76,
eat out,verb,5.69,2.51,7.47,1.73,
lummox,noun,4.8,2.82,4.16,2.34,
complain,verb,5,2.19,3.14,1.56,
tenderized,adj,4.88,2.3,6.93,1.28,
expand,verb,4.1,2.24,5.55,1.58,
yellow,adj,6.33,2.28,2.25,1.18,
circle,noun,6.64,2.64,2.35,1.7,
flood in,verb,6,2.02,3.19,1.66,
forge,verb,5.86,2.4,2,1.18,
officer,noun,4.2,2.42,5.07,1.97,
hold close,verb,4.4,2.67,7.72,1.92,
ashamed,adj,4.69,1.98,5.53,1.86,
somebody,noun,6.11,2.65,8.29,0.93,
pissed off,adj,5.64,2.48,2.79,2.23,
spiciness,noun,5.59,2.66,6.79,2.04,
carrefour,noun,3.91,1.92,4.36,1.21,
field,adj,4.5,1.91,6.89,1.7,
good deal,noun,6,2.02,3.19,1.66,
ruly,adj,3.98,2.22,6.3,1.56,
handle,verb,6.83,2.7,1.8,1.23,
cheater,noun,5.78,2.47,2.22,1.69,
maladjusted,adj,5.13,2.76,4.45,2.23,
Prince of Darkness,noun,6.07,2.61,2.21,1.99,
hand out,verb,4.4,2.07,5.95,1.38,
Saviour,noun,5.8,3.01,7.73,1.56,
go on,verb,6.21,2.51,7.1,2,
rib,verb,5.87,2.56,4.84,2.51,
flush,noun,5.03,2.65,7.26,1.18,
crepuscule,noun,4.7,2.48,4.09,2.21,
fatten up,verb,4.81,2.8,2.28,1.92,
take off,verb,3.82,2.24,5.11,1.78,
model,noun,4.49,1.9,6.49,1.7,
look into,verb,4.1,2.12,5.78,1.51,
get,verb,5,2.53,6.97,1.91,
part,noun,5.38,2.62,2.24,1.62,
chevy,verb,5.36,2.89,3.82,1.73,
bad hat,noun,6.07,2.61,2.21,1.99,
billet,noun,3.15,1.77,5.08,0.98,
chicanery,noun,5.75,2.45,2.67,1.66,
walkover,noun,4.37,2.32,6.85,1.71,
phratry,noun,5.94,2.09,7.33,1.7,
popular music genre,noun,4.52,2.37,5.56,1.38,
worn-out,adj,2.64,2.19,3.28,1.43,
bring forth,verb,6.13,2.71,8.39,1.15,
considerable,adj,3.98,2.22,6.3,1.56,
order,verb,3.98,2.22,6.3,1.56,
place,noun,4.28,2.53,6.58,1.42,
tally,verb,3.18,1.76,4.74,1.02,
topnotch,adj,5.5,2.66,6.88,1.93,
uplift,verb,8.02,1.65,8.05,1.48,
mankind,noun,5.24,2.31,6.73,1.7,
reward,verb,5.31,2.23,5.92,1.57,
being,noun,5.57,2.61,4.23,2.41,
untroubled,adj,2.82,2.13,5.58,1.83,
set out,verb,4.7,2.48,4.09,2.21,
give suck,verb,4.84,2.04,6.08,2.08,
administrative body,noun,4.08,1.92,5.24,1.59,
wrap,verb,5.28,2.51,4.32,1.91,
injure,verb,3.74,2.33,5.86,1.42,
bear,verb,3.86,2.13,5.67,1.26,
situation,noun,4.08,1.92,5.24,1.59,
assail,verb,6.83,2.26,3.52,2.12,
noesis,noun,5,2.68,6.68,1.84,
disturb,verb,6.85,2.03,3.03,2.09,
mate,noun,4.93,2.22,6.33,1.97,
recreation,noun,6.74,1.84,8.1,1.36,
wireless telephone,noun,4.08,2.19,3.82,1.7,
proud,adj,5.04,2.14,3.68,1.9,
consumer goods,noun,4.78,2.88,6.54,1.85,
surface,noun,3.88,1.99,5.33,0.87,
embonpoint,adj,4.81,2.8,2.28,1.92,
make,verb,4,2.14,4.56,1.72,
