word,cat,A_M,A_SD,V_M,V_SD
conspicuous,adj,5.6,2.21,6.8,1.61,
syph,noun,5.69,3.25,1.68,1.23,
alteration,noun,4.71,2.09,6.93,1.47,
cook,verb,5.1,2.3,6.17,1.71,
Bath,noun,4.16,2.31,7.33,1.45,
partially,adv,3.82,2.24,5.11,1.78,
thriftlessness,noun,4.14,2.3,2.93,1.76,
clinch,noun,5.35,2.76,8,1.55,
effective,adj,5.43,2.85,7.47,1.45,
passion,noun,6.44,3.35,8.72,0.7,
abbess,noun,6.13,2.71,8.39,1.15,
religious,noun,2.93,1.8,4.93,1.89,
negociate,verb,5.62,2.25,7.36,1.38,
kettleful,noun,3.22,2.23,5.22,0.91,
unformed,adj,4.15,1.96,3.39,1.7,
calm,verb,2.82,2.13,5.58,1.83,
racy,adj,5.53,2.9,7.2,1.97,
bedazzle,verb,6.33,2.02,7.29,1.09,
misunderstanding,noun,5.18,2.42,2.86,1.79,
Snow,noun,5.75,2.47,7.08,1.83,
nakedness,noun,6.41,2.09,6.82,1.63,
position,noun,4.08,1.92,5.24,1.59,
Assault,noun,7.51,2.28,2.03,1.55,
choler,noun,7.63,1.91,2.34,1.32,
scare,noun,7.02,2.02,3.12,1.84,
stand,verb,5.96,2.63,2.79,1.92,
book,noun,4.05,1.96,5.14,1.49,
blunt,adj,5.07,2.37,3.12,1.65,
take away,verb,3.55,1.8,4.51,1.57,
untrue,adj,3.43,2.09,3.27,1.4,
securities industry,noun,4.12,1.83,5.66,1.02,
existing,adj,5.12,2.39,6.95,1.85,
disappointed,adj,5.09,3,2.34,1.66,
discomfited,adj,5.87,2.55,3.03,1.85,
diagnose,verb,4.25,2.47,5.55,2.24,
wounded,adj,5.85,2.49,1.9,1.26,
diligent,adj,4.21,2.37,5.29,1.89,
stimulated,adj,6.63,2.7,7.97,1,
slide,noun,5.54,2.37,3.29,1.95,
saccharify,verb,5.64,2.18,6.74,1.73,
illness,noun,5.61,2.67,2.25,1.71,
copulate,verb,6.39,2.31,7.41,1.97,
saviour,noun,5.8,3.01,7.73,1.56,
mortuary,noun,4.84,2.96,1.92,1.32,
queen mole rat,noun,4.76,2.18,6.44,1.43,
felonious,adj,4.79,2.51,2.93,1.66,
autumn,noun,4.7,2.48,4.09,2.21,
storehouse,noun,4.12,2.36,3.21,1.87,
fomite,noun,4.63,2.81,6.27,2.34,
