word,cat,A_M,A_SD,V_M,V_SD
pauper,noun,4.1,1.94,4.28,1.84,
Crown,noun,4.28,2.53,6.58,1.42,
kempt,adj,3.98,2.22,6.3,1.56,
sister,noun,5.53,2.8,8.22,1.2,
multiply,verb,3.18,1.76,4.74,1.02,
plot,noun,5.89,2.37,6.98,1.97,
clothes dryer,noun,5.44,2.1,3.9,2.01,
plunge,verb,4.12,2.36,3.21,1.87,
prime,noun,4,2.44,6.64,1.78,
endow,verb,5.12,2.42,5.93,2.1,
nationalist,noun,5.17,2.53,6.71,1.69,
locker,noun,3.43,1.85,5.05,0.31,
idol,noun,5.95,2.84,8.15,1.27,
terrify,verb,7.02,2.02,3.12,1.84,
checker,noun,5.51,2.77,7.26,1.67,
cling,verb,4.07,1.98,3.55,1.7,
new,adj,5.64,2.51,6.89,2.12,
broken-field,adj,5.43,2.42,3.05,1.92,
filthy,adj,4.93,2.23,2.81,1.52,
pare,verb,4.05,1.89,6.41,1.34,
turn,verb,5.04,2.18,6.39,1.6,
precipitate,verb,4.7,2.48,4.09,2.21,
mend,verb,4.77,2.23,7.09,1.46,
abruptly,adv,5.73,2.73,1.94,1.76,
deviant,noun,6.26,2.61,2.79,2.12,
blue,adj,2.98,2.18,3.05,1.58,
lull,noun,2.82,2.13,5.58,1.83,
grass over,verb,4.14,2.11,6.12,1.44,
edge tool,noun,5.36,2.44,4.81,2.16,
solid,noun,4.27,2.07,4.75,1.38,
wallpaper,verb,2.5,1.85,5.2,1.21,
fragrance,noun,5.46,2.47,7.02,1.84,
narcotizing,adj,4.93,2.57,4.29,2.3,
inert,adj,3.18,1.85,4.61,1.28,
contractile organ,adj,5.47,2.2,6.82,1.63,
view,noun,4.89,2.46,6.28,1.45,
choke,verb,6.03,3.19,1.56,0.96,
psychoneurotic,noun,5.13,2.76,4.45,2.23,
tweak,noun,4.59,2.1,3.83,1.7,
endowment,noun,6.27,1.8,7.56,1.25,
cooler,noun,4.88,1.86,5.16,1.87,
battle,noun,7.15,2.19,3.76,2.63,
good person,noun,5.5,2.73,8.42,0.83,
easygoing,adj,4.48,2.82,7.1,1.91,
self-destruction,noun,5.73,3.14,1.25,0.69,
medicine,noun,5.32,3.19,8.13,1.09,
praise,verb,5.31,2.23,5.92,1.57,
risk,noun,7.32,2.07,2.95,2.22,
wont,noun,3.95,2.11,4.11,1.77,
Leo,noun,6.2,2.16,5.57,1.99,
disconnected,adj,6.03,1.88,3.21,1.51,
agency,noun,4.08,1.92,5.24,1.59,
assault,noun,5.71,2.34,4.95,2.22,
slob,noun,4.2,2.42,5.07,1.97,
azure,noun,5,2.72,7,1.88,
perform,verb,5,2.32,3.64,2.08,
clothe,verb,4.05,1.89,6.41,1.34,
clapperclaw,verb,6.83,2.7,1.8,1.23,
object,noun,6.82,2.1,3.31,2.2,
homely,adj,3.52,2.05,4.39,1.46,
able,adj,5.08,2.07,7.16,1.39,
bedraggled,adj,4.1,1.94,4.28,1.84,
bloody,adj,5.29,2.04,6.41,1.61,
undertaking,noun,5.53,2.8,8.22,1.2,
dispirited,adj,4.1,2.31,4.12,1.73,
frightful,adj,6.33,2.28,2.25,1.18,
preference,noun,5.22,2.38,6.66,1.57,
neighborhood,noun,3.39,1.87,5.22,0.72,
approximate,adj,5.33,2.04,4.74,2,
deferent,adj,4.6,2.67,7.22,1.27,
hatred,noun,6.95,2.56,2.12,1.72,
shower,verb,4.93,2.4,6.21,2.03,
timbre,noun,4.48,2.12,6.25,1.59,
geographical area,noun,4.08,2.41,6.2,1.37,
adoption,noun,5.4,2.7,7.98,1.42,
bunny girl,noun,4.06,2.61,7.24,1.32,
submerge,verb,6.57,2.33,1.92,1.48,
gloat,verb,5.78,2.6,7.8,1.83,
huffy,adj,6.76,2.26,2.44,1.72,
contribution,noun,3.82,2.24,5.11,1.78,
candy kiss,noun,7.32,2.03,8.26,1.54,
robe,verb,3.95,2.09,5.25,1.33,
audience,noun,4.56,2.41,7.26,1.72,
dishonorable,adj,4.43,2.05,5.61,1.94,
broken,adj,5.86,2.4,2,1.18,
Au,noun,5.76,2.79,7.54,1.63,
luggage compartment,noun,4.18,2.19,5.09,1.57,
decelerate,verb,3.39,2.22,3.93,1.6,
vegetable,noun,4.72,2.33,5.78,2.22,
whistling,noun,4.69,1.99,5.81,1.21,
subdued,adj,4.63,2.61,7.12,1.34,
mesomorphic,adj,5.47,2.2,6.82,1.63,
misfortune,noun,4.76,2.55,2.45,1.61,
demerit,noun,4.07,1.69,3.43,1.38,
atmosphere,noun,4.27,2.17,7.37,1.4,
grimace,noun,5.04,2.18,6.39,1.6,
irrigate,verb,4.97,2.49,6.61,1.78,
male parent,noun,5.92,2.6,7.08,2.2,
girlfriend,noun,4.29,2.69,6.87,1.64,
handbreadth,noun,4.4,2.07,5.95,1.38,
passing,noun,4.36,2.13,5.28,1.44,
pridefulness,noun,5.83,2.48,7,2.11,
aphrodisiac,adj,7.36,1.91,8.02,1.12,
roach,noun,6.11,2.78,2.81,2.11,
wrath,noun,7.63,1.91,2.34,1.32,
saved,adj,4.09,2.77,7.29,1.79,
store,verb,4.79,2.44,6.15,1.49,
communicate,verb,4.78,2.82,6.73,1.47,
downfall,noun,4.7,2.48,4.09,2.21,
illogical,adj,4.36,2.2,4.26,1.82,
razz,verb,5.87,2.56,4.84,2.51,
fish,verb,7.16,1.96,3.65,2.47,
crude,adj,6.31,2.47,2.5,2.11,
cunning,adj,5.53,2.71,7.62,1.01,
encircle,verb,3.86,2.13,5.67,1.26,
time period,noun,4.64,2.75,5.31,2.02,
concord,noun,5.02,2.24,7.08,1.59,
adamant,noun,5.53,2.96,7.92,1.2,
inflexible,adj,4.66,2.47,3.66,2.12,
tolerant,adj,4.46,2.55,7.59,1.67,
home plate,noun,4.21,2.94,7.91,1.63,
worldly,adj,3.94,1.76,4.89,1.16,
insecure,adj,5.36,2.37,4.39,1.63,
jump,verb,5.67,2.51,7.76,1.51,
beaut,noun,4.95,2.57,7.82,1.16,
undimmed,adj,5.4,2.33,7.5,1.55,
error,noun,5.18,2.42,2.86,1.79,
mendacious,adj,3.43,2.09,3.27,1.4,
bathtub,noun,4.16,2.31,7.33,1.45,
nonsensical,adj,4.17,2.02,4.61,1.63,
touch,verb,5.35,2.76,8,1.55,
spare,adj,5.15,3.04,8.26,1.31,
substance abuse,noun,3.95,2.11,4.11,1.77,
mark,verb,4.79,2.11,3.38,1.7,
seashore,noun,4.59,2.31,5.98,1.86,
chesty,adj,5.65,2.23,3.69,2.4,
disappear,verb,4.7,2.48,4.09,2.21,
prevention,noun,4.95,2.19,6.45,1.93,
Doctor of the Church,noun,5.86,2.7,5.2,2.54,
annoyed,adj,5.94,2.36,2.17,1.21,
frightened,adj,6.82,2.03,2.78,1.99,
earn,verb,4.9,2.37,6.61,1.59,
defy,verb,4.91,2.45,3.22,2.02,
confused,adj,5.82,2.62,2.82,1.83,
pitchfork,verb,3.96,1.94,5.29,0.97,
political party,noun,6.69,2.84,7.86,1.83,
slug,noun,5.33,2.48,3.29,2.06,
close,adj,6.98,2.21,7.61,1.51,
organic structure,noun,5.52,2.63,5.55,2.37,
social dancer,noun,6,2.2,7.14,1.56,
unconcerned,adj,3.18,1.85,4.61,1.28,
disintegrate,verb,4.65,2.39,3.2,1.81,
utilitarian,adj,4.26,2.47,7.14,1.6,
dissolve,verb,5,2.32,3.64,2.08,
fiend,noun,6.07,2.61,2.21,1.99,
face card,noun,5.51,2.77,7.26,1.67,
ticker,noun,4.1,2.12,5.78,1.51,
revolving door,noun,5.55,2.39,4.02,2.44,
acold,adj,5.19,2.23,4.02,1.99,
devastation,noun,5.82,2.71,3.16,2.44,
soil,noun,3.76,2.26,4.17,1.77,
doc,noun,5.86,2.7,5.2,2.54,
furtherance,noun,6.44,2.58,8.2,1.15,
organic,noun,4.17,2.09,3.1,1.74,
depraved,adj,4.98,2.48,3.5,2.16,
heavy-laden,adj,5.63,2.07,2.5,1.32,
chat up,verb,3.47,2.39,7.17,1.2,
good luck charm,noun,5.16,2.25,6.77,1.58,
collect,verb,3.9,1.95,5.53,1.85,
docile,adj,3.21,2.57,7.31,1.3,
temperamental,adj,4.18,2.38,3.2,1.58,
fatten,verb,4.81,2.8,2.28,1.92,
deadened,adj,5.73,2.73,1.94,1.76,
contented,adj,4.94,2.63,7.94,1.19,
have,verb,5.83,2.44,7.27,1.66,
artificial,adj,4.35,2.25,3.38,1.7,
issue,verb,4.7,2.48,4.09,2.21,
hamlet,noun,4.08,1.87,5.92,1.34,
judicature,noun,5.47,2.54,7.78,1.35,
change of location,noun,4.7,2.48,4.09,2.21,
stab,verb,5.8,2,3.62,2.18,
reverence,verb,6.96,2.17,2.76,2.12,
ingot,noun,4.2,2.42,5.07,1.97,
pig bed,noun,4.2,2.42,5.07,1.97,
tumour,noun,6.51,2.85,2.36,2.04,
the absurd,noun,4.36,2.2,4.26,1.82,
Friend,noun,5.74,2.57,7.74,1.24,
mystical,adj,4.84,2.57,6,2.21,
defense,noun,3.68,1.99,5.16,1.57,
tie,verb,4.07,2.15,4.64,1.36,
switch off,verb,5,2.32,3.64,2.08,
cosmetic,noun,3.14,1.9,5.22,0.68,
military greeting,noun,5.31,2.23,5.92,1.57,
ineffective,adj,4.57,2.59,2.81,1.92,
tune up,verb,4.71,2.09,6.93,1.47,
inexact,adj,4.27,2.46,4.82,2.04,
unperceptive,adj,4.39,2.36,3.05,1.99,
grassland,noun,3.41,2.17,5.75,1.43,
destroyer,noun,6.4,1.88,2.71,1.91,
practice,verb,6.84,2.06,7.13,1.58,
ulceration,noun,6.12,2.68,1.78,1.17,
agile,adj,6.57,1.78,6.64,1.61,
skip,verb,5,2.32,3.64,2.08,
agleam,adj,5.4,2.33,7.5,1.55,
punch-drunk,adj,5.88,2.38,7.41,1.8,
heavily,adv,5.12,2.19,5.22,1.82,
female aristocrat,noun,4.76,2.18,6.44,1.43,
destructiveness,noun,6.05,2.82,1.98,1.44,
nowadays,noun,5.12,2.39,6.95,1.85,
hurt,verb,5.56,2.06,2.76,1.5,
pick,verb,3.27,1.98,5.02,0.93,
defeated,adj,5.61,2.76,2.48,1.64,
reptilian,noun,5.18,2.19,4.77,2,
victim,noun,3.36,2.18,5.89,1.73,
run off,verb,4.14,2.3,2.93,1.76,
hoarded wealth,noun,6.75,2.3,8.27,0.9,
debauched,adj,4.98,2.48,3.5,2.16,
immediate,adj,6.57,1.78,6.64,1.61,
assertive,adj,5.83,2.33,5.1,1.68,
flannel,noun,4.37,2.14,6.47,1.59,
headliner,noun,5.83,2.44,7.27,1.66,
assent,noun,5.4,2.7,7.98,1.42,
psychic trauma,noun,6.33,2.45,2.1,1.49,
humour,verb,5.5,2.91,8.56,0.81,
bark,noun,3.8,2.18,5.22,1.13,
exercising,noun,6.84,2.06,7.13,1.58,
helping hand,noun,4.4,2.07,5.95,1.38,
manus,noun,4.4,2.07,5.95,1.38,
discard,verb,4.14,2.3,2.93,1.76,
head ache,noun,5.07,2.74,2.02,1.06,
applause,noun,4.4,2.07,5.95,1.38,
gustation,noun,5.22,2.38,6.66,1.57,
panicky,adj,7.86,2.27,1.72,1.14,
crooked,adj,4.67,2.35,3.32,2.32,
forefather,noun,5.92,2.6,7.08,2.2,
fourth dimension,noun,4.64,2.75,5.31,2.02,
leftover,adj,4.27,2.46,4.82,2.04,
squab,noun,3.79,2.28,6.9,1.54,
powerful,adv,5.61,2.38,6.54,2.19,
privileged,adj,5.5,2.73,8.42,0.83,
arousal,noun,7.35,1.76,7.69,1.39,
progression,noun,6.02,2.58,7.73,1.34,
fowl,noun,3.17,2.23,7.27,1.36,
sour,adj,5.04,2.27,4.34,2.28,
natural depression,noun,4.54,3.19,1.85,1.67,
illusion,noun,5.14,2.82,7.41,1.9,
person,noun,3.82,2.4,5.09,1.67,
pennywhistle,noun,4.69,1.99,5.81,1.21,
table of contents,noun,4.32,2.14,4.89,0.89,
uncivil,adj,6.31,2.47,2.5,2.11,
ardor,noun,7.17,2.06,3.22,2.06,
emphasize,verb,7.45,2.38,2.09,1.41,
open fire,verb,7.17,2.06,3.22,2.06,
urine,noun,4.97,2.49,6.61,1.78,
pawl,noun,5.76,2.5,7.57,1.66,
barren,adj,4.21,1.99,6.51,1.34,
esteem,verb,5.19,2.39,7.64,1.29,
ship's boat,noun,4.88,2.3,6.93,1.28,
tickle,verb,8.02,1.65,8.05,1.48,
ambitiousness,noun,5.61,2.92,7.04,1.98,
branching,noun,3.96,1.94,5.29,0.97,
plunger,noun,5.04,2.1,6.45,1.55,
smasher,noun,5.5,2.73,8.42,0.83,
round shape,noun,3.88,1.99,5.33,0.87,
sailing boat,noun,4.88,2.73,7.25,1.71,
degree,noun,6.14,2.39,6.43,1.98,
device,noun,3.82,2.4,5.09,1.67,
stiff,adj,4.66,2.47,3.66,2.12,
defenseless,adj,5.8,2.8,6.34,2.42,
youthful,adj,5.64,2.51,6.89,2.12,
greenhouse,noun,4.04,2.74,5.73,2.3,
fireplace,noun,7.17,2.06,3.22,2.06,
surly,adj,5.38,2.23,2.43,1.27,
promising,adj,5.4,2.33,7.5,1.55,
audacious,adj,5.38,2.37,4.35,1.76,
limber up,verb,4.57,2.26,5.68,1.49,
construction,noun,3.92,1.94,5.29,1.15,
scratch,noun,4.79,2.11,3.38,1.7,
sticker,noun,6.14,2.64,3.38,1.77,
cut off,verb,5,2.32,3.64,2.08,
joyride,verb,4.33,1.78,5.19,1.27,
shore leave,noun,5.6,2.65,7.98,1.22,
living,noun,6.02,2.62,7.27,1.88,
vomitus,noun,5.75,2.84,2.06,1.57,
apology,noun,4.48,2.29,4.05,1.41,
abdominous,adj,4.81,2.8,2.28,1.92,
burying,noun,5.08,2.4,2.05,1.41,
irreconcilable,adj,6.44,2.28,2.73,1.5,
state,noun,5.52,2.72,7.58,2.04,
weakened,adj,5.85,2.49,1.9,1.26,
passageway,noun,4.36,2.13,5.28,1.44,
baseball swing,noun,5,2.32,3.64,2.08,
dying,noun,4.59,3.07,1.61,1.4,
rebel,verb,6.56,2.34,4.13,1.78,
experience,noun,4.64,2.75,5.31,2.02,
barroom,noun,5,2.83,6.42,2.05,
mantelpiece,noun,3.27,2.23,4.93,1.4,
dainty,noun,5.62,2.25,7.36,1.38,
army tank,noun,4.88,1.86,5.16,1.87,
miniature,noun,5.11,2.84,7,2.01,
inner,adj,6.98,2.21,7.61,1.51,
aggressive,adj,6.44,2.28,2.73,1.5,
frogman,noun,5.04,2.1,6.45,1.55,
appearance,noun,5.04,2.18,6.39,1.6,
Hell,noun,5.38,2.62,2.24,1.62,
maul,verb,5.44,2.1,3.9,2.01,
damn,adv,6.41,2,2.9,1.98,
knock-down,adj,5.83,2.69,6.84,1.8,
fricative,adj,4.63,2.61,7.12,1.34,
crime,noun,5.75,2.45,2.67,1.66,
abject,adj,4.71,2.72,3.19,2,
stage,verb,3.98,1.82,5.17,0.79,
fire,verb,6.22,1.91,2.73,1.72,
pass,verb,5,2.32,3.64,2.08,
ill-bred,adj,6.31,2.47,2.5,2.11,
exultant,adj,6.78,2.58,8.82,0.73,
mellow,adj,4.63,2.61,7.12,1.34,
hymenopterous insect,noun,5.5,2.17,3.37,1.63,
fortunate,adj,6.53,2.34,8.17,1.06,
pitch-black,adj,4.61,2.24,5.39,1.8,
fountain,noun,5.67,2.51,7.76,1.51,
might,noun,6.67,1.87,6.54,2.21,
bbl,noun,3.36,2.28,5.05,1.46,
overstrung,adj,6.53,2.1,3.56,1.36,
fighter,noun,5.85,3.15,8.44,0.9,
unsafe,adj,5.56,2.34,2.36,1.33,
afoul,adj,4.93,2.23,2.81,1.52,
capture,noun,5.53,2.43,2.76,2.06,
recall,noun,5,2.68,6.68,1.84,
warfare,noun,7.49,2.16,2.08,1.91,
British capacity unit,noun,3.59,2.51,5.39,2.01,
base,noun,4.21,2.94,7.91,1.63,
shake,verb,4.36,2.18,5.03,1.23,
all in,adj,5.73,2.73,1.94,1.76,
discolor,verb,4.43,2.05,5.61,1.94,
shrill,verb,5.36,2.91,3.93,2.22,
vest,verb,5.12,2.42,5.93,2.1,
unfortunate,noun,6.06,2.32,2.18,1.48,
social station,noun,4.48,2.12,6.25,1.59,
disadvantage,noun,5.1,2.31,2.83,1.56,
entice,verb,4,2.14,4.56,1.72,
Browning automatic rifle,noun,5,2.83,6.42,2.05,
adumbrate,verb,6.98,2.21,7.61,1.51,
avarice,noun,4.71,2.26,3.51,1.93,
bewray,verb,7.24,2.06,1.68,1.02,
disgraceful,adj,4.61,2.24,5.39,1.8,
cork up,verb,3.8,2.18,5.22,1.13,
iron out,verb,3.76,2.06,4.9,1.02,
wallow,verb,5.78,2.6,7.8,1.83,
cockamamie,adj,5.88,2.38,7.41,1.8,
green,adj,4.15,1.96,3.39,1.7,
joining,noun,5.73,2.09,4.33,2.35,
animal toxin,noun,6.08,2.44,2.68,1.81,
just,adj,5.43,2.85,7.47,1.45,
doomed,noun,5.82,2.62,2.82,1.83,
surround,verb,3.86,2.13,5.67,1.26,
beloved,noun,6.44,3.35,8.72,0.7,
carom,noun,4.71,2.84,4.9,2.2,
get dressed,verb,4.05,1.89,6.41,1.34,
obscenity,noun,5.12,2.32,2.47,1.68,
stranger,noun,5.45,2.15,5.6,1.82,
deluge,verb,6,2.02,3.19,1.66,
unadventurous,adj,3.86,2.72,7.07,1.9,
warmheartedness,noun,3.73,2.4,7.41,1.81,
roughly,adv,5.33,2.04,4.74,2,
legal opinion,noun,4.89,2.46,6.28,1.45,
bawdy,adj,4.88,2.29,3.08,2.05,
dollar bill,noun,6.07,2.67,7.47,1.72,
ghoulish,adj,5.06,2.68,2.87,2.14,
aerogenerator,noun,3.74,2.13,5.6,1.65,
food for thought,noun,5.92,2.11,7.65,1.37,
diacetylmorphine,noun,5.11,2.72,4.36,2.73,
create from raw material,verb,4.44,1.96,6.16,1.89,
allergic reaction,noun,4.64,2.34,3.07,1.64,
bungalow,noun,3.39,2.54,6.45,1.52,
kitty,noun,5.08,2.45,6.86,2.13,
obelisk,noun,6.14,2.64,3.38,1.77,
tight,adj,4.89,2.5,3.58,2.38,
greeting,noun,5.31,2.23,5.92,1.57,
boggy,adj,4.13,2.13,4.44,2.07,
put on,verb,4.05,1.89,6.41,1.34,
aflutter,adj,6.59,2.07,3.29,1.47,
judgment,noun,5,2.68,6.68,1.84,
pair of scissors,noun,4.47,1.76,5.05,0.96,
diffident,adj,3.77,2.29,4.64,1.83,
identity element,noun,4.95,2.24,6.57,1.99,
homesick,adj,4.18,2.5,1.57,0.96,
wages,noun,4.95,2.62,7.53,1.67,
Father,noun,5.92,2.6,7.08,2.2,
faulting,noun,4.07,1.69,3.43,1.38,
uncut,adj,5,2.32,3.64,2.08,
escapade,noun,6.98,2.15,7.6,1.5,
atmospheric phenomenon,noun,4.2,2.99,7.68,1.72,
learning,noun,5.74,2.46,6.69,1.77,
alienate,verb,5.45,2.15,5.6,1.82,
aureate,adj,5.76,2.79,7.54,1.63,
vellicate,verb,4.59,2.1,3.83,1.7,
bow,noun,4.64,2.88,8.14,1.23,
depressive disorder,noun,4.54,3.19,1.85,1.67,
match,verb,3.18,1.76,4.74,1.02,
intellect,noun,5,2.68,6.68,1.84,
oppose,verb,7.15,2.19,3.76,2.63,
indebtedness,noun,5.68,2.74,2.22,1.17,
alleyway,noun,4.91,2.42,4.48,1.97,
frosty,adj,4.75,2.56,3.5,1.85,
boulevard,noun,4.12,2.01,5.5,1.37,
social gathering,noun,6.69,2.84,7.86,1.83,
insolvent,noun,6.21,2.79,2,1.31,
flit,verb,3.47,2.39,7.17,1.2,
arctic,adj,4.75,2.56,3.5,1.85,
rampage,verb,6.39,2.63,2.96,1.93,
assassinator,noun,6.28,2.53,3.09,2.09,
confuse,verb,4.13,2.13,4.44,2.07,
baseball diamond,noun,5.53,2.96,7.92,1.2,
degage,adj,2.39,2.13,7,1.77,
elevator car,noun,6.24,2.04,7.73,1.63,
anxious,adj,6.59,2.07,3.29,1.47,
inducement,noun,5.69,2.45,7,1.72,
agaric,noun,4.72,2.33,5.78,2.22,
mates,noun,6.39,2.31,7.41,1.97,
bridge player,noun,4.4,2.07,5.95,1.38,
second power,noun,3.18,1.76,4.74,1.02,
linguistic context,noun,4.22,2.24,5.2,1.38,
pipe dream,noun,4.53,2.72,6.73,1.75,
lever,noun,3.7,2.18,5.68,1.62,
hardened,adj,4.63,2.61,7.12,1.34,
auditory communication,noun,5.32,3.19,8.13,1.09,
scan,verb,4.27,2.07,4.75,1.38,
support,noun,3.27,1.98,5.02,0.93,
social unit,noun,3.75,2.49,5.59,1.87,
deaf,adj,3.18,1.85,4.61,1.28,
caress,verb,5.1,2.59,6.79,2.32,
considerate,adj,5.72,2.3,7.65,1.03,
follow,verb,4.3,2.26,4.35,1.23,
argus-eyed,adj,6.85,2.53,6.2,1.76,
cadre,noun,4.08,2.19,3.82,1.7,
asperity,noun,4.76,2.55,2.45,1.61,
reap,verb,5,2.32,3.64,2.08,
vicious,adj,6.39,2.44,3.23,2.64,
power,noun,4.08,1.92,5.24,1.59,
genuine,adj,5.43,2.85,7.47,1.45,
trial,noun,7.17,2.06,3.22,2.06,
metrical foot,noun,3.27,1.98,5.02,0.93,
awol,adj,6.56,2.21,1.93,1.61,
ambition,noun,4.53,2.72,6.73,1.75,
dispute,verb,6.29,2.56,2.93,2.06,
dress out,verb,4.05,1.89,6.41,1.34,
engagement,noun,5.28,2.12,6.47,1.81,
beg off,verb,4.48,2.29,4.05,1.41,
excruciate,verb,6.1,2.77,1.56,0.79,
secure,adj,3.89,2.54,7.62,1.41,
pricking,noun,4.7,2.59,3.98,1.73,
stale,adj,5.19,2.23,4.02,1.99,
reply,verb,5.41,2.43,6.63,1.68,
screech,noun,5.36,2.91,3.93,2.22,
poorness,noun,4.87,2.66,1.67,0.9,
freestanding,adj,4.26,2.57,3.86,1.88,
extracurricular activity,noun,6.1,2.29,6.61,2.08,
conical buoy,noun,2.93,1.8,4.93,1.89,
child,noun,5.53,2.8,8.22,1.2,
regret,verb,6.96,2.17,2.76,2.12,
innocuous,adj,4.21,1.99,6.51,1.34,
yearn,verb,5,2.45,2.46,1.52,
knockout,adj,5.12,2.19,5.22,1.82,
abandoned,adj,4.1,1.94,4.28,1.84,
world power,noun,6.67,1.87,6.54,2.21,
hide out,verb,5.28,2.51,4.32,1.91,
pelt,verb,3.76,2.39,5.29,1.82,
bull,noun,4.2,2.42,5.07,1.97,
glassware,noun,4.27,2.07,4.75,1.38,
rag,verb,6.49,2.17,2.74,1.81,
put out,verb,6.85,2.03,3.03,2.09,
domestic dog,noun,5.76,2.5,7.57,1.66,
chain mail,noun,5.63,2.36,6.88,1.74,
irritant,noun,5.14,2.14,3.64,1.76,
promote,verb,4.76,2.18,6.44,1.43,
orgy,noun,6.39,2.63,2.96,1.93,
sex,noun,4.38,2.13,5.73,1.55,
turkey,noun,7.15,2.4,2.1,1.19,
humiliated,adj,5.87,2.55,3.03,1.85,
expression,noun,5.04,2.18,6.39,1.6,
sensitive,adj,4.88,2.3,6.93,1.28,
boldface,noun,5.6,2.21,6.8,1.61,
bittersweet,adj,4.13,2.38,1.61,0.95,
pound,noun,4.58,2.02,4.88,1.16,
daybook,noun,4.05,1.96,5.14,1.49,
velar,adj,5.12,2.19,5.22,1.82,
secretion,noun,3.89,2.48,6.9,1.53,
discussion,noun,4.1,2.24,5.55,1.58,
mail service,noun,5.63,2.36,6.88,1.74,
slowly,adv,4.48,2.82,7.1,1.91,
feeding bottle,noun,4.79,2.44,6.15,1.49,
instruction,noun,5.74,2.46,6.69,1.77,
disruptive,adj,5.94,2.36,2.17,1.21,
perfection,noun,4.53,2.72,6.73,1.75,
artifact,noun,3.88,1.99,5.33,0.87,
bejewel,verb,5.38,2.54,7,1.72,
armor plate,noun,4.71,2.84,4.9,2.2,
scab,noun,4.95,2.36,3.02,1.66,
big,adj,5.95,2.73,7.93,1.47,
mutant,noun,4.84,2.52,3.91,2.44,
estrange,verb,5.45,2.15,5.6,1.82,
pale,adj,4.29,2.45,1.9,1.14,
bare,adj,3.52,2.05,4.39,1.46,
waste,verb,6.22,1.91,2.73,1.72,
pin,noun,4.7,2.48,4.09,2.21,
drench,verb,4.86,2.36,5.14,2.24,
sadness,noun,5.17,2.69,1.93,1.6,
Hope,noun,5.44,2.47,7.05,1.96,
fancier,noun,5.39,2.46,3.76,2,
smart,verb,5,2.45,2.46,1.52,
quad,noun,5.14,2.54,6.78,1.66,
aloneness,noun,4.56,2.97,1.61,1.02,
defend,verb,5.85,3.15,8.44,0.9,
stadium,noun,5.97,2.59,7.3,1.84,
body part,noun,5.37,2.39,6.5,1.78,
flower arrangement,noun,4.14,2.28,5.45,1.63,
field of operation,noun,4.08,2.41,6.2,1.37,
corporeal,adj,4.05,2.34,5.26,1.29,
morning,noun,4.39,2.81,6.16,2.33,
undercut,noun,5,2.32,3.64,2.08,
bargain,noun,6.07,2.42,7.1,1.97,
courtly,adj,4.12,2.29,7.1,1.26,
disgusted,adj,4.29,2.45,1.9,1.14,
torturing,noun,6.1,2.77,1.56,0.79,
nauseated,adj,4.29,2.45,1.9,1.14,
create verbally,verb,4.29,2.48,6.02,1.96,
sound,noun,5.32,3.19,8.13,1.09,
fact,noun,5,2.77,7.8,1.29,
fixed,adj,4.66,2.47,3.66,2.12,
missive,noun,4.9,2.37,6.61,1.59,
