word,cat,A_M,A_SD,V_M,V_SD
jewel,verb,5.38,2.54,7,1.72,
toy,verb,5.11,2.84,7,2.01,
fragrance,noun,4.79,2.54,6.07,1.97,
devoted,adj,5.23,2.21,7.41,1.37,
devil,verb,6.07,2.61,2.21,1.99,
stink,verb,4.26,2.1,3,1.79,
fault,verb,4.07,1.69,3.43,1.38,
scissors,noun,4.47,1.76,5.05,0.96,
frog,verb,4.54,2.03,5.71,1.74,
depression,noun,4.54,3.19,1.85,1.67,
yacht,verb,5.61,2.72,6.95,1.79,
salad,noun,3.81,2.29,5.74,1.62,
easygoing,adj,4.3,2.52,7.2,1.5,
contempt,noun,5.28,2.04,3.85,2.13,
agreement,noun,5.02,2.24,7.08,1.59,
medicine,verb,4.4,2.36,5.67,2.06,
stench,noun,4.36,2.46,2.19,1.37,
ennui,noun,4.4,2.33,5.09,1.76,
brave,verb,6.15,2.45,7.15,1.64,
candy,verb,4.58,2.4,6.54,2.09,
building,noun,3.92,1.94,5.29,1.15,
angel,noun,4.83,2.63,7.53,1.58,
honey,verb,4.51,2.25,6.73,1.7,
astronaut,noun,5.28,2.11,6.66,1.6,
bar,verb,5,2.83,6.42,2.05,
disappoint,verb,4.92,2.64,2.39,1.44,
trunk,noun,4.18,2.19,5.09,1.57,
violin,noun,3.49,2.26,5.43,1.98,
assault,verb,7.51,2.28,2.03,1.55,
excitement,noun,7.67,1.91,7.5,2.2,
chocolate,noun,5.29,2.55,6.88,1.89,
humor,verb,5.5,2.91,8.56,0.81,
listless,adj,4.1,2.31,4.12,1.73,
crushed,adj,5.52,2.87,2.21,1.74,
derelict,noun,4.1,1.94,4.28,1.84,
glamour,verb,4.68,2.23,6.76,1.6,
mutation,noun,4.84,2.52,3.91,2.44,
bloody,adv,6.41,2,2.9,1.98,
dinner,noun,5.43,2.14,7.16,1.5,
eat,verb,5.69,2.51,7.47,1.73,
mind,verb,5,2.68,6.68,1.84,
mad,adj,6.76,2.26,2.44,1.72,
smooth,verb,4.91,2.57,6.58,1.78,
wine,verb,4.78,2.34,5.95,2.19,
key,verb,3.7,2.18,5.68,1.62,
brutal,adj,6.6,2.36,2.8,1.9,
glory,verb,6.02,2.71,7.55,1.68,
hatred,noun,6.66,2.56,1.98,1.92,
cannon,verb,4.71,2.84,4.9,2.2,
aroused,adj,6.63,2.7,7.97,1,
coffin,verb,5.03,2.79,2.56,1.96,
greed,noun,4.71,2.26,3.51,1.93,
outstanding,adj,6.24,2.59,7.75,1.75,
rancid,adj,5.04,2.27,4.34,2.28,
nude,noun,6.41,2.09,6.82,1.63,
fork,verb,3.96,1.94,5.29,0.97,
politeness,noun,3.74,2.37,7.18,1.5,
injury,noun,5.69,2.06,2.49,1.76,
humane,adj,4.5,1.91,6.89,1.7,
theory,noun,4.62,1.94,5.3,1.49,
chaos,noun,6.67,2.06,4.17,2.36,
skull,noun,4.75,1.85,4.27,1.83,
broken,adj,5.43,2.42,3.05,1.92,
magical,adj,5.95,2.36,7.46,1.64,
windmill,noun,3.74,2.13,5.6,1.65,
busybody,noun,4.84,2.41,5.17,2.02,
leisurely,adv,3.8,2.38,6.88,1.81,
progress,verb,6.02,2.58,7.73,1.34,
infatuation,noun,7.02,1.87,6.73,2.08,
delight,verb,5.44,2.88,8.26,1.04,
meek,adj,3.8,2.13,3.87,1.69,
wicked,adj,6.09,2.44,2.96,2.37,
grin,verb,5.27,2.64,7.4,1.87,
hide,verb,5.28,2.51,4.32,1.91,
stagnant,adj,3.93,1.94,4.15,1.57,
fur,noun,4.18,2.44,4.51,1.88,
employment,noun,5.28,2.12,6.47,1.81,
kerosene,noun,4.34,2.51,4.8,1.59,
manure,verb,4.17,2.09,3.1,1.74,
clothing,noun,4.78,2.88,6.54,1.85,
lion,noun,6.2,2.16,5.57,1.99,
subdued,adj,2.9,1.81,4.67,1.31,
obnoxious,adj,4.74,2.42,3.5,2.18,
evil,noun,6.39,2.44,3.23,2.64,
poison,verb,6.05,2.82,1.98,1.44,
corridor,noun,3.63,2.41,4.88,1.14,
delayed,adj,5.62,2.39,3.07,1.74,
spirit,verb,5.56,2.62,7,1.32,
muddy,verb,4.13,2.13,4.44,2.07,
prick,verb,4.7,2.59,3.98,1.73,
beautiful,adj,6.17,2.34,7.6,1.64,
syphilis,noun,5.69,3.25,1.68,1.23,
obesity,noun,3.87,2.82,2.73,1.85,
material,noun,4.05,2.34,5.26,1.29,
daylight,noun,4.77,2.5,6.8,2.17,
controlling,adj,6.1,2.19,3.8,2.25,
stupid,noun,4.72,2.71,2.31,1.37,
perfume,verb,5.05,2.36,6.76,1.48,
father,verb,5.92,2.6,7.08,2.2,
lavish,verb,4.93,2.4,6.21,2.03,
thought,noun,4.83,2.46,6.39,1.58,
slow,adv,3.39,2.22,3.93,1.6,
teacher,noun,4.05,2.61,5.68,2.12,
roach,verb,6.64,2.64,2.35,1.7,
mosquito,noun,4.78,2.72,2.8,1.91,
corner,verb,3.91,1.92,4.36,1.21,
desire,verb,7.35,1.76,7.69,1.39,
vision,noun,4.66,2.43,6.62,1.84,
safe,noun,3.86,2.72,7.07,1.9,
cabinet,noun,3.43,1.85,5.05,0.31,
truth,noun,5,2.77,7.8,1.29,
exercise,verb,6.84,2.06,7.13,1.58,
fish,verb,4,2.19,6.04,1.94,
virgin,noun,5.51,2.06,6.45,1.76,
crude,noun,5.07,2.37,3.12,1.65,
dove,noun,3.79,2.28,6.9,1.54,
humiliate,verb,6.14,2.42,2.24,1.34,
depressed,adj,4.72,2.95,1.83,1.42,
toxic,adj,6.4,2.41,2.1,1.48,
infant,noun,5.05,2.66,6.95,2.08,
twilight,noun,4.7,2.41,7.23,1.8,
chance,verb,5.38,2.58,6.02,1.77,
treasure,verb,6.75,2.3,8.27,0.9,
whore,verb,5.85,2.93,2.3,2.11,
bandage,verb,3.9,2.07,4.54,1.75,
suicide,noun,5.73,3.14,1.25,0.69,
plant,verb,3.62,2.25,5.98,1.83,
decompose,verb,4.65,2.39,3.2,1.81,
hairpin,noun,3.27,2.41,5.26,1.45,
insecure,adj,5.56,2.34,2.36,1.33,
resent,verb,4.47,2.12,3.76,1.9,
moody,noun,4.18,2.38,3.2,1.58,
blase,adj,3.94,1.76,4.89,1.16,
bastard,noun,6.07,2.15,3.36,2.16,
bathtub,noun,4.36,2.59,6.69,1.57,
hate,verb,6.95,2.56,2.12,1.72,
flower,verb,4,2.44,6.64,1.78,
air,verb,4.12,2.3,6.34,1.56,
bless,verb,4.05,2.59,7.19,1.69,
breast,verb,5.37,2.39,6.5,1.78,
kiss,verb,7.32,2.03,8.26,1.54,
blasphemy,noun,4.93,2.34,3.75,2.26,
stove,noun,4.51,2.14,4.98,1.69,
dead,adv,5.73,2.73,1.94,1.76,
trouble,verb,6.85,2.03,3.03,2.09,
pretty,adv,6.03,2.22,7.75,1.26,
ache,verb,5,2.45,2.46,1.52,
detail,verb,4.1,2.24,5.55,1.58,
metal,verb,3.79,1.96,4.95,1.17,
hinder,verb,4.12,2.01,3.81,1.42,
refreshment,noun,4.45,2.7,7.44,1.29,
rotten,adj,4.53,2.38,2.26,1.37,
masterful,adj,5.2,2.85,7.09,1.78,
respectful,adj,4.6,2.67,7.22,1.27,
confused,adj,6.03,1.88,3.21,1.51,
man,verb,5.24,2.31,6.73,1.7,
swamp,verb,4.86,2.36,5.14,2.24,
queen,verb,4.76,2.18,6.44,1.43,
garbage,noun,5.04,2.5,2.98,1.96,
coarse,adj,4.21,1.84,4.55,1.42,
tobacco,noun,4.83,2.9,3.28,2.16,
pollute,verb,6.08,2.42,1.85,1.11,
diploma,noun,5.67,2.8,8,1.39,
pasta,noun,4.94,2.04,6.69,1.64,
grief,noun,4.78,2.84,1.69,1.04,
rattle,verb,4.36,2.18,5.03,1.23,
impair,verb,4.04,2.14,3.18,1.86,
farm,verb,3.9,1.95,5.53,1.85,
cellar,noun,4.39,2.33,4.32,1.68,
alimony,noun,4.3,2.29,3.95,2,
jealousy,noun,6.36,2.66,2.51,1.83,
ulcer,noun,6.12,2.68,1.78,1.17,
malice,noun,5.86,2.75,2.69,1.84,
rain,verb,3.65,2.35,5.08,2.51,
king,noun,5.51,2.77,7.26,1.67,
acceptance,noun,5.4,2.7,7.98,1.42,
nectar,noun,3.89,2.48,6.9,1.53,
elated,adj,6.21,2.3,7.45,1.77,
birthday,noun,6.68,2.11,7.84,1.92,
inspired,adj,6.02,2.67,7.15,1.85,
shamed,adj,4.88,2.27,2.5,1.34,
sailboat,noun,4.88,2.73,7.25,1.71,
pillow,verb,2.97,2.52,7.92,1.4,
poetry,noun,4,2.85,5.86,1.91,
diver,noun,5.04,2.1,6.45,1.55,
offend,verb,5.56,2.06,2.76,1.5,
clumsy,adj,5.18,2.4,4,2.22,
bake,verb,5.1,2.3,6.17,1.71,
afraid,adj,6.67,2.54,2,1.28,
bath,verb,4.16,2.31,7.33,1.45,
space,verb,5.14,2.54,6.78,1.66,
imagine,verb,5.98,2.14,7.32,1.52,
method,noun,3.85,2.58,5.56,1.76,
blond,noun,5.07,2.7,6.43,2.04,
blind,verb,4.39,2.36,3.05,1.99,
basket,noun,3.63,2.02,5.45,1.15,
icebox,noun,4.17,2.11,4.95,1,
heroin,noun,5.11,2.72,4.36,2.73,
affection,noun,6.21,2.75,8.39,0.86,
hurt,verb,5.85,2.49,1.9,1.26,
defeated,noun,5.09,3,2.34,1.66,
grenade,noun,5.7,2.52,3.6,1.88,
neurotic,noun,5.13,2.76,4.45,2.23,
hopeful,noun,5.78,2.09,7.1,1.46,
crucify,verb,6.47,2.47,2.23,1.72,
intercourse,noun,7,2.07,7.36,1.57,
good,adv,5.43,2.85,7.47,1.45,
victim,noun,6.06,2.32,2.18,1.48,
discomfort,noun,4.17,2.44,2.19,1.23,
friend,noun,5.74,2.57,7.74,1.24,
masturbate,verb,5.67,2.18,5.45,2.02,
option,noun,4.74,2.23,6.49,1.31,
divorce,verb,6.33,2.71,2.22,1.88,
cottage,noun,3.39,2.54,6.45,1.52,
incentive,noun,5.69,2.45,7,1.72,
distressed,adj,6.4,2.38,1.94,1.1,
owl,noun,3.98,1.87,5.8,1.31,
mother,verb,6.13,2.71,8.39,1.15,
dignified,adj,4.12,2.29,7.1,1.26,
nasty,adj,4.89,2.5,3.58,2.38,
letter,verb,4.9,2.37,6.61,1.59,
bliss,noun,4.41,2.95,6.95,2.24,
learn,verb,5.39,2.22,7.15,1.49,
grateful,adj,4.58,2.14,7.37,0.97,
activate,verb,4.86,2.56,5.46,0.98,
miracle,noun,7.65,1.67,8.6,0.71,
allergy,noun,4.64,2.34,3.07,1.64,
sheltered,adj,4.28,1.77,5.75,1.92,
terrific,adj,6.23,2.73,8.16,1.12,
concentrate,verb,4.65,2.13,5.2,1.28,
strong,adj,5.92,2.28,7.11,1.48,
scum,verb,4.88,2.36,2.43,1.56,
reverent,adj,4,1.6,5.35,1.21,
christmas,verb,6.27,2.56,7.8,1.55,
noose,verb,4.39,2.08,3.76,1.64,
lottery,noun,5.36,2.45,6.57,2.04,
pungent,adj,4.24,2.17,3.95,2.09,
punishment,noun,5.93,2.4,2.22,1.41,
patient,noun,4.21,2.37,5.29,1.89,
applause,noun,5.8,2.79,7.5,1.5,
scalding,adj,5.95,2.55,2.82,2.12,
white,verb,4.37,2.14,6.47,1.59,
flirt,verb,6.91,1.69,7.52,1.19,
champ,verb,6,2.43,7.18,1.97,
win,verb,7.72,2.16,8.38,0.92,
thermometer,noun,3.79,2.02,4.73,1.05,
taste,verb,5.22,2.38,6.66,1.57,
comedy,noun,5.85,2.81,8.37,0.94,
powerful,adv,5.83,2.69,6.84,1.8,
rescue,verb,6.53,2.56,7.7,1.24,
menace,verb,5.52,2.45,2.88,1.64,
snake,verb,6.82,2.1,3.31,2.2,
favor,verb,4.54,1.86,6.46,1.52,
vomit,verb,5.75,2.84,2.06,1.57,
lawn,noun,4,1.79,5.24,0.86,
orgasm,noun,8.1,1.45,8.32,1.31,
hat,verb,4.1,2,5.46,1.36,
sour,verb,5.1,1.95,3.93,1.98,
cork,verb,3.8,2.18,5.22,1.13,
person,noun,4.19,2.45,6.32,1.74,
loser,noun,4.95,2.57,2.25,1.48,
lawsuit,noun,4.93,2.44,3.37,2,
addicted,adj,4.81,2.46,2.51,1.42,
soft,adv,4.63,2.61,7.12,1.34,
urine,noun,4.2,2.18,3.25,1.71,
noisy,adj,6.38,1.78,5.02,2.02,
enjoyment,noun,5.2,2.72,7.8,1.2,
mangle,verb,5.44,2.1,3.9,2.01,
lump,verb,4.8,2.82,4.16,2.34,
drown,verb,6.57,2.33,1.92,1.48,
naked,adj,5.8,2.8,6.34,2.42,
lost,noun,5.82,2.62,2.82,1.83,
corrupt,verb,4.67,2.35,3.32,2.32,
insect,noun,4.07,2.46,4.07,2.16,
hammer,verb,4.58,2.02,4.88,1.16,
baby,verb,5.53,2.8,8.22,1.2,
quart,noun,3.59,2.51,5.39,2.01,
invader,noun,5.5,2.4,3.05,2.01,
phase,verb,3.98,1.82,5.17,0.79,
admired,adj,6.11,2.36,7.74,1.84,
habit,verb,3.95,2.11,4.11,1.77,
loneliness,noun,4.56,2.97,1.61,1.02,
stiff,adv,4.02,2.41,4.68,1.97,
column,noun,3.62,1.91,5.17,0.85,
beach,verb,5.53,3.07,8.03,1.59,
spouse,noun,5.21,2.75,7.58,1.48,
arm,verb,3.59,2.4,5.34,1.82,
timid,noun,4.11,2.09,3.86,1.55,
dollar,noun,6.07,2.67,7.47,1.72,
name,verb,4.25,2.47,5.55,2.24,
slave,verb,6.21,2.93,1.84,1.13,
ink,verb,3.84,1.88,5.05,0.81,
execution,noun,5.71,2.74,2.37,2.06,
madman,noun,5.56,2.78,3.91,2.49,
scholar,noun,5.12,2.46,7.26,1.42,
hope,verb,5.44,2.47,7.05,1.96,
weary,verb,3.81,2.29,3.79,2.12,
champion,verb,5.85,3.15,8.44,0.9,
money,noun,5.7,2.66,7.59,1.4,
terrified,adj,7.86,2.27,1.72,1.14,
elbow,verb,3.81,2.14,5.12,0.92,
boy,noun,4.58,2.37,6.32,1.6,
maniac,noun,5.39,2.46,3.76,2,
addict,verb,5.66,2.26,2.48,2.08,
pamphlet,noun,3.62,2.02,4.79,1.05,
health,noun,5.13,2.35,6.81,1.88,
romantic,noun,7.59,2.07,8.32,1,
horse,verb,3.89,2.17,5.89,1.55,
museum,noun,3.6,2.13,5.54,1.86,
tease,verb,5.87,2.56,4.84,2.51,
aggressive,adj,5.83,2.33,5.1,1.68,
foam,verb,5.26,2.54,6.07,2.03,
starving,noun,5.61,2.53,2.39,1.82,
rabbit,verb,4.02,2.19,6.57,1.92,
talent,noun,6.27,1.8,7.56,1.25,
cat,verb,4.38,2.24,5.72,2.43,
bullet,noun,5.33,2.48,3.29,2.06,
street,noun,3.39,1.87,5.22,0.72,
lie,verb,5.96,2.63,2.79,1.92,
thorn,noun,5.14,2.14,3.64,1.76,
crime,noun,5.41,2.69,2.89,2.06,
sapphire,noun,5,2.72,7,1.88,
soothe,verb,4.4,3.08,7.3,1.85,
hand,verb,4.4,2.07,5.95,1.38,
interest,verb,5.66,2.26,6.97,1.53,
tamper,verb,4.95,2.01,4.1,1.88,
vigorous,adj,5.9,2.66,6.79,1.54,
fire,verb,7.17,2.06,3.22,2.06,
pest,noun,5.62,2.15,3.13,1.82,
curious,adj,5.82,1.64,6.08,1.63,
handsome,adj,5.95,2.73,7.93,1.47,
fantasy,verb,5.14,2.82,7.41,1.9,
despairing,adj,5.68,2.37,2.43,1.47,
wagon,noun,3.98,2.04,5.37,0.97,
sentiment,noun,4.41,2.3,5.98,1.71,
carefree,adj,4.17,2.84,7.54,1.38,
dreadful,adj,5.84,2.62,2.26,1.91,
crown,verb,4.28,2.53,6.58,1.42,
patent,verb,3.5,1.84,5.29,1.08,
invest,verb,5.12,2.42,5.93,2.1,
disaster,noun,6.33,2.7,1.73,1.13,
insult,verb,6,2.46,2.29,1.33,
penthouse,noun,5.52,2.49,6.81,1.64,
hurricane,noun,6.83,2.06,3.34,2.12,
tennis,noun,4.61,2.6,6.02,1.97,
unit,noun,3.75,2.49,5.59,1.87,
deserter,noun,5.5,2.55,2.45,1.8,
month,noun,4.03,1.77,5.15,1.09,
hungry,adj,5.13,2.44,3.58,2.01,
elevator,noun,4.16,1.99,5.44,1.18,
joke,verb,6.74,1.84,8.1,1.36,
enraged,adj,7.97,2.17,2.46,1.65,
vest,verb,3.95,2.09,5.25,1.33,
errand,noun,3.85,1.92,4.58,1.74,
knowledge,noun,5.92,2.32,7.58,1.32,
jug,verb,3.88,2.15,5.24,1.65,
criminal,noun,4.79,2.51,2.93,1.66,
python,noun,6.18,2.25,4.05,2.48,
guillotine,verb,6.56,2.54,2.48,2.11,
green,verb,4.28,2.46,6.18,2.05,
dark,noun,4.28,2.21,4.71,2.36,
legend,noun,4.88,1.76,6.39,1.34,
scream,verb,7.04,1.96,3.88,2.07,
glacier,noun,4.24,2.29,5.5,1.25,
cord,verb,3.54,2.09,5.1,1.09,
prison,noun,5.7,2.56,2.05,1.34,
blackmail,verb,6.03,2.7,2.95,1.95,
tree,verb,3.42,2.21,6.32,1.56,
obsession,noun,6.41,2.13,4.52,2.13,
rock,verb,4.52,2.37,5.56,1.38,
radiant,adj,5.39,2.82,6.73,2.17,
flag,verb,4.6,2.35,6.02,1.66,
river,noun,4.51,2.42,6.85,1.69,
ignorance,noun,4.39,2.49,3.07,2.25,
restaurant,noun,5.41,2.55,6.76,1.85,
traitor,noun,5.78,2.47,2.22,1.69,
ecstasy,noun,7.38,1.92,7.98,1.52,
shadow,verb,4.3,2.26,4.35,1.23,
assassin,noun,6.28,2.53,3.09,2.09,
terrible,adj,6.27,2.44,1.93,1.44,
nightmare,noun,7.59,2.23,1.91,1.54,
luxury,noun,4.75,2.91,7.88,1.49,
crutch,noun,4.14,2.05,3.43,1.62,
army,noun,5.03,2.03,4.72,1.75,
needle,verb,5.36,2.89,3.82,1.73,
sunset,noun,4.2,2.99,7.68,1.72,
item,noun,3.24,2.08,5.26,0.86,
seasick,adj,5.8,2.88,2.05,1.2,
beggar,verb,4.91,2.45,3.22,2.02,
burial,noun,5.08,2.4,2.05,1.41,
alert,verb,6.85,2.53,6.2,1.76,
revolt,verb,6.56,2.34,4.13,1.78,
discouraged,adj,4.53,2.11,3,2.16,
rat,verb,4.95,2.36,3.02,1.66,
lantern,noun,4.05,2.28,5.57,1.19,
beauty,noun,4.95,2.57,7.82,1.16,
poster,noun,3.93,2.56,5.34,1.75,
reserved,adj,3.27,2.05,4.88,1.83,
irritate,verb,5.76,2.15,3.11,1.67,
paper,verb,2.5,1.85,5.2,1.21,
sinful,adj,6.29,2.43,2.93,2.15,
dump,verb,4.12,2.36,3.21,1.87,
destruction,noun,5.82,2.71,3.16,2.44,
hardship,noun,4.76,2.55,2.45,1.61,
fat,verb,4.81,2.8,2.28,1.92,
cow,verb,3.49,2.13,5.57,1.53,
kind,noun,4.46,2.55,7.59,1.67,
coast,verb,4.59,2.31,5.98,1.86,
church,verb,4.34,2.45,6.28,2.31,
suffocate,verb,6.03,3.19,1.56,0.96,
stomach,verb,3.93,2.49,4.82,2.06,
dog,verb,5.76,2.5,7.57,1.66,
dress,verb,4.05,1.89,6.41,1.34,
crisis,noun,5.44,3.07,2.74,2.23,
nourish,verb,4.29,2.51,6.46,1.69,
intellect,noun,4.75,2.5,6.82,1.96,
utensil,noun,3.57,1.98,5.14,1.39,
gloom,noun,3.83,2.33,1.88,1.23,
adorable,adj,5.12,2.71,7.81,1.24,
dawn,verb,4.39,2.81,6.16,2.33,
appliance,noun,4.05,2.06,5.1,1.21,
thoughtful,adj,5.72,2.3,7.65,1.03,
heart,noun,6.34,2.25,7.39,1.53,
greet,verb,5.27,2.31,7,1.52,
scorching,adj,5,2.74,3.76,1.83,
voyage,verb,5.55,2.23,6.25,1.91,
stress,verb,7.45,2.38,2.09,1.41,
anxious,adj,6.92,1.81,4.81,1.98,
reunion,noun,6.34,2.35,6.48,2.45,
death,noun,4.59,3.07,1.61,1.4,
laughter,noun,6.75,2.5,8.45,1.08,
surprised,adj,7.47,2.09,7.47,1.56,
tornado,noun,6.83,2.49,2.55,1.78,
freedom,noun,5.52,2.72,7.58,2.04,
plain,adv,3.52,2.05,4.39,1.46,
guilty,adj,6.04,2.76,2.63,1.98,
misery,noun,5.17,2.69,1.93,1.6,
useful,adj,4.26,2.47,7.14,1.6,
shriek,verb,5.36,2.91,3.93,2.22,
nun,noun,2.93,1.8,4.93,1.89,
profit,verb,6.68,1.78,7.63,1.3,
seat,verb,2.95,1.72,4.95,0.98,
save,verb,4.95,2.19,6.45,1.93,
caress,verb,5.14,3,7.84,1.16,
bottle,verb,4.79,2.44,6.15,1.49,
nuisance,noun,4.49,2.69,3.27,1.86,
jelly,verb,3.7,2.29,5.66,1.44,
immoral,adj,4.98,2.48,3.5,2.16,
scorpion,noun,5.38,3.08,3.69,2.63,
market,verb,4.12,1.83,5.66,1.02,
power,verb,6.67,1.87,6.54,2.21,
useless,adj,4.87,2.58,2.13,1.42,
garden,verb,4.39,2.35,6.71,1.74,
luscious,adj,5.34,2.51,7.5,1.08,
ambition,verb,5.61,2.92,7.04,1.98,
blossom,verb,5.03,2.65,7.26,1.18,
trophy,noun,5.39,2.44,7.78,1.22,
secure,verb,3.14,2.47,7.57,1.76,
lake,noun,3.95,2.44,6.82,1.54,
mushroom,verb,4.72,2.33,5.78,2.22,
promotion,noun,6.44,2.58,8.2,1.15,
justice,noun,5.47,2.54,7.78,1.35,
nice,noun,4.38,2.69,6.55,2.44,
excuse,verb,4.48,2.29,4.05,1.41,
festive,adj,6.58,2.29,7.3,2.26,
maggot,noun,5.28,2.96,2.06,1.47,
child,noun,5.55,2.29,7.08,1.98,
wife,noun,4.93,2.22,6.33,1.97,
dreary,adj,2.98,2.18,3.05,1.58,
detached,adj,4.26,2.57,3.86,1.88,
mountain,noun,5.49,2.43,6.59,1.66,
heaven,noun,5.61,3.2,7.3,2.39,
education,noun,5.74,2.46,6.69,1.77,
writer,noun,4.33,2.45,5.52,1.9,
morgue,noun,4.84,2.96,1.92,1.32,
fabric,noun,4.14,1.98,5.3,1.2,
suspicious,adj,6.25,1.59,3.76,1.42,
satisfied,adj,4.94,2.63,7.94,1.19,
bunny,noun,4.06,2.61,7.24,1.32,
vehicle,noun,4.63,2.81,6.27,2.34,
diamond,noun,5.53,2.96,7.92,1.2,
foot,verb,3.27,1.98,5.02,0.93,
messy,adj,3.34,2.37,3.15,1.73,
holiday,verb,6.59,2.73,7.55,2.14,
hawk,verb,4.39,2.29,5.88,1.62,
sex,verb,7.36,1.91,8.05,1.53,
headache,noun,5.07,2.74,2.02,1.06,
spring,verb,5.67,2.51,7.76,1.51,
