word,cat,A_M,A_SD,V_M,V_SD
silk,noun,3.71,2.51,6.9,1.27,
troubled,adj,5.94,2.36,2.17,1.21,
cook,verb,4.44,1.96,6.16,1.89,
confident,adj,6.22,2.41,7.98,1.29,
termite,noun,5.39,2.43,3.58,2.08,
muffin,noun,4.76,2.42,6.57,2.04,
ocean,noun,4.95,2.79,7.12,1.72,
carcass,noun,4.83,2.07,3.34,1.92,
warmth,noun,3.73,2.4,7.41,1.81,
killer,noun,7.86,1.89,1.89,1.39,
revolver,noun,5.55,2.39,4.02,2.44,
bride,noun,5.55,2.74,7.34,1.71,
lamp,noun,3.8,2.12,5.41,1,
event,noun,5.1,2.4,6.21,1.63,
dentist,noun,5.73,2.13,4.02,2.23,
slum,verb,4.78,2.52,2.39,1.25,
trumpet,verb,4.97,2.13,5.75,1.38,
passion,noun,7.26,2.57,8.03,1.27,
respect,verb,5.19,2.39,7.64,1.29,
waterfall,noun,5.37,2.84,7.88,1.03,
cake,verb,5,2.37,7.26,1.27,
dummy,verb,4.35,2.25,3.38,1.7,
sissy,noun,5.17,2.57,3.14,1.96,
trash,verb,4.16,2.16,2.67,1.45,
frustrated,adj,5.61,2.76,2.48,1.64,
butter,verb,3.17,1.84,5.33,1.2,
slap,adv,6.46,2.58,2.95,1.79,
bright,adv,5.4,2.33,7.5,1.55,
fatigued,adj,2.64,2.19,3.28,1.43,
fascinate,verb,5.83,2.73,7.34,1.68,
mistake,verb,5.18,2.42,2.86,1.79,
couple,verb,6.39,2.31,7.41,1.97,
dirty,verb,4.88,2.29,3.08,2.05,
scorn,verb,5.48,2.52,2.84,2.07,
answer,verb,5.41,2.43,6.63,1.68,
gangrene,verb,5.7,2.96,2.28,1.91,
book,verb,4.17,2.49,5.72,1.54,
vagina,noun,5.55,2.55,6.14,1.77,
privacy,noun,4.12,1.83,5.88,1.5,
kitten,verb,5.08,2.45,6.86,2.13,
slush,verb,3.73,2.23,4.66,1.88,
adult,noun,4.76,1.95,6.49,1.5,
war,verb,7.49,2.16,2.08,1.91,
sunrise,noun,5.06,3.05,7.86,1.35,
scornful,adj,5.04,2.56,3.02,2.03,
scapegoat,noun,4.53,2.13,3.67,1.65,
sun,verb,5.04,2.66,7.55,1.85,
FALSE,adv,3.43,2.09,3.27,1.4,
statue,noun,3.46,1.72,5.17,0.7,
capable,adj,5.08,2.07,7.16,1.39,
absurd,noun,4.36,2.2,4.26,1.82,
flabby,adj,4.82,2.81,2.66,1.87,
industry,noun,4.47,2.43,5.3,1.61,
palace,noun,5.1,2.75,7.19,1.78,
beverage,noun,5.21,2.46,6.83,1.48,
dancer,noun,6,2.2,7.14,1.56,
present,verb,5.12,2.39,6.95,1.85,
famous,adj,5.73,2.68,6.98,2.07,
cash,verb,7.37,2.21,8.37,1,
scared,adj,6.82,2.03,2.78,1.99,
illness,noun,4.71,2.24,2.48,1.4,
wedding,noun,5.97,2.85,7.82,1.56,
bed,verb,3.61,2.56,7.51,1.38,
dustpan,noun,3.43,2,3.98,1.68,
silly,noun,5.88,2.38,7.41,1.8,
rage,verb,8.17,1.4,2.41,1.86,
hydrant,noun,3.71,1.75,5.02,0.93,
autumn,noun,4.51,2.5,6.3,2.14,
art,noun,4.86,2.88,6.68,2.1,
paralysis,noun,4.73,2.83,1.98,1.44,
lust,verb,6.88,1.85,7.12,1.62,
achievement,noun,5.53,2.81,7.89,1.38,
gift,verb,6.14,2.76,7.77,2.24,
coward,noun,4.07,2.19,2.74,1.64,
bench,verb,3.59,2.07,4.61,1.4,
gold,noun,5.76,2.79,7.54,1.63,
whistle,verb,4.69,1.99,5.81,1.21,
idiot,noun,4.21,2.47,3.16,1.91,
anger,verb,7.63,1.91,2.34,1.32,
slime,verb,5.36,2.63,2.68,1.66,
peace,noun,2.95,2.55,7.72,1.75,
locker,noun,3.38,2.13,5.19,1.31,
idol,noun,4.95,2.14,6.12,1.86,
quality,noun,4.48,2.12,6.25,1.59,
frigid,adj,4.75,2.56,3.5,1.85,
chair,verb,3.15,1.77,5.08,0.98,
village,noun,4.08,1.87,5.92,1.34,
pleasure,noun,5.74,2.81,8.28,0.92,
corpse,noun,4.74,2.94,2.18,1.48,
trauma,noun,6.33,2.45,2.1,1.49,
color,verb,4.73,2.64,7.02,1.57,
tank,verb,4.88,1.86,5.16,1.87,
dazzle,verb,6.33,2.02,7.29,1.09,
watch,verb,4.1,2.12,5.78,1.51,
alcoholic,noun,5.69,2.36,2.84,2.34,
blue,verb,4.31,2.2,6.76,1.78,
adventure,verb,6.98,2.15,7.6,1.5,
rifle,verb,6.35,2.04,4.02,2.76,
paradise,noun,5.12,3.38,8.72,0.6,
handicap,verb,3.81,2.27,3.29,1.69,
lighthouse,noun,4.41,2.44,5.89,2.08,
bathroom,noun,3.88,1.72,5.55,1.36,
pride,verb,5.83,2.48,7,2.11,
skeptical,adj,4.91,1.92,4.52,1.63,
robber,noun,5.62,2.72,2.61,1.69,
arrogant,adj,5.65,2.23,3.69,2.4,
