word,cat,A_M,A_SD,V_M,V_SD
create,verb,7.17,2.06,3.22,2.06,
companionate,adj,5.11,2.96,8.43,1.08,
exhilarated,adj,6.21,2.3,7.45,1.77,
overcurious,adj,5.82,1.64,6.08,1.63,
tantalize,verb,5.57,2.8,7.41,1.92,
prepupal,adj,4.15,1.96,3.39,1.7,
shenanigan,noun,5.76,1.95,5.57,2.05,
clumsy person,noun,4.8,2.82,4.16,2.34,
curst,adj,5.82,2.62,2.82,1.83,
business,noun,4.08,1.92,5.24,1.59,
shy,adj,4.11,2.09,3.86,1.55,
assault,verb,6.83,2.7,1.8,1.23,
Word,noun,4.17,2.49,5.72,1.54,
phallus,noun,4.33,1.78,5.19,1.27,
sporting lady,noun,5.85,2.93,2.3,2.11,
humor,noun,4.82,2.06,2.86,1.91,
toilsome,adj,5.12,2.19,5.22,1.82,
frightening,adj,6.27,2.44,1.93,1.44,
unuseable,adj,4.87,2.58,2.13,1.42,
manage,verb,5,2.32,3.64,2.08,
dejected,adj,4.72,2.95,1.83,1.42,
pull in,verb,6.68,1.78,7.63,1.3,
undertaking,noun,4.37,2.32,6.85,1.71,
civil rights activist,noun,5.51,2.77,7.26,1.67,
restrained,adj,3.27,2.05,4.88,1.83,
somebody,noun,4.61,2.24,5.39,1.8,
nettle,verb,6.07,2.61,2.21,1.99,
chivy,verb,6.47,2.47,2.23,1.72,
cry,noun,3.17,2.23,7.27,1.36,
pseud,noun,5.75,2.45,2.67,1.66,
bimetallic,adj,3.79,1.96,4.95,1.17,
wittiness,noun,6.74,1.84,8.1,1.36,
utter,verb,7.04,1.96,3.88,2.07,
malodorous,adj,4.93,2.23,2.81,1.52,
hard,adj,4.63,2.61,7.12,1.34,
hoo-hah,noun,5.71,2.34,4.95,2.22,
found,adj,5.82,2.62,2.82,1.83,
baffling,adj,5.12,2.19,5.22,1.82,
dawdle,verb,4.7,2.48,4.09,2.21,
sweat,noun,6.84,2.06,7.13,1.58,
long-play,adj,3.39,2.22,3.93,1.6,
slayer,noun,7.47,2.18,1.53,0.96,
emboldened,adj,5.6,2.21,6.8,1.61,
idiotic,adj,4.72,2.71,2.31,1.37,
superior,adj,5.5,2.66,6.88,1.93,
dry,adj,3.52,2.05,4.39,1.46,
perforate,adj,5,2.32,3.64,2.08,
sickly,adj,4.29,2.45,1.9,1.14,
planetary house,noun,6.42,2.83,1.5,0.85,
lidless,adj,6.85,2.53,6.2,1.76,
persnickety,adj,5.56,3.01,8.03,1.56,
spicery,noun,5.59,2.66,6.79,2.04,
recoil,verb,4.9,2.35,4.31,2.18,
run through,verb,6.22,1.91,2.73,1.72,
subdued,adj,4.63,2.61,7.12,1.34,
unprotected,adj,5.56,2.34,2.36,1.33,
hotshot,noun,5.83,2.44,7.27,1.66,
bureau,noun,5.03,2.03,4.72,1.75,
retire,verb,3.61,2.56,7.51,1.38,
shooter,noun,7.02,1.84,3.47,2.48,
banker's bill,noun,6.07,2.67,7.47,1.72,
rally,verb,5.87,2.56,4.84,2.51,
unusual,adj,4.27,2.46,4.82,2.04,
suit of armor,noun,5.63,2.36,6.88,1.74,
subversive,adj,6.56,2.21,1.93,1.61,
dun,verb,5.87,2.56,4.84,2.51,
whiten,verb,4.61,2.24,5.39,1.8,
unanimated,adj,5.5,2.74,7.25,2.22,
imitative,adj,3.43,2.09,3.27,1.4,
difficulty,noun,4.76,2.55,2.45,1.61,
trim,adj,3.98,2.22,6.3,1.56,
available,adj,5.15,3.04,8.26,1.31,
get ahead,verb,5.73,2.09,4.33,2.35,
faithful,adj,6.2,2.7,2.05,1.55,
mock,verb,5.83,2.73,3.13,2.24,
gregarious,adj,4.98,2.59,6.88,1.82,
wondrous,adj,6.23,2.73,8.16,1.12,
gonad,noun,3.76,2.39,5.29,1.82,
unproblematic,adj,4.48,2.82,7.1,1.91,
bodied,adj,4.05,2.34,5.26,1.29,
beset,verb,5.36,2.89,3.82,1.73,
whore,noun,4.93,2.82,3.34,2.31,
kindle,verb,5.85,2.49,1.9,1.26,
uninteresting,adj,3.39,2.22,3.93,1.6,
tame,adj,2.82,2.13,5.58,1.83,
ill-favored,adj,5.38,2.23,2.43,1.27,
fag out,verb,3.81,2.29,3.79,2.12,
situation,noun,3.15,1.77,5.08,0.98,
jump,verb,5.67,2.51,7.76,1.51,
cushiony,adj,4.63,2.61,7.12,1.34,
knock-down-and-drag-out,adj,6.89,2.47,2.29,1.78,
unmanlike,adj,5.17,2.57,3.14,1.96,
stupefied,adj,7.47,2.09,7.47,1.56,
be intimate,verb,6.44,3.35,8.72,0.7,
unhurt,adj,3.86,2.72,7.07,1.9,
teenage,adj,4.15,1.96,3.39,1.7,
unhurried,adj,4.21,2.37,5.29,1.89,
touch,verb,4.73,2.64,7.02,1.57,
impede,verb,4.93,2.23,2.81,1.52,
trouble,verb,6.85,2.03,3.03,2.09,
baffle,verb,4.92,2.64,2.39,1.44,
fancy up,verb,4.05,1.89,6.41,1.34,
at sea,adj,5.82,2.62,2.82,1.83,
redeeming,adj,5.43,2.85,7.47,1.45,
take place,verb,4.7,2.48,4.09,2.21,
fancy,adj,5.36,2.37,4.39,1.63,
computer hardware,noun,5.42,2.25,6.62,1.5,
habiliment,noun,4.05,1.89,6.41,1.34,
melancholy,adj,4.13,2.38,1.61,0.95,
man,noun,5.32,2.39,6.5,2.03,
Venus's curse,noun,5.69,3.25,1.68,1.23,
initiate,verb,4.86,2.56,5.46,0.98,
parcel,noun,4.08,2.41,6.2,1.37,
gravel,verb,6.49,2.17,2.74,1.81,
garbage,noun,4.16,2.16,2.67,1.45,
ill-natured,adj,4.28,2.21,4.71,2.36,
advisable,adj,3.91,2.64,7.52,1.23,
uneasy,adj,5.94,2.36,2.17,1.21,
Redeemer,noun,5.8,3.01,7.73,1.56,
laugh,noun,6.39,2.63,2.96,1.93,
repelling,adj,6.09,2.44,2.96,2.37,
bubbling,adj,5.53,2.9,7.2,1.97,
ambiance,noun,5.56,2.62,7,1.32,
quietness,noun,2.95,2.55,7.72,1.75,
depraved,adj,4.67,2.35,3.32,2.32,
clutch,verb,4.4,2.67,7.72,1.92,
tired,adj,2.64,2.19,3.28,1.43,
kick the bucket,verb,4.7,2.48,4.09,2.21,
coruscant,adj,5.4,2.33,7.5,1.55,
poke fun,verb,5.87,2.56,4.84,2.51,
commonwealth,noun,6.67,1.87,6.54,2.21,
dilate,verb,4.1,2.24,5.55,1.58,
satiny,adj,4.91,2.57,6.58,1.78,
son of a bitch,noun,6.07,2.15,3.36,2.16,
choleric,adj,7.17,2.07,2.85,1.7,
fictitious place,noun,5.38,2.62,2.24,1.62,
inborn reflex,noun,5.75,2.84,2.06,1.57,
impart,verb,5.67,2.51,7.76,1.51,
pursue,verb,5.76,2.5,7.57,1.66,
offend,verb,3.74,2.33,5.86,1.42,
clangorous,adj,6.38,1.78,5.02,2.02,
sleep out,verb,2.8,2.66,7.2,1.77,
touch on,verb,5.66,2.26,6.97,1.53,
honorable,adj,4.49,2.28,6.2,1.85,
supperless,adj,5.13,2.44,3.58,2.01,
odour,noun,5.46,2.47,7.02,1.84,
locomote,verb,6.02,2.58,7.73,1.34,
innate reflex,noun,5.44,2.68,6.93,1.83,
fine-looking,adj,6.17,2.34,7.6,1.64,
swash,verb,3.73,2.23,4.66,1.88,
disenchant,verb,5.44,2.88,8.26,1.04,
zaftig,adj,4.81,2.8,2.28,1.92,
marrow,noun,6.34,2.25,7.39,1.53,
stir,verb,5,2.53,6.97,1.91,
fright,noun,8.02,1.65,8.05,1.48,
compassionate,adj,4.5,1.91,6.89,1.7,
study,adj,4.5,1.91,6.89,1.7,
improve,verb,5.86,2.7,5.2,2.54,
fit out,verb,3.95,2.11,4.11,1.77,
star,noun,5.5,2.66,6.88,1.93,
period of time,noun,5.03,2.65,7.26,1.18,
go forth,verb,3.82,2.24,5.11,1.78,
blockheaded,adj,4.72,2.71,2.31,1.37,
intractable,adj,6.1,2.51,4.26,2.12,
New York minute,noun,5.44,2.68,6.93,1.83,
treat,verb,5.53,2.8,8.22,1.2,
excretion,noun,4,2.14,4.56,1.72,
seek,verb,5.38,2.58,6.02,1.77,
usable,adj,4.26,2.47,7.14,1.6,
hatful,noun,6,2.02,3.19,1.66,
go by,verb,6.21,2.51,7.1,2,
artless,adj,5.32,1.92,7.7,1.43,
strong,adj,5.83,2.69,6.84,1.8,
sustenance,noun,3.68,2.57,5.95,2.16,
modest,adj,3.74,2.33,5.86,1.42,
guitar player,noun,5.51,2.77,7.26,1.67,
neat,adj,5.43,2.85,7.47,1.45,
foolish,adj,4.36,2.2,4.26,1.82,
tyke,noun,5.55,2.29,7.08,1.98,
minify,verb,5,2.32,3.64,2.08,
remand,verb,5.49,2.67,1.95,1.27,
alarmed,adj,6.67,2.54,2,1.28,
philia,noun,5.19,2.39,7.64,1.29,
rafts,noun,5.49,2.43,6.59,1.66,
faeces,noun,3.76,2.26,4.17,1.77,
natter,verb,5.74,2.38,3.48,2.33,
real,adj,4,1.87,5.08,1.59,
glass,noun,4.16,2.16,2.67,1.45,
filch,verb,4.59,2.1,3.83,1.7,
roiled,adj,5.64,2.48,2.79,2.23,
powerful,adj,4.02,2.41,4.68,1.97,
loyal,adj,5.16,2.42,7.55,1.9,
cause,noun,4.19,2.45,6.32,1.74,
terminate,verb,7.17,2.06,3.22,2.06,
knowledge domain,noun,4.08,2.41,6.2,1.37,
mortal,noun,3.95,1.97,5.05,1.34,
foul,adj,4.88,2.29,3.08,2.05,
mythical place,noun,5.38,2.62,2.24,1.62,
openhearted,adj,4.46,2.55,7.59,1.67,
straight,adj,4.67,2.35,3.32,2.32,
clean,verb,3.98,2.29,3.37,1.34,
line,noun,5.86,1.81,7,1.34,
soft,adj,2.82,2.13,5.58,1.83,
revelry,noun,6.39,2.63,2.96,1.93,
chat,noun,5.74,2.38,3.48,2.33,
hour,noun,4.7,2.48,4.09,2.21,
revolting,adj,4.93,2.23,2.81,1.52,
apparel,verb,4.49,2.5,6.07,1.61,
businessman,noun,6.67,1.87,6.54,2.21,
lessen,verb,5,2.32,3.64,2.08,
comfort,verb,2.82,2.13,5.58,1.83,
gritty,adj,4.21,1.84,4.55,1.42,
evoke,verb,5.86,2.4,2,1.18,
unwellness,noun,5.13,2.35,6.81,1.88,
compound,adj,4.91,2.57,6.58,1.78,
musing,adj,5.72,2.3,7.65,1.03,
track,verb,3.42,2.21,6.32,1.56,
cut out,verb,5,2.32,3.64,2.08,
unredeemable,adj,6.09,2.44,2.96,2.37,
hand over,verb,4.4,2.07,5.95,1.38,
cut off,verb,5,2.32,3.64,2.08,
squashy,adj,4.13,2.13,4.44,2.07,
slave,adj,5.15,3.04,8.26,1.31,
green-blind,adj,4.39,2.36,3.05,1.99,
give,verb,4.84,2.04,6.08,2.08,
ubiquitous,adj,5.12,2.39,6.95,1.85,
noncontinuous,adj,5.43,2.42,3.05,1.92,
throw out,verb,4.14,2.3,2.93,1.76,
elegant,adj,4.12,2.29,7.1,1.26,
Rohypnol,noun,3.86,2.13,5.67,1.26,
Cimmerian,adj,4.28,2.21,4.71,2.36,
grim,adj,2.98,2.18,3.05,1.58,
sleazy,adj,3.83,2.05,3.07,1.57,
crenulate,adj,5.33,2.04,4.74,2,
move,noun,6.02,2.58,7.73,1.34,
blue-eyed,adj,6.38,2.68,8.64,0.71,
talk,verb,3.47,2.39,7.17,1.2,
exsanguine,adj,5.73,2.73,1.94,1.76,
retch,verb,4.29,2.45,1.9,1.14,
dayspring,noun,5.06,3.05,7.86,1.35,
guile,noun,5.75,2.45,2.67,1.66,
supernatural being,noun,6.07,2.61,2.21,1.99,
outclassed,adj,3.83,2.05,3.07,1.57,
fundament,noun,2.95,1.72,4.95,0.98,
fissure,noun,4.07,1.69,3.43,1.38,
ketamine hydrochloride,noun,4.28,2.46,6.18,2.05,
sandy,adj,5.07,2.7,6.43,2.04,
simpleton,noun,4.72,2.71,2.31,1.37,
hard-hitting,adj,5.83,2.33,5.1,1.68,
abide,verb,3.93,2.49,4.82,2.06,
equanimity,noun,2.82,2.13,5.58,1.83,
crimson,adj,6.41,2,2.9,1.98,
get off,verb,3.36,2.12,4.82,1.23,
jollify,verb,6.39,2.63,2.96,1.93,
edible,adj,4.88,2.3,6.93,1.28,
dingy,adj,4.88,2.29,3.08,2.05,
beguiler,noun,5.78,2.47,2.22,1.69,
put off,verb,2.92,2.16,5.22,0.72,
shape,noun,4.19,2.45,6.32,1.74,
hooked,adj,4.81,2.46,2.51,1.42,
irreverent,adj,4,1.6,5.35,1.21,
expend,verb,5.69,2.51,7.47,1.73,
vitiate,verb,4.67,2.35,3.32,2.32,
tell apart,verb,7.36,1.91,8.05,1.53,
alter,verb,4.81,2.8,2.28,1.92,
superfatted,adj,4.81,2.8,2.28,1.92,
break,verb,5.78,2.21,2.8,1.67,
bullocky,adj,5.92,2.28,7.11,1.48,
soul,noun,6.11,2.65,8.29,0.93,
intoxicate,verb,8.02,1.65,8.05,1.48,
acid,adj,5.1,1.95,3.93,1.98,
quarter day,noun,6.27,2.56,7.8,1.55,
MDMA,noun,7.38,1.92,7.98,1.52,
dark,adj,6.39,2.44,3.23,2.64,
scream,verb,5.36,2.91,3.93,2.22,
hypochondriacal,adj,5.13,2.76,4.45,2.23,
watcher,noun,4.1,2.12,5.78,1.51,
malefactor,noun,4.76,2.4,5.67,1.91,
small indefinite amount,noun,4.59,2.1,3.83,1.7,
discontent,adj,4.18,2.5,1.57,0.96,
take,verb,6.35,2.04,4.02,2.76,
shielded,adj,4.09,2.77,7.29,1.79,
sense impression,noun,5.22,2.38,6.66,1.57,
matter,noun,5.36,2.63,2.68,1.66,
roguery,noun,5.38,2.62,2.24,1.62,
mettlesome,adj,6.15,2.45,7.15,1.64,
thespian,noun,4.07,2.19,2.74,1.64,
muzzy,adj,6.03,1.88,3.21,1.51,
acquitted,adj,4.21,1.99,6.51,1.34,
horrendous,adj,6.33,2.28,2.25,1.18,
fail-safe,adj,3.14,2.47,7.57,1.76,
high-toned,adj,4.53,2.65,7.43,1.26,
insane,adj,4.29,2.45,1.9,1.14,
lawful,adj,3.18,1.76,4.74,1.02,
stag,verb,7.24,2.06,1.68,1.02,
push,verb,7.15,2.19,3.76,2.63,
poove,noun,4.76,2.18,6.44,1.43,
yell,noun,5.36,2.91,3.93,2.22,
rummy,noun,5.69,2.36,2.84,2.34,
bats,adj,5.83,2.45,2.85,1.94,
tea cozie,noun,3.32,2.28,7.39,1.53,
do it,verb,3.61,2.56,7.51,1.38,
steely,adj,5.12,2.19,5.22,1.82,
suss out,verb,4.1,2.12,5.78,1.51,
machine,noun,3.98,2.04,5.37,0.97,
relation,noun,7,2.07,7.36,1.57,
negroid,adj,4.61,2.24,5.39,1.8,
habilitate,verb,3.95,2.09,5.25,1.33,
flirtatious,adj,7.36,1.91,8.02,1.12,
deprave,verb,6.26,2.61,2.79,2.12,
cast aside,verb,4.16,2.16,2.67,1.45,
cook up,verb,4.44,1.96,6.16,1.89,
lowlife,noun,4.95,2.36,3.02,1.66,
regard,verb,5.19,2.39,7.64,1.29,
blow,verb,5.78,2.6,7.8,1.83,
set on,verb,6.83,2.26,3.52,2.12,
