word,cat,A_M,A_SD,V_M,V_SD
passenger vehicle,noun,3.55,1.8,4.51,1.57,
flick,noun,4.93,2.54,6.86,1.81,
divulge,verb,7.24,2.06,1.68,1.02,
bear upon,verb,6.85,2.03,3.03,2.09,
line of descent,noun,4.8,2.71,7.65,1.55,
voice communication,noun,5.16,2.25,6.77,1.58,
high-strung,adj,6.53,2.1,3.56,1.36,
nauseate,verb,6.83,2.26,3.52,2.12,
guide,verb,3.42,2.21,6.32,1.56,
unknot,verb,4.07,2.15,4.64,1.36,
plain,verb,5,2.19,3.14,1.56,
aliment,noun,5.62,2.25,7.36,1.38,
gambol,noun,6.91,1.69,7.52,1.19,
husband,noun,4.93,2.22,6.33,1.97,
calm,verb,3.21,2.57,7.31,1.3,
expire,verb,6.03,3.19,1.56,0.96,
pissed,adj,4.02,2.41,4.68,1.97,
conflict,noun,6.29,2.56,2.93,2.06,
fascinate,verb,5.16,2.25,6.77,1.58,
foreclose,verb,4.12,2.01,3.81,1.42,
side,noun,4.7,2.48,4.09,2.21,
hotness,noun,5.19,2.23,4.02,1.99,
accelerate,verb,3.39,2.22,3.93,1.6,
ornamentation,noun,4.17,2.02,4.61,1.63,
custom-built,adj,4.66,2.12,5.85,1.53,
chargeable,adj,6.04,2.76,2.63,1.98,
ruby,adj,5.29,2.04,6.41,1.61,
sunrise,noun,4.39,2.81,6.16,2.33,
exponent,noun,5.85,3.15,8.44,0.9,
bring up,verb,4.05,2.59,7.19,1.69,
fast,adj,4.98,2.48,3.5,2.16,
potent,adj,4.57,2.59,2.81,1.92,
poisonous,adj,6.4,2.41,2.1,1.48,
sorry,adj,4.69,1.98,5.53,1.86,
breach,verb,5.78,2.21,2.8,1.67,
nice,adj,4.89,2.5,3.58,2.38,
lettuce,noun,5.64,2.18,6.74,1.73,
nonalcoholic,adj,5.69,2.36,2.84,2.34,
pick apart,verb,7.51,2.28,2.03,1.55,
skunk,noun,4.14,2.11,6.12,1.44,
St. Bride,noun,5.55,2.74,7.34,1.71,
unpatriotic,adj,5.16,2.42,7.55,1.9,
excrement,noun,4.97,2.49,6.61,1.78,
head-on,adj,6.44,2.28,2.73,1.5,
bore,verb,5.66,2.26,6.97,1.53,
turn over,verb,5.15,3.04,8.26,1.31,
spousal equivalent,noun,5.21,2.75,7.58,1.48,
ice,noun,4.27,2.07,4.75,1.38,
egocentric,adj,5.5,2.62,2.42,1.62,
generous,adj,5.95,2.73,7.93,1.47,
cool,adj,5.19,2.23,4.02,1.99,
rise,verb,4.7,2.48,4.09,2.21,
fall out,verb,4.7,2.48,4.09,2.21,
foot lever,noun,7.02,1.84,3.47,2.48,
egest,verb,4,2.14,4.56,1.72,
cut back,verb,4.59,2.1,3.83,1.7,
reduce,verb,4.65,2.13,5.2,1.28,
craven,adj,6.33,2.28,2.25,1.18,
solid,adj,5.12,2.19,5.22,1.82,
duo,noun,6.39,2.31,7.41,1.97,
odor,noun,4.36,2.46,2.19,1.37,
quiet,adj,3.89,2.54,7.62,1.41,
bleak,adj,5.19,2.23,4.02,1.99,
tike,noun,5.88,2.38,7.41,1.8,
young lady,noun,3.17,2.23,7.27,1.36,
block,verb,6.03,3.19,1.56,0.96,
charm,verb,5.83,2.73,7.34,1.68,
mantrap,noun,5.5,2.73,8.42,0.83,
prophylactic device,noun,3.86,2.72,7.07,1.9,
contain,verb,3.86,2.13,5.67,1.26,
bullate,adj,5.33,2.04,4.74,2,
cheerful,adj,6.49,2.77,8.21,1.82,
excitant,noun,4.38,2.24,5.72,2.43,
