word,cat,A_M,A_SD,V_M,V_SD
occlude,verb,4.93,2.23,2.81,1.52,
bring in,verb,6.68,1.78,7.63,1.3,
sinister,adj,6.39,2.44,3.23,2.64,
fulgid,adj,5.4,2.33,7.5,1.55,
bilk,verb,4.92,2.64,2.39,1.44,
ascent,noun,4.7,2.48,4.09,2.21,
disesteem,verb,5.19,2.39,7.64,1.29,
tolerant,adj,4.21,2.37,5.29,1.89,
ride,verb,5.87,2.56,4.84,2.51,
bod,noun,4.19,2.45,6.32,1.74,
zoftig,adj,4.81,2.8,2.28,1.92,
slicker,noun,5.78,2.47,2.22,1.69,
misbehavior,noun,5.76,1.95,5.57,2.05,
hysteric,adj,5.13,2.76,4.45,2.23,
effortful,adj,5.12,2.19,5.22,1.82,
thunderstruck,adj,7.47,2.09,7.47,1.56,
horrendous,adj,6.27,2.44,1.93,1.44,
ill,adj,6.44,2.28,2.73,1.5,
proud,adj,3.74,2.33,5.86,1.42,
woolly,adj,6.03,1.88,3.21,1.51,
unagitated,adj,2.82,2.13,5.58,1.83,
be intimate,verb,3.61,2.56,7.51,1.38,
frustrate,verb,5.87,2.56,4.84,2.51,
plague,verb,5.36,2.89,3.82,1.73,
not guilty,adj,4.21,1.99,6.51,1.34,
nordic,adj,5.07,2.7,6.43,2.04,
indictable,adj,6.04,2.76,2.63,1.98,
sense datum,noun,5.22,2.38,6.66,1.57,
unravel,verb,4.07,2.15,4.64,1.36,
knowledge base,noun,4.08,2.41,6.2,1.37,
acidulent,adj,5.1,1.95,3.93,1.98,
swampy,adj,4.13,2.13,4.44,2.07,
bailiwick,adj,4.5,1.91,6.89,1.7,
office,noun,5.03,2.03,4.72,1.75,
difficult,adj,5.12,2.19,5.22,1.82,
bumpy,adj,5.33,2.04,4.74,2,
algophobic,adj,6.67,2.54,2,1.28,
oral communication,noun,5.16,2.25,6.77,1.58,
deprave,verb,5.85,2.93,2.3,2.11,
unconcerned,adj,3.89,2.54,7.62,1.41,
reverberate,verb,4.9,2.35,4.31,2.18,
utilitarian,adj,4.26,2.47,7.14,1.6,
gravel,verb,6.07,2.61,2.21,1.99,
red,adj,6.41,2,2.9,1.98,
cast out,verb,4.14,2.3,2.93,1.76,
man of affairs,noun,6.67,1.87,6.54,2.21,
dispose,verb,4.16,2.16,2.67,1.45,
exsanguinous,adj,5.73,2.73,1.94,1.76,
attack,verb,6.83,2.26,3.52,2.12,
boneheaded,adj,4.72,2.71,2.31,1.37,
sot,noun,5.69,2.36,2.84,2.34,
incorporeal,adj,4.05,2.34,5.26,1.29,
comradely,adj,5.11,2.96,8.43,1.08,
undignified,adj,4.12,2.29,7.1,1.26,
vulnerable,adj,5.56,2.34,2.36,1.33,
mutinous,adj,6.56,2.21,1.93,1.61,
thoughtful,adj,4,1.87,5.08,1.59,
res publica,noun,6.67,1.87,6.54,2.21,
Heaven,noun,5.38,2.62,2.24,1.62,
motorcar,noun,3.98,2.04,5.37,0.97,
aliment,noun,3.68,2.57,5.95,2.16,
abbess,noun,5.55,2.74,7.34,1.71,
skanky,adj,4.93,2.23,2.81,1.52,
preclude,verb,4.12,2.01,3.81,1.42,
tinny,adj,3.83,2.05,3.07,1.57,
chivvy,verb,6.47,2.47,2.23,1.72,
amend,verb,5.86,2.7,5.2,2.54,
strung-out,adj,4.81,2.46,2.51,1.42,
unwell,adj,4.29,2.45,1.9,1.14,
follow,verb,5.76,2.5,7.57,1.66,
immoral,adj,4.67,2.35,3.32,2.32,
cash in one's chips,verb,4.7,2.48,4.09,2.21,
excreta,noun,4,2.14,4.56,1.72,
jest,noun,6.39,2.63,2.96,1.93,
effervescent,adj,5.53,2.9,7.2,1.97,
sound off,verb,5,2.19,3.14,1.56,
sleepless,adj,6.85,2.53,6.2,1.76,
sorry,adj,2.98,2.18,3.05,1.58,
self-centered,adj,5.5,2.62,2.42,1.62,
ambience,noun,5.56,2.62,7,1.32,
ascend,verb,4.7,2.48,4.09,2.21,
malodourous,adj,4.93,2.23,2.81,1.52,
fry,noun,5.55,2.29,7.08,1.98,
heap,noun,6,2.02,3.19,1.66,
difficultness,noun,4.76,2.55,2.45,1.61,
duet,noun,6.39,2.31,7.41,1.97,
toxicant,adj,6.4,2.41,2.1,1.48,
scissure,noun,4.07,1.69,3.43,1.38,
ice,noun,4.16,2.16,2.67,1.45,
Ketalar,noun,4.28,2.46,6.18,2.05,
speak,verb,3.47,2.39,7.17,1.2,
hindquarters,noun,2.95,1.72,4.95,0.98,
Deliverer,noun,5.8,3.01,7.73,1.56,
go away,verb,3.82,2.24,5.11,1.78,
BM,noun,3.76,2.26,4.17,1.77,
honourable,adj,4.49,2.28,6.2,1.85,
ruby-red,adj,5.29,2.04,6.41,1.61,
bad,adj,4.69,1.98,5.53,1.86,
expand,verb,5,2.32,3.64,2.08,
cloth covering,noun,3.32,2.28,7.39,1.53,
melancholic,adj,4.13,2.38,1.61,0.95,
wile,noun,5.75,2.45,2.67,1.66,
jaw,verb,5.74,2.38,3.48,2.33,
made-to-order,adj,4.66,2.12,5.85,1.53,
sociable,adj,4.98,2.59,6.88,1.82,
highly strung,adj,6.53,2.1,3.56,1.36,
pubescent,adj,4.15,1.96,3.39,1.7,
outcry,noun,3.17,2.23,7.27,1.36,
descent,noun,4.8,2.71,7.65,1.55,
tantalise,verb,5.57,2.8,7.41,1.92,
have intercourse,verb,6.44,3.35,8.72,0.7,
gain ground,verb,5.73,2.09,4.33,2.35,
bottlefeed,verb,4.84,2.04,6.08,2.08,
young woman,noun,3.17,2.23,7.27,1.36,
murderer,noun,7.02,1.84,3.47,2.48,
on hand,adj,5.12,2.39,6.95,1.85,
check over,verb,4.1,2.12,5.78,1.51,
fag,verb,3.81,2.29,3.79,2.12,
contented,adj,6.49,2.77,8.21,1.82,
comestible,adj,4.88,2.3,6.93,1.28,
bemock,verb,5.83,2.73,3.13,2.24,
foolhardy,adj,5.6,2.21,6.8,1.61,
scent,noun,5.46,2.47,7.02,1.84,
inborn reflex,noun,5.44,2.68,6.93,1.83,
fictitious place,noun,5.38,2.62,2.24,1.62,
impart,verb,7.24,2.06,1.68,1.02,
moronic,adj,4.72,2.71,2.31,1.37,
undemonstrative,adj,3.27,2.05,4.88,1.83,
ineffective,adj,4.87,2.58,2.13,1.42,
uncommitted,adj,5.15,3.04,8.26,1.31,
afraid,adj,4.11,2.09,3.86,1.55,
inform,verb,7.24,2.06,1.68,1.02,
odour,noun,4.36,2.46,2.19,1.37,
holler,verb,5.36,2.91,3.93,2.22,
misdirect,verb,6.26,2.61,2.79,2.12,
crepuscular,adj,4.28,2.21,4.71,2.36,
knotty,adj,5.12,2.19,5.22,1.82,
harmless,adj,3.86,2.72,7.07,1.9,
spouse equivalent,noun,5.21,2.75,7.58,1.48,
fall back,verb,4.7,2.48,4.09,2.21,
unconditioned reflex,noun,5.75,2.84,2.06,1.57,
fit out,verb,3.95,2.09,5.25,1.33,
period,noun,5.03,2.65,7.26,1.18,
spirited,adj,6.15,2.45,7.15,1.64,
attempt,verb,5.38,2.58,6.02,1.77,
disloyal,adj,5.16,2.42,7.55,1.9,
humour,noun,4.82,2.06,2.86,1.91,
break down,verb,6.95,2.44,2.31,1.44,
channelize,verb,3.42,2.21,6.32,1.56,
dish,noun,5.5,2.73,8.42,0.83,
mealy,adj,4.21,1.84,4.55,1.42,
nasty,adj,4.88,2.29,3.08,2.05,
perplexed,adj,5.82,2.62,2.82,1.83,
emit,verb,7.04,1.96,3.88,2.07,
sincere,adj,5.32,1.92,7.7,1.43,
role player,noun,5.75,2.45,2.67,1.66,
tyke,noun,5.88,2.38,7.41,1.8,
lashing,adj,6.89,2.47,2.29,1.78,
white,adj,4.61,2.24,5.39,1.8,
crooked,adj,3.18,1.76,4.74,1.02,
minify,verb,5,2.32,3.64,2.08,
eliminate,verb,4,2.14,4.56,1.72,
spite,verb,3.74,2.33,5.86,1.42,
public transport,noun,3.55,1.8,4.51,1.57,
close up,verb,6.03,3.19,1.56,0.96,
caper,noun,6.91,1.69,7.52,1.19,
padded,adj,4.63,2.61,7.12,1.34,
harlot,noun,4.93,2.82,3.34,2.31,
change state,verb,4.49,2.5,6.07,1.61,
clanging,adj,6.38,1.78,5.02,2.02,
mortal,noun,4.61,2.24,5.39,1.8,
confab,noun,5.74,2.38,3.48,2.33,
loser,noun,6.11,2.65,8.29,0.93,
moment,noun,5.44,2.68,6.93,1.83,
batty,adj,5.83,2.45,2.85,1.94,
fair-haired,adj,6.38,2.68,8.64,0.71,
cut out,verb,5,2.32,3.64,2.08,
erotic,adj,7.36,1.91,8.02,1.12,
exquisite,adj,4.53,2.65,7.43,1.26,
job,noun,4.08,1.92,5.24,1.59,
well-advised,adj,3.91,2.64,7.52,1.23,
hands-down,adj,4.48,2.82,7.1,1.91,
unquiet,adj,5.94,2.36,2.17,1.21,
suit of armour,noun,5.63,2.36,6.88,1.74,
recreant,adj,6.33,2.28,2.25,1.18,
wipe out,verb,6.22,1.91,2.73,1.72,
punctured,adj,5,2.32,3.64,2.08,
