word,cat,A_M,A_SD,V_M,V_SD
human being,noun,5.32,2.39,6.5,2.03,
cutting,adj,5.19,2.23,4.02,1.99,
remove,verb,7.17,2.06,3.22,2.06,
crenulated,adj,5.33,2.04,4.74,2,
member,noun,4.33,1.78,5.19,1.27,
rough,adj,4.91,2.57,6.58,1.78,
show,noun,4.93,2.54,6.86,1.81,
break up,verb,6.33,2.71,2.22,1.88,
quiet,adj,4.63,2.61,7.12,1.34,
suffer,verb,3.93,2.49,4.82,2.06,
carnal knowledge,noun,7,2.07,7.36,1.57,
delay,verb,2.92,2.16,5.22,0.72,
noisy,adj,2.82,2.13,5.58,1.83,
dim-sighted,adj,4.39,2.36,3.05,1.99,
calm down,verb,3.21,2.57,7.31,1.3,
fortified,adj,5.92,2.28,7.11,1.48,
causal agency,noun,4.19,2.45,6.32,1.74,
pixilated,adj,4.02,2.41,4.68,1.97,
birth control device,noun,3.86,2.72,7.07,1.9,
revolting,adj,6.09,2.44,2.96,2.37,
apparel,verb,3.95,2.11,4.11,1.77,
lost,adj,5.82,2.62,2.82,1.83,
bluster,verb,5.78,2.6,7.8,1.83,
vex,verb,6.49,2.17,2.74,1.81,
puissant,adj,5.83,2.69,6.84,1.8,
thirsty,adj,5.13,2.44,3.58,2.01,
incorrect,adj,3.43,2.09,3.27,1.4,
nonfat,adj,4.81,2.8,2.28,1.92,
saving,adj,5.43,2.85,7.47,1.45,
extraordinary,adj,6.23,2.73,8.16,1.12,
drop,verb,5.69,2.51,7.47,1.73,
simple,noun,4.72,2.71,2.31,1.37,
puke,verb,4.29,2.45,1.9,1.14,
evoke,verb,5.85,2.49,1.9,1.26,
sicken,verb,6.83,2.26,3.52,2.12,
locoweed,noun,4.14,2.11,6.12,1.44,
pouf,noun,4.76,2.18,6.44,1.43,
steamed,adj,5.64,2.48,2.79,2.23,
pioneer,verb,4.86,2.56,5.46,0.98,
excretory product,noun,4.97,2.49,6.61,1.78,
meat,noun,6.34,2.25,7.39,1.53,
shout,noun,5.36,2.91,3.93,2.22,
bewitch,verb,5.16,2.25,6.77,1.58,
well-kept,adj,3.98,2.22,6.3,1.56,
irascible,adj,7.17,2.07,2.85,1.7,
teenaged,adj,4.15,1.96,3.39,1.7,
give,verb,5.15,3.04,8.26,1.31,
unreformable,adj,6.09,2.44,2.96,2.37,
bank note,noun,6.07,2.67,7.47,1.72,
ill-favoured,adj,5.38,2.23,2.43,1.27,
leap,verb,5.67,2.51,7.76,1.51,
sexually transmitted disease,noun,5.69,3.25,1.68,1.23,
SOB,noun,6.07,2.15,3.36,2.16,
turn out,verb,3.61,2.56,7.51,1.38,
unbroken,adj,5.43,2.42,3.05,1.92,
unmanageable,adj,6.1,2.51,4.26,2.12,
long-playing,adj,3.39,2.22,3.93,1.6,
high-pressure,adj,5.83,2.33,5.1,1.68,
confine,verb,5.49,2.67,1.95,1.27,
snug,adj,4.09,2.77,7.29,1.79,
sunup,noun,4.39,2.81,6.16,2.33,
lolly,noun,5.64,2.18,6.74,1.73,
handle,verb,5.53,2.8,8.22,1.2,
trick up,verb,4.05,1.89,6.41,1.34,
kerfuffle,noun,5.71,2.34,4.95,2.22,
melodic phrase,noun,5.86,1.81,7,1.34,
lady of pleasure,noun,5.85,2.93,2.3,2.11,
drab,adj,4.28,2.21,4.71,2.36,
quietude,noun,2.95,2.55,7.72,1.75,
recede,verb,6.02,2.58,7.73,1.34,
dry,adj,3.52,2.05,4.39,1.46,
scum bag,noun,4.95,2.36,3.02,1.66,
slews,noun,5.49,2.43,6.59,1.66,
human,adj,4.5,1.91,6.89,1.7,
soothe,verb,2.82,2.13,5.58,1.83,
superstar,noun,5.5,2.66,6.88,1.93,
in safe custody,adj,3.14,2.47,7.57,1.76,
fire,verb,5.86,2.4,2,1.18,
pass,verb,6.03,3.19,1.56,0.96,
bear on,verb,6.85,2.03,3.03,2.09,
impotent,adj,4.02,2.41,4.68,1.97,
dysphoric,adj,4.18,2.5,1.57,0.96,
good-looking,adj,6.17,2.34,7.6,1.64,
wake,verb,2.8,2.66,7.2,1.77,
nifty,adj,5.43,2.85,7.47,1.45,
security guard,noun,4.1,2.12,5.78,1.51,
wassail,verb,6.39,2.63,2.96,1.93,
pensive,adj,5.72,2.3,7.65,1.03,
sleek,adj,4.91,2.57,6.58,1.78,
roguishness,noun,5.38,2.62,2.24,1.62,
come about,verb,4.7,2.48,4.09,2.21,
project,noun,4.37,2.32,6.85,1.71,
large-hearted,adj,4.46,2.55,7.59,1.67,
bronze,adj,3.79,1.96,4.95,1.17,
sex gland,noun,3.76,2.39,5.29,1.82,
grimy,adj,4.88,2.29,3.08,2.05,
passionless,adj,5.19,2.23,4.02,1.99,
low,adj,3.83,2.05,3.07,1.57,
sacred text,noun,4.17,2.49,5.72,1.54,
snooty,adj,5.56,3.01,8.03,1.56,
break,verb,5.78,2.21,2.8,1.67,
high,adj,6.21,2.3,7.45,1.77,
alimentation,noun,5.62,2.25,7.36,1.38,
put forward,verb,4.05,2.59,7.19,1.69,
horrific,adj,6.33,2.28,2.25,1.18,
time of day,noun,4.7,2.48,4.09,2.21,
shabu,noun,4.27,2.07,4.75,1.38,
inquiring,adj,5.82,1.64,6.08,1.63,
soul,noun,3.95,1.97,5.05,1.34,
go off,verb,6.21,2.51,7.1,2,
modify,verb,4.81,2.8,2.28,1.92,
pass on,verb,4.4,2.07,5.95,1.38,
disgraceful,adj,4.98,2.48,3.5,2.16,
nobble,verb,4.59,2.1,3.83,1.7,
granitic,adj,5.12,2.19,5.22,1.82,
feast day,noun,6.27,2.56,7.8,1.55,
