word,cat,A_M,A_SD,V_M,V_SD
step in,verb,4.95,2.01,4.1,1.88,
muddy,adj,4.88,2.29,3.08,2.05,
disruption,noun,5.71,2.34,4.95,2.22,
depressant,adj,4.93,2.57,4.29,2.3,
material,noun,3.71,2.51,6.9,1.27,
forking,noun,3.96,1.94,5.29,0.97,
perceive,verb,5.85,2.49,1.9,1.26,
sweeten,verb,4.58,2.4,6.54,2.09,
coloured,adj,4.61,2.24,5.39,1.8,
beam,verb,6.22,1.91,2.73,1.72,
Theodore Harold White,noun,4.37,2.14,6.47,1.59,
thought,adj,4.84,2.57,6,2.21,
suffering,noun,6.1,2.77,1.56,0.79,
mitigated,adj,4.94,2.63,7.94,1.19,
skillet,noun,5.71,2.21,3.33,1.72,
desire,noun,4.53,2.72,6.73,1.75,
principal,noun,4.95,2.14,6.12,1.86,
maneuver,verb,3.42,2.21,6.32,1.56,
potentiality,noun,5.38,2.58,6.02,1.77,
savor,verb,5.22,2.38,6.66,1.57,
fell,adj,5.68,2.65,1.97,1.67,
modify,verb,4.44,1.96,6.16,1.89,
pass on,verb,4.4,2.07,5.95,1.38,
trigger,verb,4.86,2.56,5.46,0.98,
afeared,adj,6.67,2.54,2,1.28,
sovereign,noun,5.51,2.77,7.26,1.67,
disagreeable woman,noun,5.76,2.5,7.57,1.66,
Scorpion,noun,5.38,3.08,3.69,2.63,
storage space,noun,4.39,2.33,4.32,1.68,
cast,verb,5.75,2.84,2.06,1.57,
kill,verb,5.33,2.63,2.28,1.74,
mental object,noun,5.74,2.46,6.69,1.77,
tamed,adj,3.21,2.57,7.31,1.3,
canine,noun,5.76,2.5,7.57,1.66,
milksop,noun,5.17,2.57,3.14,1.96,
cod,verb,5.87,2.56,4.84,2.51,
sexual desire,noun,6.44,3.35,8.72,0.7,
stirred,adj,4.29,2.45,1.9,1.14,
municipality,noun,5.24,2.53,6.03,1.37,
trance,verb,5.16,2.25,6.77,1.58,
ingest,verb,5.69,2.51,7.47,1.73,
military service,noun,5.03,2.03,4.72,1.75,
insulting,adj,5.04,2.56,3.02,2.03,
cost,noun,5.57,2.26,3.05,1.65,
patch,noun,4.39,2.35,6.71,1.74,
pull ahead,verb,7.72,2.16,8.38,0.92,
permissive,adj,4.63,2.61,7.12,1.34,
give away,verb,7.24,2.06,1.68,1.02,
stupefied,adj,4.72,2.71,2.31,1.37,
sting,verb,4.7,2.59,3.98,1.73,
loot,verb,6.35,2.04,4.02,2.76,
clement,adj,4.63,2.61,7.12,1.34,
Martin Luther King Jr.,noun,5.51,2.77,7.26,1.67,
unhurried,adj,4.48,2.82,7.1,1.91,
ache,verb,6.22,1.91,2.73,1.72,
plateau,noun,2.92,2.16,5.22,0.72,
pathological,adj,5.06,2.68,2.87,2.14,
healthful,adj,5.43,2.85,7.47,1.45,
turn back,verb,7.17,2.06,3.22,2.06,
life history,noun,6.02,2.62,7.27,1.88,
colorful,adj,6.15,2.45,7.15,1.64,
gilt,adj,5.76,2.79,7.54,1.63,
time of year,noun,4.7,2.48,4.09,2.21,
key out,verb,3.7,2.18,5.68,1.62,
unfit,adj,4.63,2.61,7.12,1.34,
dullard,noun,4.72,2.71,2.31,1.37,
diapsid,noun,6.82,2.1,3.31,2.2,
scheme,noun,5.89,2.37,6.98,1.97,
card,noun,3.36,2.12,4.82,1.23,
pesterer,noun,5.62,2.15,3.13,1.82,
strength,noun,6.67,1.87,6.54,2.21,
squealer,noun,4.2,2.42,5.07,1.97,
furcate,verb,3.96,1.94,5.29,0.97,
permissiveness,noun,5.4,2.7,7.98,1.42,
despite,noun,5.28,2.04,3.85,2.13,
shift,noun,4.07,1.69,3.43,1.38,
unskilled,adj,3.74,2.33,5.86,1.42,
playing area,noun,4.08,2.41,6.2,1.37,
indulgent,adj,5.12,2.19,5.22,1.82,
timekeeper,noun,4.1,2.12,5.78,1.51,
slip up,verb,5.18,2.42,2.86,1.79,
yellowness,noun,5.76,2.79,7.54,1.63,
unmannered,adj,6.31,2.47,2.5,2.11,
displace,verb,5.73,2.09,4.33,2.35,
armoured combat vehicle,noun,4.88,1.86,5.16,1.87,
go across,verb,5,2.32,3.64,2.08,
manipulate,verb,4.95,2.01,4.1,1.88,
cloture,noun,6.56,2.54,2.48,2.11,
hold on,verb,4.95,2.19,6.45,1.93,
dominate,verb,4.3,2.26,4.35,1.23,
bad weather,noun,3.46,1.92,3.65,1.61,
scent,noun,5.05,2.36,6.76,1.48,
physical object,noun,3.82,2.24,5.11,1.78,
faculty,noun,4.75,2.5,6.82,1.96,
gross,adj,4.21,1.84,4.55,1.42,
unsuccessful person,noun,4.95,2.81,1.7,1.07,
existence,noun,6.02,2.62,7.27,1.88,
buoy,noun,2.93,1.8,4.93,1.89,
process,verb,4.33,1.78,5.19,1.27,
role,noun,4.08,1.92,5.24,1.59,
take shape,verb,5.67,2.51,7.76,1.51,
disheartened,adj,4.53,2.11,3,2.16,
vertical,noun,3.62,1.91,5.17,0.85,
angered,adj,7.17,2.07,2.85,1.7,
expel,verb,5,2.83,6.42,2.05,
discourse,noun,4.22,2.24,5.2,1.38,
rational motive,noun,5.69,2.45,7,1.72,
writing,noun,4.4,2.07,5.95,1.38,
tantalization,noun,5.87,2.56,4.84,2.51,
sex activity,noun,7.36,1.91,8.05,1.53,
vindicate,verb,4.48,2.29,4.05,1.41,
fine art,noun,6.75,2.3,8.27,0.9,
nitid,adj,5.4,2.33,7.5,1.55,
traveler,noun,4.82,2.49,6.54,1.64,
magistrate,noun,5.47,2.54,7.78,1.35,
goal,noun,3.63,2.02,5.45,1.15,
uncomprehensible,adj,4.28,2.21,4.71,2.36,
let down,verb,7.24,2.06,1.68,1.02,
house cat,noun,4.76,2.18,6.44,1.43,
blind,verb,6.33,2.02,7.29,1.09,
astounded,adj,6.58,2.22,6.56,1.61,
abolitionist,noun,5,2.77,7.8,1.29,
venerate,verb,6.96,2.17,2.76,2.12,
actress,noun,5.64,2.51,6.89,2.12,
dope,noun,4.14,2.11,6.12,1.44,
wannabe,noun,5.78,2.09,7.1,1.46,
goodness,noun,6.39,2.44,3.23,2.64,
bound,adj,5.15,3.04,8.26,1.31,
faith,adj,4.84,2.57,6,2.21,
control,verb,5.87,2.56,4.84,2.51,
peculiar,adj,4.27,2.46,4.82,2.04,
prospect,noun,4.59,2.31,5.98,1.86,
nonpareil,noun,4.49,1.9,6.49,1.7,
Justice,noun,5.47,2.54,7.78,1.35,
semidetached,adj,4.26,2.57,3.86,1.88,
paying attention,adj,5.72,2.3,7.65,1.03,
two-timing,adj,6.2,2.7,2.05,1.55,
neaten,verb,3.98,2.22,6.3,1.56,
dickhead,noun,6.07,2.15,3.36,2.16,
homosexual,noun,5.12,2.27,4.67,2.45,
improvidence,noun,4.14,2.3,2.93,1.76,
pox,noun,5.58,2.13,2.52,2.08,
heyday,noun,4,2.44,6.64,1.78,
unsmooth,adj,5.43,2.42,3.05,1.92,
fretfulness,noun,5.1,2.59,6.79,2.32,
stink up,verb,4.26,2.1,3,1.79,
coral reef,noun,3.7,2.18,5.68,1.62,
unbelieving,adj,4.91,1.92,4.52,1.63,
visual image,noun,4.08,2.41,6.2,1.37,
sea-coast,noun,4.59,2.31,5.98,1.86,
advancement,noun,6.44,2.58,8.2,1.15,
colored,adj,4.61,2.24,5.39,1.8,
justify,verb,4.48,2.29,4.05,1.41,
folder,noun,3.62,2.02,4.79,1.05,
freshwater,noun,3.65,2.35,5.08,2.51,
hooter,noun,3.98,1.87,5.8,1.31,
conjure up,verb,4.05,2.59,7.19,1.69,
visual aspect,noun,4.73,2.64,7.02,1.57,
intense,adj,5.26,2.36,3.2,1.74,
enforcement,noun,5.71,2.74,2.37,2.06,
assist,noun,4.4,2.07,5.95,1.38,
unprocessed,adj,6.31,2.47,2.5,2.11,
white,noun,4.61,2.24,5.39,1.8,
heaps,noun,5.49,2.43,6.59,1.66,
interval,noun,5.14,2.54,6.78,1.66,
bouncy,adj,5.53,2.9,7.2,1.97,
honour,noun,5.9,1.83,7.66,1.24,
cartridge,noun,4.35,2.25,3.38,1.7,
nauseant,noun,5.75,2.84,2.06,1.57,
tide,noun,6,2.02,3.19,1.66,
ineptitude,noun,4.98,2.31,4.3,1.91,
shine,verb,4.91,2.57,6.58,1.78,
articulatio talocruralis,noun,4.16,2.03,5.27,1.54,
start,verb,3.77,2.29,4.64,1.83,
care for,verb,4.4,2.36,5.67,2.06,
playful,adj,4,1.87,5.08,1.59,
spectacular,adj,6.24,2.59,7.75,1.75,
post,noun,5.63,2.36,6.88,1.74,
control surface,noun,4.16,1.99,5.44,1.18,
polite,adj,4.38,2.69,6.55,2.44,
astound,verb,6.33,2.02,7.29,1.09,
disposal,noun,5.47,2.54,7.78,1.35,
fancify,verb,4.05,1.89,6.41,1.34,
metallic,adj,5.76,2.79,7.54,1.63,
operating theater,noun,6.35,2.32,2.86,2.19,
sunless,adj,3.46,1.92,3.65,1.61,
Methedrine,noun,4.27,2.07,4.75,1.38,
omnipotent,adj,5.83,2.69,6.84,1.8,
causal agency,noun,3.98,2.33,5.2,1.18,
preoccupied,adj,5.82,2.62,2.82,1.83,
naive,adj,4.28,2.46,6.18,2.05,
lawyer,noun,3.7,2.18,5.68,1.62,
lost,adj,5.72,2.3,7.65,1.03,
whip,verb,4.38,2.24,5.72,2.43,
insect,noun,4.98,2.03,2.81,1.92,
meter,noun,3.27,1.98,5.02,0.93,
Plough,noun,3.98,2.04,5.37,0.97,
prod,verb,3.81,2.14,5.12,0.92,
boeuf,noun,4.55,2.14,6.27,1.5,
nonstandard,adj,3.83,2.05,3.07,1.57,
lazuline,noun,5,2.72,7,1.88,
gritty,adj,5.89,2.37,6.98,1.97,
large-grained,adj,4.21,1.84,4.55,1.42,
quidnunc,noun,4.84,2.41,5.17,2.02,
favourable,adj,6.53,2.34,8.17,1.06,
element,noun,3.79,1.96,4.95,1.17,
drinking chocolate,noun,5.29,2.55,6.88,1.89,
glorious,adj,6.02,2.67,7.15,1.85,
contestation,noun,7.15,2.19,3.76,2.63,
stormy,adj,5.33,2.04,4.74,2,
craniate,noun,5.18,2.19,4.77,2,
slave,noun,4.33,1.78,5.19,1.27,
devoid,adj,4.21,1.99,6.51,1.34,
blackamoor,noun,4.61,2.24,5.39,1.8,
exempt,verb,4.48,2.29,4.05,1.41,
find out,verb,5.39,2.22,7.15,1.49,
bonnie,adj,6.17,2.34,7.6,1.64,
lover,noun,5.24,2.31,6.73,1.7,
pleasant-tasting,adj,5.34,2.51,7.5,1.08,
champion,noun,5.83,2.44,7.27,1.66,
man-child,noun,4.58,2.37,6.32,1.6,
wilderness,noun,4.14,2.3,2.93,1.76,
predilection,noun,5.22,2.38,6.66,1.57,
betrothed,adj,6.77,2.07,8,1.38,
hazard,verb,5.38,2.58,6.02,1.77,
fill,verb,5.41,2.43,6.63,1.68,
performing artist,noun,5.83,2.44,7.27,1.66,
ornament,verb,5.14,2.39,6.93,1.3,
social occasion,noun,6.69,2.84,7.86,1.83,
slimy,adj,5.38,2.23,2.43,1.27,
sneaky,adj,4.67,2.35,3.32,2.32,
gynecologist,noun,4.52,2.37,5.56,1.38,
supply,verb,5.15,3.04,8.26,1.31,
smash,verb,6.21,2.79,2,1.31,
prepare,verb,5.33,2.04,4.74,2,
pronounce,verb,7.45,2.38,2.09,1.41,
medical dressing,noun,3.9,2.07,4.54,1.75,
disentangle,verb,5.87,2.56,4.84,2.51,
accuse,verb,4.07,1.69,3.43,1.38,
