영화명,달콤하다,신나다,유쾌하다,재미있다,즐겁다,통쾌하다,행복하다,활기있다,황홀하다,감격스럽다,감동적이다,경이롭다,굉장하다,놀라다,대단하다,환상적이다,평온하다,나른하다,지루하다,가슴아프다,서글프다,슬프다,쓸쓸하다,안타깝다,애석하다,격분하다,분노하다,구역질나다,불결하다,잔인하다,공포스럽다,등골이서늘하다,무섭다,무시무시하다,소름끼치다,오싹하다,,MAX,,
꽃보다남자,0.10,0.00,0.01,0.18,0.07,0.01,0.02,0.06,0.04,0.01,0.03,0.00,0.01,0.03,0.15,0.05,0.01,0.03,0.05,0.00,0.00,0.00,0.00,0.06,0.02,0.03,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.18,4.00,재미있다
나나,0.06,0.01,0.00,0.11,0.02,0.00,0.00,0.09,0.08,0.01,0.08,0.00,0.01,0.01,0.09,0.13,0.00,0.00,0.04,0.00,0.00,0.02,0.02,0.08,0.06,0.00,0.03,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00,,0.13,16.00,환상적이다
나는왕이로소이다,0.02,0.01,0.07,0.16,0.20,0.02,0.01,0.06,0.01,0.01,0.03,0.00,0.01,0.02,0.05,0.02,0.01,0.05,0.07,0.00,0.00,0.00,0.00,0.06,0.01,0.01,0.02,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,5.00,즐겁다
나는전설이다,0.01,0.00,0.00,0.08,0.00,0.00,0.00,0.04,0.00,0.00,0.02,0.00,0.06,0.05,0.05,0.02,0.01,0.01,0.04,0.00,0.00,0.02,0.14,0.07,0.03,0.02,0.03,0.00,0.01,0.01,0.02,0.07,0.02,0.00,0.08,0.06,,0.14,23.00,쓸쓸하다
"나니아연대기-사자,마녀그리고옷장",0.03,0.00,0.00,0.20,0.02,0.00,0.01,0.10,0.02,0.00,0.03,0.00,0.03,0.01,0.07,0.06,0.00,0.02,0.09,0.00,0.00,0.01,0.04,0.08,0.05,0.02,0.04,0.00,0.01,0.01,0.00,0.01,0.01,0.00,0.00,0.01,,0.20,4.00,재미있다
나니아연대기새벽출정호의항해,0.04,0.00,0.00,0.23,0.01,0.00,0.01,0.06,0.02,0.00,0.04,0.00,0.03,0.01,0.11,0.05,0.01,0.02,0.09,0.01,0.00,0.02,0.01,0.09,0.04,0.02,0.03,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.02,,0.23,4.00,재미있다
나비효과,0.00,0.00,0.00,0.09,0.01,0.00,0.02,0.03,0.02,0.01,0.03,0.03,0.03,0.11,0.19,0.07,0.00,0.00,0.03,0.01,0.00,0.03,0.01,0.05,0.01,0.01,0.03,0.00,0.01,0.01,0.00,0.03,0.01,0.00,0.03,0.07,,0.19,15.00,대단하다
나우유씨미,0.02,0.01,0.02,0.10,0.06,0.03,0.00,0.06,0.01,0.01,0.01,0.01,0.03,0.21,0.07,0.06,0.00,0.02,0.08,0.00,0.00,0.00,0.01,0.06,0.02,0.02,0.02,0.00,0.01,0.01,0.00,0.02,0.00,0.00,0.01,0.02,,0.21,14.00,놀라다
나의PS파트너,0.04,0.00,0.05,0.15,0.08,0.01,0.01,0.07,0.09,0.02,0.04,0.00,0.01,0.03,0.06,0.04,0.01,0.06,0.05,0.01,0.00,0.02,0.00,0.05,0.01,0.01,0.03,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.15,4.00,재미있다
나의결혼원정기,0.03,0.00,0.01,0.09,0.09,0.00,0.03,0.05,0.11,0.01,0.14,0.01,0.02,0.02,0.08,0.03,0.00,0.01,0.10,0.01,0.00,0.04,0.01,0.04,0.02,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.14,11.00,감동적이다
나잇데이,0.04,0.02,0.10,0.17,0.11,0.06,0.01,0.06,0.01,0.01,0.01,0.00,0.01,0.01,0.07,0.08,0.01,0.02,0.06,0.00,0.00,0.00,0.00,0.04,0.01,0.01,0.02,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.03,,0.17,4.00,재미있다
남극일기,0.00,0.00,0.00,0.03,0.00,0.01,0.00,0.05,0.01,0.00,0.01,0.01,0.02,0.04,0.05,0.03,0.00,0.01,0.09,0.00,0.01,0.01,0.04,0.11,0.06,0.04,0.07,0.00,0.03,0.01,0.09,0.04,0.05,0.01,0.01,0.04,,0.11,24.00,안타깝다
남자사용설명서,0.03,0.01,0.05,0.13,0.16,0.01,0.01,0.06,0.04,0.02,0.01,0.01,0.01,0.04,0.05,0.05,0.01,0.03,0.05,0.01,0.00,0.01,0.00,0.05,0.01,0.02,0.04,0.00,0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.00,,0.16,5.00,즐겁다
남쪽으로튀어,0.02,0.00,0.08,0.09,0.08,0.08,0.03,0.05,0.04,0.01,0.03,0.02,0.02,0.02,0.04,0.05,0.03,0.01,0.08,0.01,0.00,0.01,0.01,0.06,0.02,0.02,0.04,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,,0.09,4.00,재미있다
내가살인범이다,0.02,0.00,0.01,0.08,0.02,0.01,0.00,0.04,0.01,0.00,0.01,0.01,0.02,0.20,0.12,0.06,0.01,0.01,0.04,0.00,0.00,0.01,0.00,0.05,0.01,0.02,0.04,0.00,0.01,0.05,0.00,0.04,0.01,0.00,0.02,0.06,,0.20,14.00,놀라다
내깡패같은애인,0.03,0.00,0.02,0.15,0.08,0.01,0.06,0.08,0.06,0.02,0.10,0.00,0.01,0.02,0.08,0.05,0.01,0.02,0.02,0.01,0.00,0.03,0.00,0.04,0.01,0.01,0.02,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,,0.15,4.00,재미있다
내머리속의지우개,0.02,0.00,0.00,0.02,0.00,0.00,0.01,0.03,0.16,0.02,0.10,0.00,0.01,0.01,0.08,0.04,0.00,0.03,0.03,0.03,0.00,0.28,0.01,0.04,0.01,0.00,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.28,22.00,슬프다
내사랑내곁에,0.01,0.00,0.00,0.02,0.01,0.00,0.02,0.04,0.07,0.02,0.10,0.01,0.03,0.02,0.06,0.02,0.01,0.04,0.07,0.02,0.00,0.22,0.00,0.09,0.04,0.02,0.02,0.00,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,,0.22,22.00,슬프다
내사랑싸가지,0.06,0.00,0.02,0.15,0.05,0.00,0.00,0.05,0.07,0.00,0.01,0.00,0.01,0.01,0.04,0.03,0.00,0.02,0.07,0.01,0.00,0.01,0.01,0.10,0.04,0.04,0.07,0.02,0.08,0.01,0.00,0.00,0.00,0.00,0.00,0.00,,0.15,4.00,재미있다
내생애가장아름다운일주일,0.03,0.00,0.01,0.09,0.06,0.00,0.09,0.05,0.14,0.01,0.16,0.00,0.01,0.02,0.07,0.02,0.00,0.01,0.05,0.01,0.00,0.07,0.00,0.04,0.02,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.16,11.00,감동적이다
내셔널트레져비밀의책,0.01,0.00,0.01,0.20,0.03,0.00,0.00,0.07,0.01,0.01,0.01,0.00,0.02,0.01,0.07,0.02,0.01,0.04,0.12,0.00,0.00,0.00,0.01,0.08,0.04,0.01,0.04,0.01,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.10,,0.20,4.00,재미있다
내여자친구를소개합니다,0.02,0.00,0.01,0.09,0.03,0.00,0.01,0.05,0.11,0.01,0.09,0.00,0.02,0.01,0.05,0.03,0.01,0.01,0.05,0.01,0.00,0.11,0.01,0.07,0.04,0.05,0.06,0.00,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,,0.11,22.00,슬프다
내이름은칸,0.01,0.00,0.00,0.04,0.02,0.00,0.03,0.02,0.05,0.01,0.30,0.01,0.01,0.01,0.15,0.03,0.00,0.01,0.06,0.01,0.00,0.09,0.00,0.04,0.01,0.01,0.03,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,,0.30,11.00,감동적이다
너는내운명,0.01,0.00,0.00,0.01,0.01,0.00,0.02,0.03,0.22,0.04,0.12,0.01,0.01,0.01,0.09,0.02,0.00,0.03,0.02,0.03,0.00,0.25,0.00,0.03,0.01,0.00,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,,0.25,22.00,슬프다
너는펫,0.15,0.00,0.04,0.14,0.09,0.00,0.01,0.05,0.08,0.02,0.02,0.00,0.01,0.01,0.06,0.03,0.01,0.02,0.06,0.00,0.00,0.00,0.01,0.08,0.02,0.02,0.04,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.15,1.00,달콤하다
노브레싱,0.07,0.00,0.03,0.11,0.08,0.01,0.01,0.09,0.03,0.01,0.06,0.00,0.03,0.03,0.07,0.08,0.01,0.03,0.04,0.01,0.00,0.01,0.00,0.07,0.02,0.01,0.03,0.00,0.02,0.01,0.00,0.01,0.00,0.00,0.00,0.00,,0.11,4.00,재미있다
노잉,0.00,0.00,0.00,0.11,0.01,0.00,0.01,0.04,0.01,0.01,0.02,0.01,0.02,0.05,0.06,0.03,0.00,0.02,0.05,0.00,0.00,0.01,0.09,0.07,0.04,0.05,0.04,0.00,0.03,0.02,0.04,0.05,0.03,0.00,0.01,0.06,,0.11,4.00,재미있다
노크낯선자들의방문,0.00,0.00,0.00,0.02,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.08,0.02,0.00,0.00,0.01,0.05,0.00,0.03,0.00,0.04,0.06,0.01,0.02,0.03,0.00,0.02,0.06,0.13,0.12,0.16,0.02,0.01,0.04,,0.16,33.00,무섭다
노트북,0.01,0.00,0.00,0.02,0.00,0.00,0.02,0.02,0.39,0.01,0.16,0.00,0.01,0.01,0.06,0.04,0.00,0.04,0.04,0.01,0.00,0.09,0.00,0.02,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.39,9.00,황홀하다
누가그녀와잤을까,0.00,0.00,0.01,0.08,0.16,0.00,0.00,0.03,0.29,0.00,0.01,0.00,0.01,0.01,0.03,0.01,0.00,0.01,0.06,0.00,0.00,0.00,0.01,0.07,0.01,0.03,0.04,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.29,9.00,황홀하다
눈물이주룩주룩,0.01,0.00,0.00,0.02,0.03,0.00,0.02,0.04,0.09,0.01,0.06,0.00,0.01,0.01,0.02,0.02,0.00,0.05,0.06,0.01,0.00,0.28,0.04,0.08,0.04,0.02,0.03,0.00,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,,0.28,22.00,슬프다
뉴문,0.05,0.00,0.00,0.12,0.01,0.00,0.00,0.10,0.05,0.00,0.01,0.00,0.01,0.01,0.06,0.07,0.00,0.01,0.13,0.00,0.00,0.01,0.06,0.08,0.05,0.03,0.05,0.00,0.03,0.00,0.00,0.01,0.00,0.00,0.00,0.01,,0.13,19.00,지루하다
늑대아이,0.07,0.00,0.00,0.06,0.01,0.00,0.04,0.04,0.11,0.02,0.21,0.01,0.01,0.01,0.08,0.02,0.03,0.01,0.03,0.01,0.00,0.09,0.01,0.05,0.02,0.01,0.03,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,,0.21,11.00,감동적이다
늑대의유혹,0.13,0.00,0.00,0.09,0.01,0.00,0.00,0.05,0.05,0.01,0.06,0.01,0.01,0.00,0.09,0.13,0.01,0.01,0.02,0.01,0.00,0.15,0.00,0.04,0.01,0.02,0.03,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.15,22.00,슬프다
닌자어쌔신,0.01,0.01,0.00,0.07,0.01,0.03,0.00,0.08,0.02,0.01,0.01,0.01,0.02,0.02,0.13,0.11,0.00,0.01,0.03,0.00,0.00,0.00,0.00,0.07,0.01,0.03,0.03,0.01,0.01,0.20,0.00,0.03,0.00,0.00,0.00,0.02,,0.20,30.00,잔인하다
님은먼곳에,0.01,0.00,0.00,0.06,0.02,0.00,0.01,0.04,0.13,0.01,0.13,0.00,0.01,0.02,0.07,0.04,0.00,0.01,0.07,0.02,0.00,0.06,0.04,0.07,0.04,0.01,0.11,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,,0.13,9.00,황홀하다
"다만,널사랑하고있어",0.05,0.00,0.00,0.02,0.01,0.00,0.01,0.02,0.28,0.01,0.15,0.01,0.01,0.01,0.06,0.03,0.00,0.05,0.04,0.02,0.00,0.15,0.00,0.03,0.01,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,,0.28,9.00,황홀하다
다빈치코드,0.00,0.00,0.00,0.14,0.01,0.00,0.00,0.09,0.01,0.00,0.01,0.01,0.01,0.07,0.06,0.03,0.01,0.01,0.20,0.01,0.00,0.00,0.01,0.08,0.04,0.02,0.04,0.00,0.01,0.01,0.00,0.06,0.00,0.00,0.01,0.04,,0.20,19.00,지루하다
다세포소녀,0.01,0.00,0.01,0.05,0.03,0.01,0.02,0.03,0.02,0.00,0.01,0.01,0.03,0.02,0.06,0.01,0.00,0.01,0.07,0.01,0.00,0.02,0.01,0.15,0.05,0.08,0.12,0.01,0.12,0.02,0.01,0.00,0.00,0.00,0.00,0.00,,0.15,24.00,안타깝다
다이하드40,0.01,0.01,0.01,0.11,0.02,0.07,0.00,0.06,0.02,0.00,0.01,0.01,0.03,0.01,0.18,0.07,0.00,0.03,0.05,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.05,0.00,0.01,0.03,0.00,0.04,0.00,0.00,0.00,0.06,,0.18,15.00,대단하다
다이하드굿데이투다이,0.01,0.01,0.03,0.06,0.03,0.07,0.01,0.05,0.02,0.01,0.01,0.02,0.03,0.04,0.08,0.06,0.01,0.03,0.06,0.01,0.00,0.01,0.01,0.07,0.05,0.02,0.10,0.00,0.02,0.04,0.00,0.02,0.00,0.00,0.00,0.02,,0.10,27.00,분노하다
다찌마와리-악인이여지옥행급행열차를타라,0.01,0.01,0.04,0.10,0.25,0.02,0.00,0.04,0.01,0.00,0.01,0.00,0.01,0.02,0.07,0.02,0.00,0.01,0.07,0.01,0.00,0.02,0.00,0.07,0.03,0.03,0.09,0.01,0.03,0.01,0.00,0.01,0.00,0.00,0.00,0.00,,0.25,5.00,즐겁다
다크나이트,0.01,0.00,0.00,0.05,0.01,0.00,0.01,0.04,0.01,0.01,0.01,0.04,0.04,0.05,0.28,0.05,0.00,0.01,0.07,0.00,0.00,0.01,0.00,0.06,0.01,0.02,0.06,0.00,0.01,0.02,0.00,0.02,0.01,0.00,0.06,0.02,,0.28,15.00,대단하다
다크나이트라이즈,0.01,0.00,0.00,0.06,0.01,0.00,0.01,0.06,0.01,0.01,0.03,0.03,0.05,0.13,0.18,0.04,0.00,0.01,0.08,0.00,0.00,0.01,0.01,0.07,0.03,0.02,0.05,0.00,0.01,0.01,0.00,0.01,0.00,0.00,0.03,0.01,,0.18,15.00,대단하다
닥터,0.00,0.00,0.01,0.05,0.02,0.01,0.01,0.04,0.02,0.01,0.00,0.00,0.02,0.03,0.04,0.02,0.01,0.01,0.02,0.00,0.02,0.00,0.00,0.08,0.01,0.06,0.07,0.01,0.05,0.08,0.08,0.03,0.06,0.00,0.04,0.07,,0.08,30.00,잔인하다
"달콤,살벌한연인",0.03,0.01,0.05,0.14,0.17,0.01,0.01,0.05,0.05,0.01,0.01,0.00,0.02,0.04,0.12,0.02,0.01,0.01,0.03,0.00,0.00,0.01,0.01,0.04,0.01,0.01,0.02,0.00,0.01,0.05,0.04,0.00,0.01,0.00,0.00,0.02,,0.17,5.00,즐겁다
달콤한거짓말,0.07,0.01,0.04,0.15,0.16,0.01,0.02,0.06,0.05,0.00,0.03,0.01,0.01,0.01,0.07,0.03,0.00,0.05,0.06,0.00,0.00,0.01,0.01,0.05,0.01,0.01,0.02,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,,0.16,5.00,즐겁다
달콤한인생,0.01,0.00,0.00,0.06,0.01,0.01,0.00,0.06,0.04,0.01,0.03,0.02,0.03,0.04,0.16,0.18,0.01,0.01,0.02,0.01,0.00,0.02,0.01,0.05,0.01,0.05,0.04,0.00,0.01,0.05,0.00,0.01,0.00,0.00,0.01,0.01,,0.18,16.00,환상적이다
당신이사랑하는동안에,0.02,0.00,0.00,0.04,0.00,0.00,0.03,0.02,0.26,0.01,0.07,0.00,0.01,0.05,0.08,0.08,0.00,0.01,0.05,0.03,0.01,0.03,0.00,0.04,0.01,0.01,0.03,0.00,0.01,0.01,0.00,0.02,0.01,0.00,0.01,0.05,,0.26,9.00,황홀하다
대한민국1,0.02,0.00,0.00,0.18,0.04,0.00,0.01,0.06,0.03,0.01,0.11,0.01,0.01,0.01,0.06,0.04,0.01,0.03,0.06,0.00,0.01,0.03,0.01,0.08,0.01,0.03,0.05,0.00,0.06,0.00,0.01,0.01,0.00,0.00,0.00,0.00,,0.18,4.00,재미있다
댄서의순정,0.08,0.01,0.00,0.12,0.03,0.00,0.01,0.05,0.13,0.01,0.09,0.00,0.02,0.02,0.07,0.09,0.01,0.03,0.04,0.00,0.00,0.05,0.01,0.06,0.02,0.01,0.02,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,,0.13,9.00,황홀하다
댄싱퀸,0.02,0.01,0.03,0.14,0.10,0.01,0.01,0.07,0.01,0.01,0.21,0.00,0.01,0.01,0.10,0.02,0.01,0.05,0.04,0.01,0.00,0.07,0.00,0.03,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.21,11.00,감동적이다
더로드,0.00,0.00,0.00,0.03,0.00,0.00,0.02,0.07,0.06,0.01,0.11,0.01,0.02,0.02,0.05,0.02,0.01,0.00,0.11,0.02,0.01,0.06,0.03,0.06,0.02,0.04,0.05,0.00,0.02,0.02,0.02,0.02,0.03,0.00,0.01,0.03,,0.11,11.00,감동적이다
더리더-책읽어주는남자,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.01,0.27,0.02,0.16,0.01,0.01,0.03,0.07,0.02,0.01,0.00,0.04,0.08,0.00,0.11,0.01,0.05,0.01,0.01,0.03,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.01,,0.27,9.00,황홀하다
더문,0.00,0.00,0.00,0.05,0.00,0.00,0.01,0.03,0.05,0.01,0.07,0.01,0.02,0.09,0.08,0.06,0.02,0.03,0.09,0.01,0.01,0.08,0.04,0.04,0.01,0.01,0.03,0.00,0.01,0.02,0.01,0.01,0.01,0.00,0.02,0.04,,0.09,19.00,지루하다
더블타겟,0.00,0.00,0.00,0.11,0.01,0.16,0.00,0.05,0.01,0.00,0.00,0.01,0.01,0.01,0.09,0.11,0.01,0.03,0.05,0.01,0.00,0.00,0.01,0.06,0.01,0.03,0.02,0.00,0.00,0.05,0.00,0.04,0.01,0.00,0.00,0.07,,0.16,6.00,통쾌하다
더씽,0.00,0.00,0.00,0.05,0.01,0.01,0.00,0.04,0.02,0.00,0.00,0.01,0.01,0.06,0.06,0.03,0.00,0.02,0.02,0.00,0.01,0.00,0.01,0.05,0.01,0.01,0.07,0.01,0.01,0.02,0.11,0.11,0.05,0.00,0.03,0.14,,0.14,36.00,오싹하다
더울버린,0.01,0.00,0.00,0.10,0.01,0.01,0.01,0.08,0.02,0.01,0.00,0.04,0.04,0.03,0.05,0.07,0.01,0.02,0.08,0.00,0.00,0.00,0.01,0.09,0.06,0.04,0.08,0.00,0.03,0.02,0.00,0.02,0.00,0.00,0.00,0.02,,0.10,4.00,재미있다
더임파서블,0.02,0.00,0.00,0.03,0.00,0.00,0.02,0.03,0.03,0.01,0.21,0.01,0.02,0.02,0.05,0.03,0.01,0.03,0.06,0.05,0.01,0.09,0.00,0.04,0.06,0.01,0.02,0.01,0.01,0.06,0.01,0.02,0.03,0.00,0.01,0.01,,0.21,11.00,감동적이다
더재킷,0.01,0.00,0.00,0.09,0.00,0.00,0.04,0.04,0.03,0.01,0.09,0.01,0.01,0.06,0.07,0.07,0.01,0.02,0.09,0.01,0.00,0.03,0.01,0.06,0.04,0.01,0.03,0.00,0.00,0.02,0.03,0.02,0.00,0.00,0.00,0.09,,0.09,36.00,오싹하다
더콜,0.00,0.00,0.00,0.07,0.01,0.03,0.01,0.04,0.00,0.00,0.00,0.00,0.01,0.03,0.06,0.05,0.00,0.01,0.02,0.00,0.01,0.00,0.02,0.05,0.01,0.02,0.02,0.00,0.01,0.03,0.02,0.17,0.05,0.00,0.01,0.21,,0.21,36.00,오싹하다
더킹투하츠,0.21,0.00,0.00,0.09,0.01,0.01,0.04,0.07,0.04,0.01,0.02,0.03,0.01,0.02,0.14,0.06,0.01,0.01,0.03,0.01,0.00,0.02,0.00,0.03,0.01,0.01,0.02,0.00,0.00,0.04,0.00,0.02,0.01,0.00,0.00,0.01,,0.21,1.00,달콤하다
데스노트,0.05,0.00,0.00,0.19,0.01,0.00,0.00,0.12,0.01,0.01,0.00,0.00,0.02,0.05,0.06,0.04,0.00,0.00,0.08,0.00,0.00,0.00,0.02,0.08,0.06,0.05,0.04,0.00,0.02,0.01,0.00,0.02,0.01,0.00,0.00,0.02,,0.19,4.00,재미있다
데스노트-라스트네임,0.05,0.00,0.00,0.16,0.01,0.00,0.00,0.04,0.02,0.00,0.01,0.01,0.02,0.25,0.08,0.04,0.00,0.01,0.05,0.01,0.00,0.02,0.01,0.05,0.02,0.03,0.02,0.00,0.01,0.02,0.00,0.02,0.00,0.00,0.00,0.02,,0.25,14.00,놀라다
데스티네이션3-파이널데스티네이션,0.00,0.00,0.00,0.06,0.01,0.01,0.00,0.04,0.02,0.00,0.00,0.00,0.03,0.02,0.03,0.01,0.00,0.02,0.06,0.01,0.00,0.00,0.00,0.03,0.03,0.00,0.02,0.01,0.01,0.28,0.06,0.06,0.05,0.01,0.01,0.08,,0.28,30.00,잔인하다
데이지,0.01,0.00,0.00,0.04,0.01,0.00,0.00,0.04,0.25,0.01,0.06,0.02,0.01,0.02,0.04,0.07,0.01,0.03,0.07,0.05,0.00,0.10,0.01,0.06,0.02,0.02,0.03,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.01,,0.25,9.00,황홀하다
데자뷰,0.01,0.00,0.00,0.12,0.01,0.00,0.01,0.04,0.01,0.01,0.01,0.02,0.02,0.07,0.13,0.08,0.00,0.01,0.09,0.02,0.00,0.01,0.02,0.07,0.02,0.01,0.02,0.00,0.01,0.01,0.00,0.07,0.00,0.00,0.02,0.09,,0.13,15.00,대단하다
도가니,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.01,0.00,0.00,0.01,0.00,0.01,0.03,0.04,0.01,0.01,0.01,0.02,0.14,0.02,0.12,0.00,0.04,0.03,0.10,0.18,0.01,0.05,0.05,0.01,0.00,0.03,0.00,0.02,0.00,,0.18,27.00,분노하다
도둑들,0.04,0.01,0.02,0.14,0.04,0.01,0.00,0.09,0.04,0.01,0.01,0.01,0.02,0.07,0.09,0.06,0.01,0.02,0.07,0.00,0.00,0.01,0.01,0.08,0.03,0.02,0.03,0.00,0.01,0.01,0.00,0.02,0.00,0.00,0.00,0.02,,0.14,4.00,재미있다
도레미파솔라시도,0.09,0.00,0.00,0.16,0.08,0.01,0.01,0.03,0.04,0.01,0.06,0.00,0.01,0.01,0.08,0.06,0.01,0.01,0.04,0.00,0.00,0.10,0.01,0.07,0.04,0.02,0.03,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.16,4.00,재미있다
돈의맛,0.01,0.00,0.03,0.04,0.03,0.01,0.01,0.05,0.02,0.01,0.02,0.02,0.03,0.09,0.05,0.06,0.00,0.01,0.07,0.00,0.01,0.01,0.02,0.11,0.03,0.07,0.06,0.01,0.05,0.02,0.00,0.01,0.01,0.00,0.01,0.01,,0.11,24.00,안타깝다
돈크라이마미,0.00,0.00,0.00,0.01,0.02,0.02,0.01,0.03,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.05,0.01,0.01,0.03,0.08,0.01,0.06,0.01,0.07,0.03,0.13,0.15,0.00,0.03,0.06,0.00,0.01,0.03,0.00,0.01,0.01,,0.15,27.00,분노하다
동갑내기과외하기레슨2,0.11,0.00,0.02,0.18,0.12,0.00,0.00,0.06,0.05,0.00,0.03,0.00,0.01,0.02,0.03,0.03,0.01,0.03,0.08,0.00,0.00,0.01,0.01,0.07,0.02,0.03,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.18,4.00,재미있다
두얼굴의여친,0.07,0.00,0.03,0.16,0.09,0.00,0.02,0.06,0.08,0.01,0.07,0.00,0.01,0.06,0.06,0.03,0.00,0.01,0.05,0.01,0.00,0.04,0.00,0.05,0.01,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.16,4.00,재미있다
둠스데이-지구최후의날,0.00,0.01,0.00,0.07,0.03,0.06,0.00,0.03,0.01,0.00,0.00,0.00,0.03,0.03,0.05,0.04,0.00,0.00,0.04,0.00,0.00,0.00,0.01,0.06,0.01,0.07,0.08,0.01,0.06,0.09,0.01,0.03,0.01,0.00,0.07,0.05,,0.09,30.00,잔인하다
드래곤길들이기,0.14,0.02,0.01,0.20,0.02,0.01,0.01,0.04,0.02,0.00,0.09,0.01,0.03,0.01,0.18,0.03,0.01,0.02,0.02,0.00,0.00,0.01,0.00,0.05,0.01,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,,0.20,4.00,재미있다
드래곤볼에볼루션,0.00,0.01,0.01,0.08,0.03,0.00,0.01,0.05,0.01,0.00,0.01,0.01,0.04,0.02,0.07,0.01,0.00,0.01,0.06,0.00,0.00,0.02,0.02,0.14,0.05,0.09,0.10,0.01,0.12,0.01,0.01,0.00,0.00,0.00,0.00,0.00,,0.14,24.00,안타깝다
드래그미투헬,0.01,0.00,0.02,0.07,0.08,0.01,0.01,0.02,0.01,0.00,0.00,0.00,0.01,0.09,0.04,0.01,0.00,0.02,0.01,0.00,0.04,0.00,0.01,0.03,0.01,0.01,0.04,0.01,0.02,0.01,0.20,0.08,0.11,0.01,0.01,0.02,,0.20,31.00,공포스럽다
드리머,0.04,0.00,0.00,0.03,0.02,0.01,0.02,0.05,0.04,0.01,0.31,0.01,0.01,0.02,0.07,0.03,0.00,0.19,0.03,0.00,0.00,0.03,0.00,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,,0.31,11.00,감동적이다
드림걸즈,0.01,0.04,0.00,0.04,0.05,0.01,0.01,0.04,0.06,0.02,0.06,0.04,0.03,0.02,0.15,0.09,0.00,0.02,0.13,0.01,0.00,0.02,0.00,0.04,0.01,0.02,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.06,0.00,,0.15,15.00,대단하다
디센트,0.00,0.00,0.00,0.04,0.01,0.01,0.00,0.02,0.00,0.00,0.00,0.00,0.02,0.08,0.04,0.01,0.00,0.01,0.04,0.01,0.03,0.00,0.01,0.04,0.01,0.02,0.04,0.01,0.01,0.04,0.24,0.08,0.12,0.01,0.01,0.05,,0.24,31.00,공포스럽다
디스민즈워,0.02,0.02,0.10,0.19,0.20,0.02,0.01,0.05,0.02,0.01,0.00,0.00,0.01,0.01,0.08,0.05,0.00,0.03,0.05,0.01,0.00,0.01,0.00,0.04,0.01,0.02,0.02,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.01,,0.20,5.00,즐겁다
