영화명,달콤하다,신나다,유쾌하다,재미있다,즐겁다,통쾌하다,행복하다,활기있다,황홀하다,감격스럽다,감동적이다,경이롭다,굉장하다,놀라다,대단하다,환상적이다,평온하다,나른하다,지루하다,가슴아프다,서글프다,슬프다,쓸쓸하다,안타깝다,애석하다,격분하다,분노하다,구역질나다,불결하다,잔인하다,공포스럽다,등골이서늘하다,무섭다,무시무시하다,소름끼치다,오싹하다,,MAX,,
CJ7-장강7호,0.17,0.00,0.02,0.12,0.09,0.00,0.01,0.05,0.02,0.00,0.10,0.00,0.01,0.02,0.06,0.01,0.01,0.03,0.03,0.01,0.00,0.05,0.01,0.04,0.04,0.01,0.03,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,,0.17,1.00,달콤하다
M,0.00,0.00,0.00,0.03,0.01,0.00,0.01,0.05,0.11,0.01,0.03,0.01,0.02,0.06,0.05,0.08,0.01,0.05,0.10,0.02,0.00,0.04,0.01,0.08,0.02,0.04,0.07,0.01,0.05,0.01,0.01,0.01,0.01,0.00,0.00,0.02,,0.11,9.00,황홀하다
Mr로빈꼬시기,0.06,0.00,0.03,0.10,0.07,0.00,0.02,0.04,0.05,0.01,0.02,0.01,0.01,0.01,0.03,0.13,0.00,0.13,0.09,0.00,0.00,0.00,0.01,0.07,0.02,0.02,0.04,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.13,16.00,환상적이다
Mr아이돌,0.02,0.02,0.07,0.12,0.14,0.00,0.01,0.10,0.01,0.01,0.14,0.00,0.02,0.01,0.05,0.03,0.01,0.05,0.04,0.00,0.00,0.00,0.00,0.05,0.01,0.01,0.03,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.14,11.00,감동적이다
RIPD,0.01,0.01,0.08,0.17,0.12,0.03,0.01,0.09,0.01,0.01,0.00,0.00,0.03,0.03,0.05,0.05,0.00,0.03,0.07,0.00,0.00,0.00,0.01,0.07,0.01,0.02,0.04,0.00,0.01,0.01,0.00,0.01,0.00,0.02,0.00,0.01,,0.17,4.00,재미있다
가디언,0.00,0.00,0.00,0.05,0.00,0.00,0.01,0.03,0.02,0.01,0.25,0.01,0.04,0.01,0.12,0.10,0.00,0.08,0.06,0.00,0.00,0.05,0.00,0.04,0.01,0.00,0.01,0.00,0.00,0.01,0.00,0.02,0.00,0.00,0.01,0.02,,0.25,11.00,감동적이다
가면,0.01,0.00,0.00,0.07,0.00,0.00,0.00,0.04,0.04,0.00,0.01,0.01,0.01,0.27,0.05,0.03,0.00,0.03,0.03,0.02,0.00,0.03,0.01,0.06,0.01,0.02,0.03,0.01,0.01,0.02,0.00,0.03,0.00,0.00,0.01,0.12,,0.27,14.00,놀라다
가문의부활-가문의영광3,0.00,0.00,0.01,0.10,0.26,0.00,0.00,0.03,0.00,0.02,0.01,0.00,0.01,0.01,0.02,0.00,0.01,0.02,0.10,0.00,0.00,0.01,0.01,0.10,0.04,0.04,0.07,0.00,0.10,0.01,0.00,0.01,0.00,0.00,0.00,0.00,,0.26,5.00,즐겁다
가문의영광4-가문의수난,0.00,0.01,0.01,0.10,0.21,0.00,0.01,0.04,0.00,0.04,0.01,0.00,0.02,0.01,0.03,0.00,0.00,0.01,0.09,0.00,0.01,0.01,0.01,0.11,0.04,0.04,0.07,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.21,5.00,즐겁다
가문의위기-가문의영광2,0.01,0.01,0.03,0.14,0.34,0.01,0.00,0.04,0.00,0.03,0.01,0.00,0.01,0.01,0.04,0.00,0.00,0.02,0.08,0.01,0.00,0.01,0.01,0.07,0.02,0.01,0.03,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.34,5.00,즐겁다
