영화명,달콤하다,신나다,유쾌하다,재미있다,즐겁다,통쾌하다,행복하다,활기있다,황홀하다,감격스럽다,감동적이다,경이롭다,굉장하다,놀라다,대단하다,환상적이다,평온하다,나른하다,지루하다,가슴아프다,서글프다,슬프다,쓸쓸하다,안타깝다,애석하다,격분하다,분노하다,구역질나다,불결하다,잔인하다,공포스럽다,등골이서늘하다,무섭다,무시무시하다,소름끼치다,오싹하다
"다만,널사랑하고있어",0.05,0,0,0.02,0.01,0,0.01,0.02,0.28,0.01,0.15,0.01,0.01,0.01,0.06,0.03,0,0.05,0.04,0.02,0,0.15,0,0.03,0.01,0,0.01,0,0,0.01,0,0,0,0,0,0
다빈치코드,0,0,0,0.14,0.01,0,0,0.09,0.01,0,0.01,0.01,0.01,0.07,0.06,0.03,0.01,0.01,0.2,0.01,0,0,0.01,0.08,0.04,0.02,0.04,0,0.01,0.01,0,0.06,0,0,0.01,0.04
다세포소녀,0.01,0,0.01,0.05,0.03,0.01,0.02,0.03,0.02,0,0.01,0.01,0.03,0.02,0.06,0.01,0,0.01,0.07,0.01,0,0.02,0.01,0.15,0.05,0.08,0.12,0.01,0.12,0.02,0.01,0,0,0,0,0
다이하드40,0.01,0.01,0.01,0.11,0.02,0.07,0,0.06,0.02,0,0.01,0.01,0.03,0.01,0.18,0.07,0,0.03,0.05,0,0,0,0.01,0.04,0.03,0.01,0.05,0,0.01,0.03,0,0.04,0,0,0,0.06
다이하드굿데이투다이,0.01,0.01,0.03,0.06,0.03,0.07,0.01,0.05,0.02,0.01,0.01,0.02,0.03,0.04,0.08,0.06,0.01,0.03,0.06,0.01,0,0.01,0.01,0.07,0.05,0.02,0.1,0,0.02,0.04,0,0.02,0,0,0,0.02
다찌마와리-악인이여지옥행급행열차를타라,0.01,0.01,0.04,0.1,0.25,0.02,0,0.04,0.01,0,0.01,0,0.01,0.02,0.07,0.02,0,0.01,0.07,0.01,0,0.02,0,0.07,0.03,0.03,0.09,0.01,0.03,0.01,0,0.01,0,0,0,0
다크나이트,0.01,0,0,0.05,0.01,0,0.01,0.04,0.01,0.01,0.01,0.04,0.04,0.05,0.28,0.05,0,0.01,0.07,0,0,0.01,0,0.06,0.01,0.02,0.06,0,0.01,0.02,0,0.02,0.01,0,0.06,0.02
다크나이트라이즈,0.01,0,0,0.06,0.01,0,0.01,0.06,0.01,0.01,0.03,0.03,0.05,0.13,0.18,0.04,0,0.01,0.08,0,0,0.01,0.01,0.07,0.03,0.02,0.05,0,0.01,0.01,0,0.01,0,0,0.03,0.01
닥터,0,0,0.01,0.05,0.02,0.01,0.01,0.04,0.02,0.01,0,0,0.02,0.03,0.04,0.02,0.01,0.01,0.02,0,0.02,0,0,0.08,0.01,0.06,0.07,0.01,0.05,0.08,0.08,0.03,0.06,0,0.04,0.07
"달콤,살벌한연인",0.03,0.01,0.05,0.14,0.17,0.01,0.01,0.05,0.05,0.01,0.01,0,0.02,0.04,0.12,0.02,0.01,0.01,0.03,0,0,0.01,0.01,0.04,0.01,0.01,0.02,0,0.01,0.05,0.04,0,0.01,0,0,0.02
달콤한거짓말,0.07,0.01,0.04,0.15,0.16,0.01,0.02,0.06,0.05,0,0.03,0.01,0.01,0.01,0.07,0.03,0,0.05,0.06,0,0,0.01,0.01,0.05,0.01,0.01,0.02,0,0.02,0.01,0,0,0,0,0,0
달콤한인생,0.01,0,0,0.06,0.01,0.01,0,0.06,0.04,0.01,0.03,0.02,0.03,0.04,0.16,0.18,0.01,0.01,0.02,0.01,0,0.02,0.01,0.05,0.01,0.05,0.04,0,0.01,0.05,0,0.01,0,0,0.01,0.01
당신이사랑하는동안에,0.02,0,0,0.04,0,0,0.03,0.02,0.26,0.01,0.07,0,0.01,0.05,0.08,0.08,0,0.01,0.05,0.03,0.01,0.03,0,0.04,0.01,0.01,0.03,0,0.01,0.01,0,0.02,0.01,0,0.01,0.05
대한민국1,0.02,0,0,0.18,0.04,0,0.01,0.06,0.03,0.01,0.11,0.01,0.01,0.01,0.06,0.04,0.01,0.03,0.06,0,0.01,0.03,0.01,0.08,0.01,0.03,0.05,0,0.06,0,0.01,0.01,0,0,0,0
댄서의순정,0.08,0.01,0,0.12,0.03,0,0.01,0.05,0.13,0.01,0.09,0,0.02,0.02,0.07,0.09,0.01,0.03,0.04,0,0,0.05,0.01,0.06,0.02,0.01,0.02,0,0.01,0.01,0,0,0,0,0,0
댄싱퀸,0.02,0.01,0.03,0.14,0.1,0.01,0.01,0.07,0.01,0.01,0.21,0,0.01,0.01,0.1,0.02,0.01,0.05,0.04,0.01,0,0.07,0,0.03,0.01,0,0.01,0,0,0,0,0,0,0,0,0
더로드,0,0,0,0.03,0,0,0.02,0.07,0.06,0.01,0.11,0.01,0.02,0.02,0.05,0.02,0.01,0,0.11,0.02,0.01,0.06,0.03,0.06,0.02,0.04,0.05,0,0.02,0.02,0.02,0.02,0.03,0,0.01,0.03
더리더-책읽어주는남자,0,0,0,0.01,0,0,0.01,0.01,0.27,0.02,0.16,0.01,0.01,0.03,0.07,0.02,0.01,0,0.04,0.08,0,0.11,0.01,0.05,0.01,0.01,0.03,0,0,0.01,0,0,0,0,0.01,0.01
더문,0,0,0,0.05,0,0,0.01,0.03,0.05,0.01,0.07,0.01,0.02,0.09,0.08,0.06,0.02,0.03,0.09,0.01,0.01,0.08,0.04,0.04,0.01,0.01,0.03,0,0.01,0.02,0.01,0.01,0.01,0,0.02,0.04
더블타겟,0,0,0,0.11,0.01,0.16,0,0.05,0.01,0,0,0.01,0.01,0.01,0.09,0.11,0.01,0.03,0.05,0.01,0,0,0.01,0.06,0.01,0.03,0.02,0,0,0.05,0,0.04,0.01,0,0,0.07
더씽,0,0,0,0.05,0.01,0.01,0,0.04,0.02,0,0,0.01,0.01,0.06,0.06,0.03,0,0.02,0.02,0,0.01,0,0.01,0.05,0.01,0.01,0.07,0.01,0.01,0.02,0.11,0.11,0.05,0,0.03,0.14
더울버린,0.01,0,0,0.1,0.01,0.01,0.01,0.08,0.02,0.01,0,0.04,0.04,0.03,0.05,0.07,0.01,0.02,0.08,0,0,0,0.01,0.09,0.06,0.04,0.08,0,0.03,0.02,0,0.02,0,0,0,0.02
더임파서블,0.02,0,0,0.03,0,0,0.02,0.03,0.03,0.01,0.21,0.01,0.02,0.02,0.05,0.03,0.01,0.03,0.06,0.05,0.01,0.09,0,0.04,0.06,0.01,0.02,0.01,0.01,0.06,0.01,0.02,0.03,0,0.01,0.01
더재킷,0.01,0,0,0.09,0,0,0.04,0.04,0.03,0.01,0.09,0.01,0.01,0.06,0.07,0.07,0.01,0.02,0.09,0.01,0,0.03,0.01,0.06,0.04,0.01,0.03,0,0,0.02,0.03,0.02,0,0,0,0.09
더콜,0,0,0,0.07,0.01,0.03,0.01,0.04,0,0,0,0,0.01,0.03,0.06,0.05,0,0.01,0.02,0,0.01,0,0.02,0.05,0.01,0.02,0.02,0,0.01,0.03,0.02,0.17,0.05,0,0.01,0.21
더킹투하츠,0.21,0,0,0.09,0.01,0.01,0.04,0.07,0.04,0.01,0.02,0.03,0.01,0.02,0.14,0.06,0.01,0.01,0.03,0.01,0,0.02,0,0.03,0.01,0.01,0.02,0,0,0.04,0,0.02,0.01,0,0,0.01
데스노트,0.05,0,0,0.19,0.01,0,0,0.12,0.01,0.01,0,0,0.02,0.05,0.06,0.04,0,0,0.08,0,0,0,0.02,0.08,0.06,0.05,0.04,0,0.02,0.01,0,0.02,0.01,0,0,0.02
데스노트-라스트네임,0.05,0,0,0.16,0.01,0,0,0.04,0.02,0,0.01,0.01,0.02,0.25,0.08,0.04,0,0.01,0.05,0.01,0,0.02,0.01,0.05,0.02,0.03,0.02,0,0.01,0.02,0,0.02,0,0,0,0.02
데스티네이션3-파이널데스티네이션,0,0,0,0.06,0.01,0.01,0,0.04,0.02,0,0,0,0.03,0.02,0.03,0.01,0,0.02,0.06,0.01,0,0,0,0.03,0.03,0,0.02,0.01,0.01,0.28,0.06,0.06,0.05,0.01,0.01,0.08
데이지,0.01,0,0,0.04,0.01,0,0,0.04,0.25,0.01,0.06,0.02,0.01,0.02,0.04,0.07,0.01,0.03,0.07,0.05,0,0.1,0.01,0.06,0.02,0.02,0.03,0,0.01,0.01,0,0,0,0,0,0.01
데자뷰,0.01,0,0,0.12,0.01,0,0.01,0.04,0.01,0.01,0.01,0.02,0.02,0.07,0.13,0.08,0,0.01,0.09,0.02,0,0.01,0.02,0.07,0.02,0.01,0.02,0,0.01,0.01,0,0.07,0,0,0.02,0.09
도가니,0,0,0,0.01,0,0,0.01,0.01,0,0,0.01,0,0.01,0.03,0.04,0.01,0.01,0.01,0.02,0.14,0.02,0.12,0,0.04,0.03,0.1,0.18,0.01,0.05,0.05,0.01,0,0.03,0,0.02,0
도둑들,0.04,0.01,0.02,0.14,0.04,0.01,0,0.09,0.04,0.01,0.01,0.01,0.02,0.07,0.09,0.06,0.01,0.02,0.07,0,0,0.01,0.01,0.08,0.03,0.02,0.03,0,0.01,0.01,0,0.02,0,0,0,0.02
도레미파솔라시도,0.09,0,0,0.16,0.08,0.01,0.01,0.03,0.04,0.01,0.06,0,0.01,0.01,0.08,0.06,0.01,0.01,0.04,0,0,0.1,0.01,0.07,0.04,0.02,0.03,0,0.02,0,0,0,0,0,0,0
돈의맛,0.01,0,0.03,0.04,0.03,0.01,0.01,0.05,0.02,0.01,0.02,0.02,0.03,0.09,0.05,0.06,0,0.01,0.07,0,0.01,0.01,0.02,0.11,0.03,0.07,0.06,0.01,0.05,0.02,0,0.01,0.01,0,0.01,0.01
돈크라이마미,0,0,0,0.01,0.02,0.02,0.01,0.03,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.05,0.01,0.01,0.03,0.08,0.01,0.06,0.01,0.07,0.03,0.13,0.15,0,0.03,0.06,0,0.01,0.03,0,0.01,0.01
동갑내기과외하기레슨2,0.11,0,0.02,0.18,0.12,0,0,0.06,0.05,0,0.03,0,0.01,0.02,0.03,0.03,0.01,0.03,0.08,0,0,0.01,0.01,0.07,0.02,0.03,0.03,0,0.03,0,0,0,0,0,0,0
두얼굴의여친,0.07,0,0.03,0.16,0.09,0,0.02,0.06,0.08,0.01,0.07,0,0.01,0.06,0.06,0.03,0,0.01,0.05,0.01,0,0.04,0,0.05,0.01,0.01,0.01,0,0.01,0,0,0,0,0,0,0
둠스데이-지구최후의날,0,0.01,0,0.07,0.03,0.06,0,0.03,0.01,0,0,0,0.03,0.03,0.05,0.04,0,0,0.04,0,0,0,0.01,0.06,0.01,0.07,0.08,0.01,0.06,0.09,0.01,0.03,0.01,0,0.07,0.05
드래곤길들이기,0.14,0.02,0.01,0.2,0.02,0.01,0.01,0.04,0.02,0,0.09,0.01,0.03,0.01,0.18,0.03,0.01,0.02,0.02,0,0,0.01,0,0.05,0.01,0,0.02,0,0,0,0,0,0,0,0.01,0.01
드래곤볼에볼루션,0,0.01,0.01,0.08,0.03,0,0.01,0.05,0.01,0,0.01,0.01,0.04,0.02,0.07,0.01,0,0.01,0.06,0,0,0.02,0.02,0.14,0.05,0.09,0.1,0.01,0.12,0.01,0.01,0,0,0,0,0
드래그미투헬,0.01,0,0.02,0.07,0.08,0.01,0.01,0.02,0.01,0,0,0,0.01,0.09,0.04,0.01,0,0.02,0.01,0,0.04,0,0.01,0.03,0.01,0.01,0.04,0.01,0.02,0.01,0.2,0.08,0.11,0.01,0.01,0.02
드리머,0.04,0,0,0.03,0.02,0.01,0.02,0.05,0.04,0.01,0.31,0.01,0.01,0.02,0.07,0.03,0,0.19,0.03,0,0,0.03,0,0.02,0,0,0.01,0,0,0,0,0.01,0,0,0.01,0
드림걸즈,0.01,0.04,0,0.04,0.05,0.01,0.01,0.04,0.06,0.02,0.06,0.04,0.03,0.02,0.15,0.09,0,0.02,0.13,0.01,0,0.02,0,0.04,0.01,0.02,0.02,0,0,0.01,0,0,0,0,0.06,0
디센트,0,0,0,0.04,0.01,0.01,0,0.02,0,0,0,0,0.02,0.08,0.04,0.01,0,0.01,0.04,0.01,0.03,0,0.01,0.04,0.01,0.02,0.04,0.01,0.01,0.04,0.24,0.08,0.12,0.01,0.01,0.05
디스민즈워,0.02,0.02,0.1,0.19,0.2,0.02,0.01,0.05,0.02,0.01,0,0,0.01,0.01,0.08,0.05,0,0.03,0.05,0.01,0,0.01,0,0.04,0.01,0.02,0.02,0,0.01,0.01,0,0,0,0,0,0.01
디스트릭트9,0.01,0,0,0.08,0.01,0,0,0.07,0.01,0.01,0.05,0.02,0.03,0.09,0.17,0.04,0,0.01,0.05,0.01,0.01,0.03,0.01,0.05,0.02,0.02,0.09,0.02,0.02,0.05,0,0.02,0.01,0,0.01,0.01
디어존,0.02,0,0,0.02,0.01,0,0.01,0.05,0.28,0.01,0.11,0,0.01,0.02,0.04,0.03,0.01,0.02,0.05,0.02,0,0.05,0.03,0.07,0.03,0.02,0.06,0,0.01,0,0,0,0,0,0,0
디워,0.01,0,0,0.08,0.02,0,0.01,0.11,0.01,0.01,0.05,0.01,0.06,0.03,0.13,0.06,0.01,0.01,0.04,0,0,0.02,0.01,0.1,0.03,0.04,0.05,0,0.03,0.01,0,0.01,0,0,0.01,0.01
디파티드,0,0,0,0.09,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.03,0.06,0.1,0.05,0,0.01,0.11,0.01,0,0,0.06,0.07,0.05,0.05,0.04,0,0.02,0.03,0,0.07,0,0,0,0.03
뜨거운녀석들,0.02,0.02,0.07,0.15,0.14,0.04,0,0.03,0.01,0.01,0,0,0.01,0.07,0.05,0.02,0,0.01,0.06,0,0.01,0,0,0.03,0.01,0.01,0.06,0,0.01,0.08,0.01,0.01,0.01,0,0,0.03
라디오스타,0.03,0.01,0.01,0.07,0.08,0,0.03,0.05,0.02,0.02,0.23,0,0.01,0.01,0.13,0.04,0.01,0.03,0.04,0,0,0.06,0.01,0.05,0.01,0.01,0.02,0,0,0,0,0,0,0,0,0
라따뚜이,0.12,0,0.04,0.17,0.05,0,0.03,0.05,0.04,0,0.11,0.01,0.02,0.02,0.14,0.02,0,0.01,0.03,0,0,0.01,0,0.03,0.02,0.01,0.02,0,0,0,0,0,0,0,0,0
라스트갓파더,0.01,0,0.02,0.17,0.17,0,0.01,0.07,0.01,0.01,0.01,0,0.03,0.01,0.05,0.01,0.01,0.02,0.08,0.01,0,0,0.01,0.08,0.04,0.04,0.07,0,0.04,0.01,0,0,0,0,0,0
라스트에어벤더,0.02,0,0,0.14,0.01,0,0,0.08,0.01,0,0.01,0,0.03,0.01,0.04,0.02,0.01,0.01,0.12,0.01,0,0,0.01,0.14,0.04,0.07,0.09,0,0.06,0.01,0,0.01,0,0,0,0.01
라스트엑소시즘,0,0,0,0.03,0.01,0,0,0.02,0,0,0,0,0.02,0.05,0.04,0.01,0,0,0.03,0,0.04,0,0.02,0.04,0.01,0.02,0.04,0,0.03,0.01,0.28,0.08,0.18,0.01,0.03,0.01
라푼젤,0.1,0.01,0.03,0.18,0.04,0,0.03,0.03,0.14,0.01,0.06,0.01,0.02,0.01,0.12,0.04,0.01,0.03,0.02,0,0,0.01,0,0.04,0.01,0,0.01,0,0,0.01,0,0,0,0,0,0
러닝스케어드,0,0,0,0.08,0.01,0.02,0.01,0.03,0.01,0,0.01,0,0.02,0.14,0.12,0.08,0,0.01,0.05,0,0,0,0,0.04,0.01,0.01,0.02,0,0.01,0.03,0,0.14,0,0,0,0.1
럭키넘버슬레븐,0.02,0,0.01,0.08,0.01,0.01,0,0.03,0.01,0.01,0.01,0.01,0.02,0.34,0.06,0.07,0,0.04,0.07,0,0,0.01,0,0.03,0.01,0.04,0.01,0,0,0.01,0,0.01,0,0,0,0.05
런닝맨,0.1,0.02,0.04,0.12,0.09,0.02,0,0.06,0.01,0.01,0.03,0.01,0.02,0.02,0.09,0.04,0,0.02,0.07,0,0,0.01,0,0.05,0.01,0.01,0.02,0,0.02,0,0.03,0.03,0,0,0,0.05
레드,0.04,0.02,0.1,0.16,0.09,0.08,0,0.06,0.01,0.01,0,0.01,0.02,0.02,0.07,0.05,0,0.03,0.06,0,0,0,0,0.05,0.01,0.01,0.03,0,0,0.01,0,0.01,0,0,0,0.03
레드라이딩후드,0,0,0,0.08,0.01,0,0,0.06,0.13,0,0.01,0.01,0.01,0.14,0.03,0.06,0,0.01,0.07,0,0,0,0.02,0.07,0.02,0.01,0.03,0,0.01,0.04,0,0.07,0,0,0,0.07
레지던트이블2,0.01,0.01,0,0.12,0.02,0.03,0,0.1,0.03,0,0.01,0,0.03,0.02,0.08,0.07,0,0,0.02,0,0,0,0,0.06,0.02,0.02,0.03,0,0.02,0.03,0.04,0.07,0.01,0,0.13,0.04
레지던트이블3-인류의멸망,0.01,0,0,0.09,0.01,0.01,0,0.11,0.02,0,0,0,0.03,0.02,0.06,0.06,0,0.01,0.04,0,0.01,0,0.02,0.06,0.07,0.03,0.04,0,0.01,0.02,0.03,0.04,0.02,0,0.13,0.03
레지던트이블4끝나지않은전쟁3D,0.01,0.01,0,0.08,0.02,0.02,0,0.1,0.02,0,0,0,0.02,0.02,0.07,0.03,0,0.01,0.06,0.01,0,0,0.02,0.11,0.1,0.03,0.07,0,0.04,0.02,0.01,0.03,0,0,0.1,0.01
레지던트이블5,0.03,0.01,0,0.07,0.02,0.01,0,0.1,0.02,0,0,0,0.02,0.03,0.04,0.03,0,0.01,0.07,0,0,0,0.01,0.07,0.06,0.06,0.08,0,0.05,0.02,0.01,0.02,0,0,0.13,0.02
레터스투줄리엣,0.05,0,0.01,0.06,0.02,0,0.04,0.04,0.36,0.01,0.07,0.04,0.01,0.01,0.04,0.04,0.01,0.08,0.04,0,0,0.01,0,0.02,0,0.01,0.02,0,0,0,0,0,0,0,0,0
렛미인,0.01,0,0,0.02,0,0,0.01,0.02,0.24,0.01,0.06,0.01,0.01,0.04,0.05,0.05,0.02,0.01,0.04,0.02,0.01,0.09,0.02,0.02,0,0.01,0.05,0,0,0.07,0.04,0.01,0.02,0,0.01,0.02
렛미인2010,0.02,0,0,0.07,0,0,0.01,0.03,0.15,0.01,0.05,0,0.02,0.04,0.06,0.08,0.01,0.01,0.05,0.01,0.01,0.06,0.02,0.05,0.01,0.01,0.06,0,0.01,0.05,0.03,0.03,0.02,0,0.01,0.02
로맨틱홀리데이,0.08,0,0.03,0.09,0.04,0,0.08,0.04,0.16,0.01,0.05,0,0.01,0.02,0.06,0.07,0,0.04,0.11,0.01,0,0.01,0.01,0.03,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0
록키발보아,0.01,0,0,0.03,0,0,0.01,0.05,0.02,0.03,0.19,0.06,0.07,0.01,0.12,0.08,0,0.04,0.07,0,0,0.06,0,0.04,0.02,0.02,0.03,0,0,0.01,0,0.01,0,0,0.01,0.01
론레인저,0.03,0.02,0.07,0.12,0.05,0.03,0,0.07,0.01,0.01,0.01,0,0.02,0.02,0.05,0.05,0.01,0.03,0.16,0,0,0.01,0,0.07,0.03,0.03,0.04,0,0.01,0.02,0,0.01,0,0,0,0.01
롤러코스터,0.03,0.01,0.06,0.11,0.22,0.02,0.01,0.08,0.01,0,0.01,0,0.02,0.03,0.04,0.02,0.01,0,0.06,0,0,0.01,0.01,0.07,0.03,0.03,0.04,0,0.02,0.02,0,0.01,0,0,0,0.01
루퍼,0.01,0,0,0.08,0.01,0.01,0.01,0.07,0.01,0.01,0.02,0.02,0.02,0.09,0.09,0.08,0,0.02,0.09,0,0,0.01,0.02,0.07,0.03,0.02,0.04,0,0.01,0.03,0,0.04,0,0,0.01,0.05
리미트리스,0,0.01,0.01,0.15,0.02,0.01,0.05,0.06,0.01,0,0.01,0,0.01,0.1,0.06,0.1,0.01,0.03,0.05,0.01,0,0,0.03,0.09,0.01,0.01,0.05,0,0.01,0.01,0,0.03,0,0,0,0.03
리얼스틸,0.05,0.02,0.01,0.14,0.02,0.03,0,0.05,0.01,0.01,0.14,0.01,0.02,0.01,0.15,0.04,0.02,0.07,0.04,0,0,0.02,0,0.04,0.01,0.02,0.02,0,0.01,0,0,0.01,0,0,0.01,0.02
리턴,0.01,0,0,0.05,0,0,0,0.04,0.01,0,0,0,0.02,0.28,0.09,0.02,0,0.02,0.04,0.01,0.01,0.01,0,0.05,0.01,0.01,0.01,0,0,0.01,0.04,0.05,0.04,0.01,0.01,0.14
리핑-10개의재앙,0,0,0,0.07,0.01,0,0,0.04,0.01,0,0,0,0.01,0.29,0.03,0.01,0,0.02,0.05,0,0,0,0.01,0.05,0.01,0.01,0.03,0,0.01,0.01,0.13,0.04,0.05,0,0.01,0.05
마당을나온암탉,0.02,0,0,0.09,0.02,0,0.01,0.04,0.05,0.02,0.3,0,0.01,0.01,0.08,0.02,0.01,0.01,0.02,0,0,0.16,0,0.04,0.01,0.01,0.02,0,0,0,0,0,0,0,0,0
마더,0,0,0,0.04,0,0,0.01,0.07,0.02,0.01,0.03,0.03,0.02,0.1,0.1,0.03,0,0.01,0.08,0.01,0.01,0.01,0.01,0.05,0.06,0.02,0.03,0,0.01,0.06,0.01,0.04,0.02,0,0.06,0.04
마루밑아리에티,0.05,0,0,0.1,0.01,0,0.02,0.07,0.12,0.01,0.09,0.01,0.01,0.02,0.05,0.03,0.02,0.01,0.04,0,0,0.02,0.07,0.12,0.06,0.01,0.03,0,0,0,0,0,0,0,0,0
마린보이,0.02,0,0,0.13,0.02,0.01,0.01,0.09,0.05,0.01,0.01,0,0.02,0.07,0.06,0.06,0,0.02,0.09,0,0,0.01,0.01,0.1,0.03,0.02,0.04,0,0.02,0.01,0,0.03,0,0,0,0.07
마법사의제자,0.02,0,0.02,0.19,0.04,0.01,0.01,0.06,0.03,0,0.02,0.01,0.02,0.03,0.08,0.04,0.01,0.06,0.06,0,0,0.01,0.03,0.08,0.02,0.04,0.06,0,0.02,0.01,0,0.01,0,0,0.01,0.02
마음이,0.03,0,0,0.02,0.01,0,0.01,0.01,0.03,0.02,0.22,0,0.01,0.01,0.05,0,0.01,0.02,0.03,0.02,0,0.4,0,0.02,0.01,0.01,0.02,0,0.01,0.02,0,0,0,0,0,0
마음이2,0.17,0,0.02,0.14,0.05,0,0.01,0.03,0.02,0,0.2,0,0.01,0.01,0.09,0.01,0.01,0.01,0.03,0,0,0.07,0,0.03,0.01,0.02,0.02,0,0.01,0,0,0,0,0,0,0
마이리틀히어로,0.06,0,0.01,0.05,0.03,0,0.02,0.05,0.02,0.12,0.23,0,0.01,0.01,0.07,0.02,0.03,0.08,0.04,0.01,0,0.05,0,0.04,0.01,0.01,0.02,0,0,0,0,0,0,0,0.01,0
마이블랙미니드레스,0.03,0,0.01,0.16,0.05,0,0.01,0.08,0.11,0.01,0.04,0,0.01,0.01,0.06,0.02,0.01,0.01,0.05,0.01,0,0.02,0,0.08,0.01,0.03,0.06,0.01,0.07,0.01,0,0,0,0,0,0
마이웨이,0.01,0,0,0.09,0.01,0,0.01,0.06,0.01,0.01,0.12,0.01,0.03,0.02,0.1,0.04,0.01,0.02,0.11,0.01,0,0.02,0,0.1,0.03,0.03,0.06,0,0.03,0.03,0,0.01,0,0,0,0
마이클잭슨의디스이즈잇,0.02,0,0,0.01,0.01,0,0.05,0.02,0.07,0.02,0.09,0.03,0.12,0.01,0.16,0.06,0.01,0,0.04,0.02,0,0.07,0.01,0.1,0.01,0.01,0.02,0,0.01,0.02,0,0,0,0,0.01,0
마인드헌터,0,0,0,0.08,0.01,0,0,0.03,0,0,0,0,0.01,0.21,0.05,0.03,0,0.02,0.05,0,0,0,0,0.04,0.01,0.02,0.02,0,0.01,0.05,0.02,0.11,0.01,0,0,0.19
만남의광장,0.01,0.01,0.02,0.14,0.24,0.01,0.01,0.04,0.02,0,0.03,0,0.02,0.02,0.04,0.01,0,0.02,0.09,0.01,0,0.02,0.01,0.09,0.03,0.02,0.04,0,0.03,0,0,0,0,0.01,0,0
만추,0.01,0,0,0.02,0.01,0,0.01,0.05,0.12,0.03,0.13,0.01,0.01,0.03,0.05,0.09,0.02,0.01,0.11,0.02,0,0.02,0.03,0.08,0.02,0.02,0.04,0,0.01,0,0,0,0,0,0,0.01
말아톤,0.04,0,0.01,0.04,0.05,0,0.02,0.05,0.03,0.02,0.31,0.01,0.02,0.01,0.11,0.03,0,0.02,0.03,0.01,0,0.12,0,0.04,0.01,0,0.02,0,0,0,0,0,0,0,0,0
말죽거리잔혹사,0.02,0,0,0.11,0.01,0.02,0,0.04,0.06,0.02,0.04,0,0.03,0.02,0.12,0.09,0,0,0.03,0.01,0,0.02,0.02,0.05,0.01,0.06,0.08,0,0,0.09,0,0,0,0,0,0.01
맨발의기봉이,0.02,0,0.01,0.08,0.1,0,0.01,0.03,0.02,0.01,0.26,0.01,0.01,0.02,0.06,0.01,0.01,0.02,0.1,0,0,0.08,0,0.06,0.02,0.01,0.02,0,0.02,0,0,0,0,0,0,0
맨발의꿈,0.04,0,0.01,0.07,0.04,0,0.03,0.08,0.02,0.01,0.31,0.01,0.02,0.01,0.13,0.02,0,0.03,0.03,0,0,0.05,0,0.04,0,0,0.02,0,0,0,0,0,0,0,0.01,0
맨온렛지,0.01,0,0.01,0.1,0.01,0.02,0.01,0.05,0.01,0,0,0,0.01,0.08,0.05,0.03,0,0.04,0.11,0,0,0,0.02,0.07,0.01,0.01,0.02,0,0.01,0.01,0.01,0.15,0,0,0,0.15
맨온파이어,0.03,0,0,0.05,0,0.03,0.01,0.03,0.03,0.01,0.14,0.01,0.02,0.02,0.13,0.08,0,0.01,0.06,0.01,0,0.05,0.01,0.04,0.02,0.09,0.03,0,0,0.05,0,0.01,0,0,0,0.02
맨인블랙3,0.04,0.01,0.04,0.16,0.04,0,0,0.08,0,0,0.11,0,0.02,0.06,0.08,0.02,0,0.02,0.1,0,0,0.03,0,0.07,0.04,0.01,0.04,0,0.01,0,0,0.01,0,0,0,0.01
맨프럼어스,0,0,0,0.05,0.01,0.02,0.01,0.02,0.01,0.01,0.02,0.03,0.05,0.13,0.13,0.14,0.01,0,0.1,0,0,0.01,0.01,0.05,0.01,0.03,0.06,0,0.02,0.01,0,0.01,0,0,0.03,0.01
머니볼,0,0,0,0.1,0.02,0.01,0,0.04,0.05,0.01,0.15,0.01,0.02,0.04,0.09,0.06,0.01,0.02,0.18,0,0,0.01,0,0.05,0.01,0.02,0.03,0,0,0,0,0.01,0,0,0.01,0.01
메가마인드,0.09,0.01,0.05,0.21,0.06,0.01,0.01,0.04,0.02,0.01,0.03,0,0.02,0.07,0.09,0.02,0.01,0.04,0.05,0,0,0,0,0.04,0.01,0.01,0.1,0,0,0,0,0,0,0,0,0.01
명탐정코난11번째스트라이커,0.27,0,0,0.15,0.01,0,0,0.07,0.02,0,0.01,0.01,0.03,0.02,0.11,0.03,0.01,0.02,0.04,0,0,0,0,0.04,0.03,0.01,0.04,0,0.01,0.01,0,0.02,0,0,0,0.03
명탐정코난천공의난파선,0.09,0,0,0.22,0.02,0,0,0.04,0.02,0,0,0,0.05,0.06,0.22,0.05,0.01,0.01,0.02,0,0,0,0.01,0.04,0.02,0.01,0.02,0,0,0.01,0,0.01,0,0,0,0.05
명탐정코난칠흑의추적자,0.06,0,0,0.22,0,0,0,0.06,0.02,0,0.01,0.01,0.04,0.02,0.21,0.04,0.01,0,0.04,0,0,0,0.01,0.05,0.03,0.02,0.02,0,0,0.01,0,0.02,0.01,0,0,0.08
명탐정코난침묵의15분,0.08,0,0,0.18,0.01,0,0,0.05,0.02,0.01,0.07,0,0.04,0.01,0.18,0.05,0.01,0.02,0.03,0,0,0.03,0.01,0.05,0.03,0,0.03,0,0,0.01,0,0.01,0,0,0,0.06
