영화명,달콤하다,신나다,유쾌하다,재미있다,즐겁다,통쾌하다,행복하다,활기있다,황홀하다,감격스럽다,감동적이다,경이롭다,굉장하다,놀라다,대단하다,환상적이다,평온하다,나른하다,지루하다,가슴아프다,서글프다,슬프다,쓸쓸하다,안타깝다,애석하다,격분하다,분노하다,구역질나다,불결하다,잔인하다,공포스럽다,등골이서늘하다,무섭다,무시무시하다,소름끼치다,오싹하다
구르믈버서난달처럼,0.01,0,0.01,0.09,0.03,0.01,0,0.09,0.02,0.01,0.04,0.01,0.02,0.03,0.09,0.05,0,0.01,0.08,0,0,0.01,0.05,0.13,0.07,0.04,0.04,0,0.02,0.01,0,0.01,0,0,0.01,0
구세주,0.01,0.02,0.01,0.14,0.37,0.01,0,0.05,0.01,0,0.04,0,0.02,0.01,0.05,0.01,0,0.02,0.06,0.01,0,0.02,0.01,0.05,0.02,0.01,0.02,0,0.03,0,0,0,0,0,0,0
구타유발자들,0,0,0.01,0.06,0.03,0,0,0.01,0.01,0.01,0.01,0.01,0.02,0.04,0.09,0.03,0,0.01,0.03,0.01,0.01,0.01,0.01,0.06,0.01,0.05,0.08,0.08,0.03,0.19,0.01,0.03,0.02,0.01,0.01,0.01
국가대표,0.01,0,0.01,0.09,0.06,0.02,0.01,0.04,0.01,0.01,0.23,0.01,0.02,0.01,0.19,0.03,0,0.01,0.03,0,0,0.06,0,0.05,0.01,0.01,0.02,0,0,0,0,0.01,0.01,0,0.02,0.02
굿모닝프레지던트,0.03,0,0.09,0.13,0.12,0,0.02,0.05,0.01,0,0.05,0,0.01,0.01,0.04,0.02,0.01,0.01,0.17,0,0,0.01,0,0.07,0.04,0.01,0.03,0,0.02,0,0,0.01,0,0,0,0
굿'바이GoodBye,0.01,0,0.01,0.02,0.05,0,0.02,0.02,0.07,0.03,0.21,0,0.01,0.02,0.05,0.02,0.01,0.01,0.06,0,0,0.12,0,0.03,0.02,0,0.01,0,0,0.15,0,0,0,0,0,0
권순분여사납치사건,0.02,0.01,0.04,0.2,0.21,0.02,0.01,0.08,0,0.01,0.04,0,0.01,0.01,0.07,0.01,0,0.01,0.07,0,0,0,0,0.05,0.02,0.02,0.02,0,0.02,0,0,0.01,0,0,0,0.01
귀신이산다,0.02,0,0.01,0.16,0.14,0,0.01,0.03,0.02,0.01,0.03,0,0.02,0.01,0.02,0.01,0.01,0.01,0.07,0,0.01,0.02,0.01,0.07,0.03,0.02,0.04,0,0.02,0,0.02,0.01,0.03,0.13,0,0
그녀를믿지마세요,0.1,0,0.04,0.22,0.09,0.01,0.02,0.05,0.05,0.01,0.07,0,0.01,0.02,0.1,0.04,0.01,0.02,0.04,0,0,0.02,0,0.03,0,0.01,0.02,0,0.01,0,0,0,0,0,0,0
그놈목소리,0,0,0,0.03,0,0,0,0.05,0.01,0.01,0.04,0.01,0.02,0.02,0.05,0.02,0,0.01,0.2,0.05,0,0.12,0,0.06,0.02,0.02,0.08,0,0,0.03,0,0.05,0.02,0,0.04,0.02
그놈은멋있었다,0.11,0,0.02,0.12,0.04,0.01,0.01,0.05,0.03,0.03,0.01,0,0.01,0.01,0.05,0.1,0.01,0.01,0.03,0,0,0.01,0,0.06,0.01,0.03,0.15,0,0.07,0,0,0,0,0,0,0
그는당신에게반하지않았다,0.05,0,0.05,0.12,0.05,0.01,0.04,0.05,0.13,0,0.03,0,0.01,0.01,0.04,0.05,0.01,0.02,0.14,0.01,0,0.01,0,0.06,0.02,0.02,0.03,0,0.01,0.01,0,0,0.01,0,0,0
그대를사랑합니다,0.02,0,0.01,0.03,0.05,0,0.04,0.02,0.13,0.02,0.22,0,0.01,0.01,0.12,0.01,0,0.01,0.02,0.02,0.01,0.18,0,0.04,0.01,0,0.02,0,0,0,0,0,0,0,0,0
그래비티,0.01,0,0,0.02,0.01,0,0.03,0.04,0.04,0.01,0.05,0.05,0.04,0.03,0.11,0.06,0.03,0.01,0.09,0.01,0.01,0.01,0.02,0.06,0.02,0.02,0.03,0,0.01,0.01,0.03,0.06,0.02,0,0.02,0.02
그랜토리노,0.01,0,0.01,0.02,0.02,0,0.01,0.02,0.03,0.03,0.23,0.01,0.02,0.02,0.13,0.08,0.01,0.01,0.05,0.01,0,0.09,0.01,0.03,0.02,0.03,0.03,0,0.01,0.04,0,0,0,0,0,0.01
그림자살인,0.02,0,0.02,0.17,0.03,0,0,0.09,0.01,0.01,0.01,0.01,0.01,0.08,0.07,0.02,0,0.03,0.07,0,0,0,0.01,0.08,0.02,0.01,0.02,0,0.01,0.03,0,0.04,0.01,0,0,0.08
그해여름,0.01,0,0,0.02,0.01,0,0.01,0.03,0.26,0.02,0.1,0.01,0.01,0.01,0.06,0.02,0,0.04,0.04,0.08,0,0.17,0,0.05,0.01,0,0.02,0,0,0.01,0,0,0,0,0,0
극락도살인사건,0,0,0,0.06,0.01,0,0,0.05,0,0,0,0,0.01,0.13,0.03,0.02,0,0.02,0.07,0,0.01,0,0.01,0.05,0.02,0.01,0.02,0,0.01,0.03,0.06,0.06,0.09,0.07,0,0.09
글러브,0.02,0,0.01,0.08,0.04,0,0.01,0.04,0.02,0.02,0.35,0,0.02,0.01,0.09,0.02,0.01,0.06,0.05,0,0,0.08,0,0.04,0.01,0.01,0.02,0,0,0,0,0,0,0,0,0
기다리다미쳐,0.05,0,0.03,0.21,0.08,0,0.01,0.1,0.08,0.01,0.04,0,0.01,0.01,0.05,0.03,0,0.03,0.07,0,0,0.01,0.01,0.08,0.01,0.01,0.04,0,0.01,0,0,0,0,0,0,0
김관장대김관장대김관장,0.01,0,0.01,0.14,0.19,0,0,0.05,0,0.01,0.02,0,0.02,0.02,0.03,0.01,0.01,0.04,0.1,0,0,0,0.01,0.1,0.03,0.04,0.07,0.01,0.06,0.01,0,0,0,0,0,0
김복남살인사건의전말,0,0,0,0.03,0,0.09,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.08,0.04,0,0.01,0.02,0.03,0.01,0.04,0.01,0.04,0.01,0.1,0.07,0.01,0.01,0.18,0.01,0.01,0.03,0,0.02,0.04
김씨표류기,0.02,0,0.03,0.11,0.11,0,0.02,0.11,0.04,0.01,0.1,0.01,0.01,0.03,0.08,0.02,0.01,0.01,0.08,0.01,0,0.03,0.04,0.06,0.02,0.01,0.02,0,0.01,0,0,0,0,0,0,0
